Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Matador de Aluguel,(1989),"Action, Thriller",114,6.6,30.05,58.118,36.0,min,M
Batman,(1989),"Action, Adventure",126,7.5,251.19,322.943,69.0,min,M
Os Caça-Fantasmas 2,(1989),"Action, Comedy, Fantasy",108,6.6,112.49,173.828,56.0,min,M
Indiana Jones e a Última Cruzada,(1989),"Action, Adventure",127,8.2,197.17,655.028,65.0,min,M
Leviathan,(1989),"Adventure, Horror, Mystery",98,5.8,15.70,17.144,51.0,min,M
A Pequena Sereia,(1989),"Animation, Family, Fantasy",83,7.6,111.54,222.870,88.0,min,M
O Tiro que não Saiu pela Culatra,(1989),"Comedy, Drama",124,7.0,100.05,42.367,82.0,min,M
Sociedade dos Poetas Mortos,(1989),"Comedy, Drama",128,8.1,95.86,388.881,79.0,min,M
"Querida, Encolhi as Crianças",(1989),"Adventure, Comedy, Family",93,6.3,130.72,134.363,63.0,min,M
De Volta para o Futuro II,(1989),"Adventure, Comedy, Sci-Fi",108,7.8,118.50,445.493,57.0,min,M
Máquina Mortífera 2,(1989),"Action, Crime, Thriller",114,7.2,147.25,153.596,70.0,min,M
O Segredo do Abismo,(1989),"Adventure, Drama, Mystery",171,7.6,54.46,155.322,62.0,min,M
A Sociedade dos Amigos do Diabo,(1989),"Comedy, Horror",99,6.5,,12.473,,min,
Férias Frustradas de Natal,(1989),Comedy,97,7.6,71.32,145.895,49.0,min,M
Cemitério Maldito,(1989),"Horror, Thriller",103,6.6,57.47,88.973,38.0,min,M
Harry e Sally: Feitos um para o Outro,(1989),"Comedy, Drama, Romance",95,7.6,92.82,183.233,76.0,min,M
Garra de Campeões,(1989),"Comedy, Sport",107,7.2,49.80,58.635,62.0,min,M
Faça a Coisa Certa,(1989),"Comedy, Drama",120,7.9,27.55,78.575,92.0,min,M
Quem Vê Cara Não Vê Coração,(1989),Comedy,100,7.0,66.76,79.610,51.0,min,M
Flores de Aço,(1989),"Comedy, Drama, Romance",117,7.3,83.76,43.675,56.0,min,M
Bill & Ted: Uma Aventura Fantástica,(1989),"Adventure, Comedy, Music",90,6.9,40.49,103.919,44.0,min,M
Meu Pé Esquerdo,(1989),"Biography, Drama",103,7.9,14.74,63.187,97.0,min,M
Nascido em 4 de Julho,(1989),"Biography, Drama, War",145,7.2,70.00,92.477,75.0,min,M
Digam o que Quiserem,(1989),"Comedy, Drama, Romance",100,7.3,20.78,78.436,85.0,min,M
Campo dos Sonhos,(1989),"Drama, Family, Fantasy",107,7.5,64.43,102.670,57.0,min,M
007 - Permissão para Matar,(1989),"Action, Adventure, Thriller",133,6.6,34.67,88.714,58.0,min,M
Tempo de Glória,(1989),"Biography, Drama, History",122,7.8,26.83,115.417,78.0,min,M
"Sexo, Mentiras e Videotape",(1989),Drama,100,7.2,24.74,46.238,86.0,min,M
"Cegos, Surdos e Loucos",(1989),"Comedy, Crime",103,6.9,46.91,45.490,44.0,min,M
Tango e Cash: Os Vingadores,(1989),"Action, Comedy, Crime",104,6.4,63.41,91.424,41.0,min,M
Meus Vizinhos são um Terror,(1989),"Comedy, Mystery, Thriller",102,6.9,36.60,64.090,45.0,min,M
"O Cozinheiro, o Ladrão, Sua Mulher e o Amante",(1989),"Crime, Drama",124,7.6,7.72,32.751,62.0,min,M
Os Donos da Noite,(1989),"Comedy, Crime, Drama",116,6.1,60.86,18.931,16.0,min,M
Escândalo: A História que Seduziu o Mundo,(1989),"Drama, History",115,6.5,8.80,4.353,,min,M
Abismo do Terror,(1989),"Action, Horror, Sci-Fi",105,5.3,8.14,9.606,34.0,min,M
Conduzindo Miss Daisy,(1989),Drama,99,7.4,106.59,92.249,81.0,min,M
Olha Quem Está Falando,(1989),Comedy,93,5.9,140.09,74.255,51.0,min,M
Uma Dupla Quase Perfeita,(1989),"Comedy, Crime, Drama",97,6.2,71.08,60.334,36.0,min,M
O Serviço de Entregas da Kiki,(1989),"Animation, Adventure, Drama",103,7.9,,104.068,83.0,min,
Um Morto Muito Louco,(1989),"Adventure, Comedy, Crime",97,6.4,30.22,45.735,32.0,min,M
O Gênio do Videogame,(1989),"Adventure, Comedy, Drama",96,6.1,14.28,13.086,,min,M
Kickboxer: O Desafio do Dragão,(1989),"Action, Sport, Thriller",97,6.5,14.70,46.344,33.0,min,M
Bandeirantes de Beverly Hills,(1989),"Adventure, Comedy",105,5.8,8.51,8.947,32.0,min,M
Os Monstrinhos,(1989),"Adventure, Comedy, Family",100,6.1,0.79,10.597,,min,M
Karatê Kid 3: O Desafio Final,(1989),"Action, Drama, Family",112,5.2,38.96,45.735,36.0,min,M
Além da Eternidade,(1989),"Fantasy, Romance",122,6.4,43.86,26.669,50.0,min,M
O Justiceiro,(1989),"Action, Crime, Drama",89,5.7,,20.611,63.0,min,
Todos os Cães Merecem o Céu,(1989),"Animation, Comedy, Drama",84,6.8,27.10,33.893,50.0,min,M
Jornada nas Estrelas V: A Última Fronteira,(1989),"Action, Adventure, Fantasy",107,5.5,52.21,53.292,43.0,min,M
Ata-me,(1989),"Comedy, Crime, Drama",101,7.0,4.09,22.567,55.0,min,M
Cyborg: O Dragão do Futuro,(1989),"Action, Sci-Fi, Thriller",86,5.1,10.17,27.687,,min,M
Orquídea Selvagem,(1989),"Drama, Romance",105,4.6,11.06,10.736,19.0,min,M
Terror a Bordo,(1989),"Horror, Thriller",96,6.8,7.83,34.820,70.0,min,M
A Guerra dos Roses,(1989),"Comedy, Romance",116,6.8,86.89,45.755,79.0,min,M
Vítimas de uma Paixão,(1989),"Crime, Drama, Mystery",113,6.8,58.57,35.877,66.0,min,M
Chuva Negra,(1989),"Action, Crime, Thriller",125,6.7,46.21,46.922,56.0,min,M
Cannibal Women in the Avocado Jungle of Death,(1989),"Action, Adventure, Comedy",90,4.8,,2.399,,min,
O Poder Mágico,(1989),"Comedy, Fantasy, Romance",90,6.1,0.03,7.790,46.0,min,M
"Sexta-Feira 13, Parte 8: Jason Ataca Nova York",(1989),"Adventure, Horror, Thriller",100,4.6,14.34,31.037,14.0,min,M
TV Pirada,(1989),"Comedy, Drama",97,7.0,6.16,24.703,32.0,min,M
Pecados de Guerra,(1989),"Crime, Drama, War",113,7.1,18.67,39.050,75.0,min,M
Santa Sangre,(1989),"Drama, Fantasy, Horror",123,7.6,,17.746,,min,
Loverboy: Garoto de Programa,(1989),Comedy,98,6.0,3.96,6.841,36.0,min,M
Henrique V,(1989),"Action, Biography, Drama",137,7.5,10.16,27.095,83.0,min,M
Drugstore Cowboy,(1989),"Crime, Drama",101,7.3,4.73,30.500,82.0,min,M
Contos de Nova York,(1989),"Comedy, Drama, Romance",124,6.4,10.76,16.145,,min,M
De Médico e Louco Todo Mundo Tem um Pouco,(1989),"Comedy, Crime, Thriller",113,6.5,28.89,12.093,54.0,min,M
"Meu Mestre, Minha Vida",(1989),Drama,108,7.4,31.91,17.156,58.0,min,M
Não Somos Anjos,(1989),"Comedy, Crime",106,6.1,10.56,20.621,,min,M
Assassinato no Colégio,(1989),"Comedy, Crime, Horror",91,4.4,,4.145,,min,
Shirley Valentine,(1989),"Comedy, Drama, Romance",108,7.2,6.35,6.482,52.0,min,M
Marcados Pelo Ódio,(1989),"Action, Crime, Thriller",108,5.8,15.94,8.820,53.0,min,M
"As Aventuras de Erik, o Viking",(1989),"Comedy, Adventure, Fantasy",107,6.3,1.93,12.348,,min,M
Fúria Cega,(1989),"Action, Comedy, Crime",86,6.4,2.69,13.806,,min,M
Ir ao mar,(1989),Comedy,99,1.8,,11.914,,min,
O Céu se Enganou,(1989),"Comedy, Fantasy, Romance",108,6.5,16.28,10.097,62.0,min,M
Warlock: O Demônio,(1989),"Action, Fantasy, Horror",103,6.2,9.09,14.131,,min,M
Ela é o Diabo,(1989),Comedy,99,5.6,15.35,15.293,45.0,min,M
Crimes e Pecados,(1989),"Comedy, Drama",104,7.9,18.25,51.825,77.0,min,M
Condenação Brutal,(1989),"Action, Crime, Drama",109,6.4,22.10,36.244,52.0,min,M
Noites Violentas no Brooklyn,(1989),Drama,102,6.8,1.73,5.483,,min,M
Susie e os Baker Boys,(1989),"Comedy, Drama, Music",114,6.8,18.10,20.771,85.0,min,M
A Hora do Pesadelo 5: O Maior Horror de Freddy,(1989),"Fantasy, Horror",89,5.2,22.17,38.329,54.0,min,M
A Volta do Monstro do Pântano,(1989),"Action, Adventure, Comedy",88,4.6,0.19,3.914,39.0,min,M
Tetsuo: O Homem de Ferro,(1989),"Horror, Sci-Fi",67,7.0,,17.758,,min,
K-9: Um Policial Bom pra Cachorro,(1989),"Action, Comedy, Crime",101,6.0,43.25,30.143,44.0,min,M
Operação Kickbox,(1989),"Action, Drama, Sport",97,6.4,1.70,11.392,,min,M
A Mosca 2,(1989),"Horror, Sci-Fi",105,5.0,20.02,20.397,36.0,min,M
Conheça os Feebles,(1989),"Comedy, Music, Musical",97,6.7,,18.145,,min,
Skates na Pista da Morte,(1989),"Action, Drama, Mystery",100,6.3,2.78,6.669,40.0,min,M
Valmont - Uma História de Seduções,(1989),"Drama, Romance",137,7.0,1.13,11.969,55.0,min,M
Um Sonho Diferente,(1989),"Comedy, Drama, Romance",114,5.9,5.55,5.980,32.0,min,M
Fletch Vive,(1989),"Comedy, Crime, Mystery",95,6.1,35.15,18.684,40.0,min,M
Trem Mistério,(1989),"Comedy, Crime, Drama",110,7.6,0.37,23.630,80.0,min,M
O Pequeno Nemo,(1989),"Animation, Adventure, Drama",85,7.2,1.37,6.412,,min,M
A Grande Barbada,(1989),"Comedy, Action",90,6.8,4.97,4.892,33.0,min,M
O Poderoso Quinn,(1989),"Action, Crime, Drama",98,6.0,4.56,4.705,71.0,min,M
Violência e Terror,(1989),"Horror, Thriller",83,6.3,,6.745,,min,
O Início do Fim,(1989),"Biography, Drama, History",127,6.5,3.56,6.573,,min,M
