Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
1917,(2019),"Drama, War",119,8.6,,96.072,78.0,Sam Mendes,":
Dean-Charles Chapman, 
George MacKay, 
Daniel Mays, 
Colin Firth
",min,
Coringa,(2019),"Crime, Drama, Thriller",122,8.6,192.73,632.845,59.0,Todd Phillips,":
Joaquin Phoenix, 
Robert De Niro, 
Zazie Beetz, 
Frances Conroy
",min,M
Parasita,(2019),"Comedy, Crime, Drama",132,8.6,,168.758,96.0,Bong Joon Ho,":
Kang-ho Song, 
Sun-kyun Lee, 
Yeo-jeong Jo, 
Woo-sik Choi
",min,
Adoráveis Mulheres,(2019),"Drama, Romance",135,8.2,,34.143,91.0,Greta Gerwig,":
Saoirse Ronan, 
Emma Watson, 
Florence Pugh, 
Eliza Scanlen
",min,
Era Uma Vez em... Hollywood,(2019),"Comedy, Drama",161,7.8,135.37,351.149,83.0,Quentin Tarantino,":
Leonardo DiCaprio, 
Brad Pitt, 
Margot Robbie, 
Emile Hirsch
",min,M
Jojo Rabbit,(2019),"Comedy, Drama, War",108,8.0,0.35,59.922,58.0,Taika Waititi,":
Roman Griffin Davis, 
Thomasin McKenzie, 
Scarlett Johansson, 
Taika Waititi
",min,M
Star Wars: A Ascensão Skywalker,(2019),"Action, Adventure, Fantasy",142,6.9,,240.271,54.0,J.J. Abrams,":
Carrie Fisher, 
Mark Hamill, 
Adam Driver, 
Daisy Ridley
",min,
Entre Facas e Segredos,(2019),"Comedy, Crime, Drama",131,8.0,,130.827,82.0,Rian Johnson,":
Daniel Craig, 
Chris Evans, 
Ana de Armas, 
Jamie Lee Curtis
",min,
O Escândalo,(2019),"Biography, Drama",109,6.8,,20.432,64.0,Jay Roach,":
Charlize Theron, 
Nicole Kidman, 
Margot Robbie, 
John Lithgow
",min,
O Irlandês,(2019),"Biography, Crime, Drama",209,8.0,,213.960,94.0,Martin Scorsese,":
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
",min,
Joias Brutas,(2019),"Crime, Drama, Thriller",135,8.0,,31.821,90.0,Benny Safdie,":
Mesfin Lamengo, 
Suin Zhi Hua-Hilton, 
Liang Wei-Hei Duncan, 
Sunny Wu Jin Zahoo
",min,
História de um Casamento,(2019),"Comedy, Drama, Romance",137,8.1,,139.477,93.0,Noah Baumbach,":
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
",min,
O Exterminador do Futuro: Destino Sombrio,(2019),"Action, Adventure, Sci-Fi",128,6.3,,76.837,54.0,Tim Miller,":
Linda Hamilton, 
Arnold Schwarzenegger, 
Mackenzie Davis, 
Natalia Reyes
",min,
Magnatas do Crime,(2019),"Action, Crime",113,8.1,,12.267,51.0,Guy Ritchie,":
Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong
",min,
O Farol,(I) (2019),"Drama, Fantasy, Horror",109,7.8,0.43,56.232,83.0,Robert Eggers,":
Robert Pattinson, 
Willem Dafoe, 
Valeriia Karaman, 
Logan Hawkes
",min,M
Midsommar: O Mal Não Espera a Noite,(I) (2019),"Drama, Horror, Mystery",147,7.2,27.33,106.031,72.0,Ari Aster,":
Florence Pugh, 
Jack Reynor, 
Vilhelm Blomgren, 
William Jackson Harper
",min,M
Cats,(2019),"Comedy, Drama, Family",110,2.8,,24.141,32.0,Tom Hooper,":
Jennifer Hudson, 
Judi Dench, 
Taylor Swift, 
Robbie Fairchild
",min,
Ford vs Ferrari,(2019),"Action, Biography, Drama",152,8.2,,98.841,81.0,James Mangold,":
Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitriona Balfe
",min,
Brooklyn: Sem Pai Nem Mãe,(2019),"Crime, Drama, Mystery",144,6.9,,14.791,60.0,Edward Norton,":
Edward Norton, 
Gugu Mbatha-Raw, 
Alec Baldwin, 
Bobby Cannavale
",min,
Dois Papas,(2019),"Biography, Comedy, Drama",125,7.6,,57.705,75.0,Fernando Meirelles,":
Anthony Hopkins, 
Jonathan Pryce, 
Juan Minujín, 
Luis Gnecco
",min,
Jumanji: Próxima Fase,(2019),"Action, Adventure, Comedy",123,7.0,,68.441,58.0,Jake Kasdan,":
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
",min,
Esquadrão 6,(2019),"Action, Adventure, Comedy",128,6.1,,90.841,41.0,Michael Bay,":
Ryan Reynolds, 
Mélanie Laurent, 
Manuel Garcia-Rulfo, 
Ben Hardy
",min,
Aladdin,(I) (2019),"Adventure, Family, Fantasy",128,7.0,354.87,177.562,53.0,Guy Ritchie,":
Will Smith, 
Mena Massoud, 
Naomi Scott, 
Marwan Kenzari
",min,M
Luta por Justiça,(2019),Drama,137,7.4,,6.082,68.0,Destin Daniel Cretton,":
Brie Larson, 
Michael B. Jordan, 
Jamie Foxx, 
O'Shea Jackson Jr.
",min,
As Golpistas,(2019),"Comedy, Crime, Drama",110,6.4,80.55,47.249,79.0,Lorene Scafaria,":
Constance Wu, 
Jennifer Lopez, 
Julia Stiles, 
Mette Towley
",min,M
Vingadores: Ultimato,(2019),"Action, Adventure, Drama",181,8.5,858.37,653.349,78.0,Anthony Russo,":
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
",min,M
