Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Star Wars: O Despertar da Força,(2015),"Action, Adventure, Sci-Fi",138,7.9,936.66,824.078,81.0,J.J. Abrams,":
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson
",min,M
A Bruxa,(2015),"Drama, Horror, Mystery",92,6.9,25.14,172.932,83.0,Robert Eggers,":
Anya Taylor-Joy, 
Ralph Ineson, 
Kate Dickie, 
Julian Richings
",min,M
O Regresso,(2015),"Action, Adventure, Biography",156,8.0,183.64,654.131,76.0,Alejandro G. Iñárritu,":
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
",min,M
Love,(II) (2015),"Drama, Romance",135,6.1,,40.415,51.0,Gaspar Noé,":
Aomi Muyock, 
Karl Glusman, 
Klara Kristin, 
Juan Saavedra
",min,
007 Contra Spectre,(I) (2015),"Action, Adventure, Thriller",148,6.8,200.07,364.149,60.0,Sam Mendes,":
Daniel Craig, 
Christoph Waltz, 
Léa Seydoux, 
Ralph Fiennes
",min,M
Mad Max: Estrada da Fúria,(2015),"Action, Adventure, Sci-Fi",120,8.1,154.06,816.368,90.0,George Miller,":
Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz
",min,M
Os Oito Odiados,(2015),"Crime, Drama, Mystery",168,7.8,54.12,472.962,68.0,Quentin Tarantino,":
Samuel L. Jackson, 
Kurt Russell, 
Jennifer Jason Leigh, 
Walton Goggins
",min,M
Cinquenta Tons de Cinza,(2015),"Drama, Romance, Thriller",125,4.1,166.17,285.970,46.0,Sam Taylor-Johnson,":
Dakota Johnson, 
Jamie Dornan, 
Jennifer Ehle, 
Eloise Mumford
",min,M
O Agente da U.N.C.L.E.,(2015),"Action, Adventure, Comedy",116,7.3,45.45,250.093,56.0,Guy Ritchie,":
Henry Cavill, 
Armie Hammer, 
Alicia Vikander, 
Elizabeth Debicki
",min,M
A Grande Aposta,(2015),"Biography, Comedy, Drama",130,7.8,70.26,327.558,81.0,Adam McKay,":
Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt
",min,M
O Exterminador do Futuro: Gênesis,(2015),"Action, Adventure, Sci-Fi",126,6.4,89.76,246.942,38.0,Alan Taylor,":
Arnold Schwarzenegger, 
Jason Clarke, 
Emilia Clarke, 
Jai Courtney
",min,M
O Quarto de Jack,(I) (2015),"Drama, Thriller",118,8.1,14.68,335.528,86.0,Lenny Abrahamson,":
Brie Larson, 
Jacob Tremblay, 
Sean Bridgers, 
Wendy Crewson
",min,M
Vingadores: Era de Ultron,(2015),"Action, Adventure, Sci-Fi",141,7.3,459.01,697.433,66.0,Joss Whedon,":
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
",min,M
Perdido em Marte,(2015),"Adventure, Drama, Sci-Fi",144,8.0,228.43,711.333,80.0,Ridley Scott,":
Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara
",min,M
Spotlight: Segredos Revelados,(I) (2015),"Biography, Crime, Drama",129,8.1,45.06,384.831,93.0,Tom McCarthy,":
Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber
",min,M
