Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
A Origem,(2010),"Action, Adventure, Sci-Fi",148,8.8,292.58,1.913.477,74.0,min,M
Ilha do Medo,(2010),"Mystery, Thriller",138,8.1,128.01,1.047.608,63.0,min,M
Burlesque,(I) (2010),"Drama, Music, Musical",119,6.4,39.44,73.778,47.0,min,M
Scott Pilgrim Contra o Mundo,(2010),"Action, Comedy, Fantasy",112,7.5,31.49,351.702,69.0,min,M
Harry Potter e as Relíquias da Morte - Parte 1,(2010),"Adventure, Family, Fantasy",146,7.7,295.98,443.096,65.0,min,M
Um Jantar para Idiotas,(2010),Comedy,114,5.9,73.03,94.318,56.0,min,M
Cisne Negro,(2010),"Drama, Thriller",108,8.0,106.95,666.973,79.0,min,M
A Mentira,(2010),"Comedy, Drama, Romance",92,7.1,58.40,339.754,72.0,min,M
A Rede Social,(2010),"Biography, Drama",120,7.7,96.96,585.154,95.0,min,M
Gente Grande,(I) (2010),Comedy,102,5.9,162.00,216.877,30.0,min,M
Incontrolável,(2010),"Action, Thriller",98,6.8,81.56,177.042,69.0,min,M
Enrolados,(2010),"Animation, Adventure, Comedy",100,7.7,200.82,380.822,71.0,min,M
O Turista,(I) (2010),"Action, Adventure, Crime",103,6.0,67.63,212.348,37.0,min,M
O Discurso do Rei,(2010),"Biography, Drama, History",118,8.0,138.80,610.046,88.0,min,M
Atração Perigosa,(2010),"Crime, Drama, Thriller",125,7.5,92.19,331.924,74.0,min,M
Bravura Indômita,(2010),"Drama, Western",110,7.6,171.24,293.035,80.0,min,M
Toy Story 3,(2010),"Animation, Adventure, Comedy",103,8.3,415.00,714.600,92.0,min,M
Homem de Ferro 2,(2010),"Action, Adventure, Sci-Fi",124,7.0,312.43,683.663,57.0,min,M
Namorados para Sempre,(2010),"Drama, Romance",112,7.4,9.74,175.008,81.0,min,M
Tron: O Legado,(2010),"Action, Adventure, Sci-Fi",125,6.8,172.06,302.452,49.0,min,M
O Último Mestre do Ar,(2010),"Action, Adventure, Family",103,4.1,131.56,140.978,20.0,min,M
A Serbian Film - Terror sem Limites,(2010),"Horror, Mystery, Thriller",104,5.1,,53.397,,min,
Kick-Ass: Quebrando Tudo,(2010),"Action, Adventure, Comedy",117,7.6,48.07,508.281,66.0,min,M
Um Quarto em Roma,(2010),"Drama, Romance",107,6.1,,21.088,,min,
Fúria de Titãs,(2010),"Action, Adventure, Fantasy",106,5.8,163.21,261.863,39.0,min,M
Alice no País das Maravilhas,(I) (2010),"Adventure, Family, Fantasy",108,6.4,334.19,367.499,53.0,min,M
RED: Aposentados e Perigosos,(2010),"Action, Comedy, Crime",111,7.0,90.38,277.186,60.0,min,M
Os Outros Caras,(2010),"Action, Comedy, Crime",107,6.6,119.22,228.334,64.0,min,M
Amor e Outras Drogas,(2010),"Comedy, Drama, Romance",112,6.7,32.37,171.978,55.0,min,M
Incêndios,(2010),"Drama, Mystery, War",131,8.3,6.86,131.519,80.0,min,M
O Vencedor,(I) (2010),"Biography, Drama, Sport",116,7.8,93.62,324.038,79.0,min,M
Rápida Vingança,(2010),"Action, Crime, Drama",98,6.4,23.24,95.785,44.0,min,M
Percy Jackson e o Ladrão de Raios,(2010),"Adventure, Family, Fantasy",118,5.9,88.76,169.150,47.0,min,M
Lembranças,(I) (2010),"Drama, Romance",113,7.1,19.07,131.947,40.0,min,M
