Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Direito de Amar,(2009),"Drama, Romance",99,7.6,9.17,101.615,77.0,min,M
Pandorum,(2009),"Action, Horror, Mystery",108,6.7,10.33,139.183,28.0,min,M
Splice - A Nova Espécie,(2009),"Drama, Horror, Sci-Fi",104,5.7,17.00,89.568,66.0,min,M
Um Homem Sério,(2009),"Comedy, Drama",106,7.0,9.19,125.560,79.0,min,M
Preciosa: Uma História de Esperança,(II) (2009),Drama,110,7.3,47.40,101.882,79.0,min,M
Triângulo do Medo,(2009),"Fantasy, Mystery, Thriller",99,6.9,,94.022,,min,
Dragonball Evolution,(2009),"Action, Adventure, Fantasy",85,2.5,9.35,67.523,45.0,min,M
Entre Irmãos,(I) (2009),"Action, Drama, Thriller",105,7.1,28.50,105.933,58.0,min,M
Férias Frustradas de Verão,(2009),"Comedy, Drama, Romance",107,6.8,16.03,148.666,76.0,min,M
Os Fantasmas de Scrooge,(2009),"Animation, Drama, Family",96,6.8,137.86,95.946,55.0,min,M
Alma Perdida,(2009),"Drama, Horror, Mystery",88,4.8,42.67,47.985,30.0,min,M
Heróis,(2009),"Action, Sci-Fi, Thriller",111,6.1,31.81,102.335,36.0,min,M
O Grito 3,(2009),"Horror, Mystery, Thriller",90,4.7,,16.363,,min,
Caso 39,(2009),"Horror, Mystery, Thriller",109,6.2,13.25,73.869,25.0,min,M
A Montanha Enfeitiçada,(2009),"Action, Adventure, Family",98,5.7,67.17,52.818,52.0,min,M
Contatos de 4º Grau,(2009),"Mystery, Sci-Fi, Thriller",98,5.9,25.46,71.298,34.0,min,M
Pacto Secreto,(2009),"Horror, Mystery",101,5.1,11.96,27.599,24.0,min,M
Tá Chovendo Hambúrguer,(2009),"Animation, Adventure, Comedy",90,6.9,124.87,192.874,66.0,min,M
Arraste-me para o Inferno,(2009),"Horror, Thriller",99,6.5,42.10,180.953,83.0,min,M
Go Get Some Rosemary,(2009),"Comedy, Drama",100,6.8,0.02,1.242,74.0,min,M
Tudo Pode Dar Certo,(2009),"Comedy, Romance",93,7.1,5.31,68.342,45.0,min,M
Grandes Mentiras,(2009),"Comedy, Drama",107,3.7,,2.173,,min,
Obsessiva,(2009),"Drama, Romance, Thriller",108,5.0,68.26,28.002,25.0,min,M
2019 - O Ano da Extinção,(2009),"Action, Fantasy, Horror",98,6.4,30.10,118.713,57.0,min,M
O Sequestro do Metrô 123,(2009),"Action, Crime, Thriller",106,6.4,65.45,178.072,55.0,min,M
Intrigas de Estado,(2009),"Crime, Drama, Mystery",127,7.1,37.02,129.942,64.0,min,M
Nine,(2009),"Drama, Musical, Romance",118,5.8,24.00,41.342,49.0,min,M
Premonição 4,(2009),"Horror, Thriller",82,5.2,66.48,92.012,30.0,min,M
Renascido das Trevas,(2009),Horror,90,5.3,,11.073,,min,
A Jovem Rainha Vitória,(2009),"Biography, Drama, History",105,7.3,11.00,55.209,64.0,min,M
Ano Um,(2009),Comedy,97,4.9,43.34,88.200,34.0,min,M
Monstros vs. Alienígenas,(2009),"Animation, Action, Comedy",94,6.4,198.35,140.034,56.0,min,M
Educação,(2009),Drama,100,7.3,12.57,124.796,85.0,min,M
Sede de Sangue,(2009),"Drama, Fantasy, Horror",134,7.1,0.30,39.588,73.0,min,M
H2: Halloween 2,(2009),Horror,105,4.9,33.39,46.285,35.0,min,M
O Mistério das Duas Irmãs,(2009),"Drama, Horror, Mystery",87,6.3,28.57,73.130,43.0,min,M
Anjos da Noite: A Rebelião,(2009),"Action, Fantasy, Sci-Fi",92,6.6,45.80,145.325,44.0,min,M
Invictus,(2009),"Biography, Drama, History",134,7.3,37.49,143.754,74.0,min,M
Os Piratas do Rock,(2009),"Comedy, Drama, Music",135,7.4,7.99,104.315,58.0,min,M
Conversa Truncada,(2009),Comedy,106,7.4,2.38,52.291,83.0,min,M
