Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Caminhos Perigosos,(1973),"Crime, Drama, Thriller",112,7.3,3.13,91.328,96.0,Martin Scorsese,":
Robert De Niro, 
Harvey Keitel, 
David Proval, 
Amy Robinson
",min,M
O Exorcista,(1973),Horror,122,8.0,232.91,344.910,81.0,William Friedkin,":
Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb
",min,M
Loucuras de Verão,(1973),"Comedy, Drama",110,7.4,115.00,77.113,97.0,George Lucas,":
Richard Dreyfuss, 
Ron Howard, 
Paul Le Mat, 
Charles Martin Smith
",min,M
A Montanha Sagrada,(1973),"Adventure, Drama, Fantasy",114,7.9,0.06,33.315,,Alejandro Jodorowsky,":
Alejandro Jodorowsky, 
Horacio Salinas, 
Zamira Saunders, 
Juan Ferrara
",min,M
Robin Hood,(1973),"Animation, Adventure, Comedy",83,7.6,32.06,108.209,57.0,Wolfgang Reitherman,":
Brian Bedford, 
Phil Harris, 
Roger Miller, 
Peter Ustinov
",min,M
O Homem de Palha,(1973),"Horror, Mystery, Thriller",88,7.5,0.06,62.851,87.0,Robin Hardy,":
Edward Woodward, 
Christopher Lee, 
Diane Cilento, 
Britt Ekland
",min,M
Golpe de Mestre,(1973),"Comedy, Crime, Drama",129,8.3,159.60,228.067,83.0,George Roy Hill,":
Paul Newman, 
Robert Redford, 
Robert Shaw, 
Charles Durning
",min,M
Westworld: Onde Ninguém tem Alma,(1973),"Action, Sci-Fi, Thriller",88,7.0,16.06,48.431,77.0,Michael Crichton,":
Yul Brynner, 
Richard Benjamin, 
James Brolin, 
Norman Bartold
",min,M
Serpico,(1973),"Biography, Crime, Drama",130,7.7,29.80,101.000,87.0,Sidney Lumet,":
Al Pacino, 
John Randolph, 
Jack Kehoe, 
Biff McGuire
",min,M
Papillon,(1973),"Biography, Crime, Drama",151,8.0,53.27,115.904,58.0,Franklin J. Schaffner,":
Steve McQueen, 
Dustin Hoffman, 
Victor Jory, 
Don Gordon
",min,M
Com 007 Viva e Deixe Morrer,(1973),"Action, Adventure, Thriller",121,6.8,35.38,90.568,55.0,Guy Hamilton,":
Roger Moore, 
Yaphet Kotto, 
Jane Seymour, 
Clifton James
",min,M
O Estranho sem Nome,(1973),"Drama, Mystery, Western",105,7.5,15.70,46.855,69.0,Clint Eastwood,":
Clint Eastwood, 
Verna Bloom, 
Marianna Hill, 
Mitchell Ryan
",min,M
No Mundo de 2020,(1973),"Crime, Mystery, Sci-Fi",97,7.1,,54.120,66.0,Richard Fleischer,":
Charlton Heston, 
Edward G. Robinson, 
Leigh Taylor-Young, 
Chuck Connors
",min,
Operação Dragão,(1973),"Action, Crime, Drama",102,7.7,25.00,91.486,83.0,Robert Clouse,":
Bruce Lee, 
John Saxon, 
Jim Kelly, 
Ahna Capri
",min,M
Terra de Ninguém,(1973),"Crime, Drama",94,7.8,,60.798,93.0,Terrence Malick,":
Martin Sheen, 
Sissy Spacek, 
Warren Oates, 
Ramon Bieri
",min,
A Nova Viagem de Sinbad,(1973),"Action, Adventure, Fantasy",105,6.8,,7.689,,Gordon Hessler,":
John Phillip Law, 
Caroline Munro, 
Tom Baker, 
Douglas Wilmer
",min,
Inverno de Sangue em Veneza,(1973),"Drama, Horror, Thriller",110,7.3,,45.350,,Nicolas Roeg,":
Julie Christie, 
Donald Sutherland, 
Hilary Mason, 
Clelia Matania
",min,
Planeta Fantástico,(1973),"Animation, Sci-Fi",72,7.8,,21.969,,René Laloux,":
Barry Bostwick, 
Jennifer Drake, 
Eric Baugin, 
Jean Topart
",min,
Amarcord,(1973),"Comedy, Drama",123,7.9,,36.823,,Federico Fellini,":
Magali Noël, 
Bruno Zanin, 
Pupella Maggio, 
Armando Brancia
",min,
Contos Imorais,(1973),"Drama, Romance",103,5.6,,3.608,,Walerian Borowczyk,":
Lise Danvers, 
Fabrice Luchini, 
Charlotte Alexandra, 
Lisbeth Hummel
",min,
Lua de Papel,(1973),"Comedy, Drama",102,8.1,30.93,39.283,77.0,Peter Bogdanovich,":
Ryan O'Neal, 
Tatum O'Neal, 
Madeline Kahn, 
John Hillerman
",min,M
Um Perigoso Adeus,(1973),"Comedy, Crime, Drama",112,7.6,0.96,23.550,87.0,Robert Altman,":
Elliott Gould, 
Nina van Pallandt, 
Sterling Hayden, 
Mark Rydell
",min,M
Magnum 44,(1973),"Action, Crime, Mystery",124,7.2,,52.879,58.0,Ted Post,":
Clint Eastwood, 
Hal Holbrook, 
Mitchell Ryan, 
David Soul
",min,
O Dia do Chacal,(1973),"Crime, Drama, Thriller",143,7.8,16.06,35.361,80.0,Fred Zinnemann,":
Edward Fox, 
Terence Alexander, 
Michel Auclair, 
Alan Badel
",min,M
Coffy: Em Busca da Vingança,(1973),"Action, Crime, Thriller",90,6.8,,9.030,,Jack Hill,":
Pam Grier, 
Booker Bradshaw, 
Robert DoQui, 
William Elliott
",min,
Nosso Amor de Ontem,(1973),"Drama, Romance",118,7.1,,20.898,61.0,Sydney Pollack,":
Barbra Streisand, 
Robert Redford, 
Bradford Dillman, 
Lois Chiles
",min,
A Última Missão,(1973),"Comedy, Drama",104,7.5,,20.745,89.0,Hal Ashby,":
Jack Nicholson, 
Randy Quaid, 
Otis Young, 
Clifton James
",min,
A Menina e o Porquinho,(1973),"Animation, Family, Musical",94,6.9,5.23,15.962,,Charles A. Nichols,":
Debbie Reynolds, 
Henry Gibson, 
Paul Lynde, 
Rex Allen
",min,M
Os Três Mosqueteiros,(1973),"Action, Adventure",106,7.2,22.02,14.704,,Richard Lester,":
Oliver Reed, 
Raquel Welch, 
Richard Chamberlain, 
Michael York
",min,M
Meu Nome é Ninguém,(1973),"Comedy, Western",116,7.5,,21.798,,Tonino Valerii,":
Terence Hill, 
Henry Fonda, 
Jean Martin, 
R.G. Armstrong
",min,
Shaft na África,(1973),"Action, Adventure, Crime",112,5.9,,2.394,,John Guillermin,":
Richard Roundtree, 
Frank Finlay, 
Vonetta McGee, 
Neda Arneric
",min,
Jesus Cristo Superstar,(1973),"Drama, History, Musical",106,7.4,24.48,23.795,64.0,Norman Jewison,":
Ted Neeley, 
Carl Anderson, 
Yvonne Elliman, 
Barry Dennen
",min,M
