Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Zodíaco,(2007),"Crime, Drama, Mystery",157,7.7,33.08,414.648,78.0,David Fincher,":
Jake Gyllenhaal, 
Robert Downey Jr., 
Mark Ruffalo, 
Anthony Edwards
",min,M
Onde os Fracos Não Têm Vez,(2007),"Crime, Drama, Thriller",122,8.1,74.28,795.649,91.0,Ethan Coen,":
Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson
",min,M
A Bússola de Ouro,(2007),"Adventure, Family, Fantasy",113,6.1,70.11,173.227,51.0,Chris Weitz,":
Nicole Kidman, 
Daniel Craig, 
Dakota Blue Richards, 
Ben Walker
",min,M
Stardust: O Mistério da Estrela,(2007),"Adventure, Family, Fantasy",127,7.6,38.63,244.109,66.0,Matthew Vaughn,":
Charlie Cox, 
Claire Danes, 
Sienna Miller, 
Ian McKellen
",min,M
Desejo e Reparação,(2007),"Drama, Mystery, Romance",123,7.8,50.93,234.940,85.0,Joe Wright,":
Keira Knightley, 
James McAvoy, 
Brenda Blethyn, 
Saoirse Ronan
",min,M
Harry Potter e a Ordem da Fênix,(2007),"Action, Adventure, Family",138,7.5,292.00,473.145,71.0,David Yates,":
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Brendan Gleeson
",min,M
Motoqueiro Fantasma,(2007),"Action, Fantasy, Thriller",110,5.2,115.80,214.519,35.0,Mark Steven Johnson,":
Nicolas Cage, 
Eva Mendes, 
Sam Elliott, 
Matt Long
",min,M
À Prova de Morte,(2007),"Action, Thriller",113,7.0,,255.339,,Quentin Tarantino,":
Kurt Russell, 
Zoë Bell, 
Rosario Dawson, 
Vanessa Ferlito
",min,
Atirador,(I) (2007),"Action, Drama, Thriller",124,7.2,47.00,298.268,53.0,Antoine Fuqua,":
Mark Wahlberg, 
Michael Peña, 
Rhona Mitra, 
Danny Glover
",min,M
Superbad: É Hoje,(2007),Comedy,113,7.6,121.46,497.607,76.0,Greg Mottola,":
Michael Cera, 
Jonah Hill, 
Christopher Mintz-Plasse, 
Bill Hader
",min,M
Sangue Negro,(2007),Drama,158,8.2,40.22,480.914,93.0,Paul Thomas Anderson,":
Daniel Day-Lewis, 
Paul Dano, 
Ciarán Hinds, 
Martin Stringer
",min,M
Ratatouille,(2007),"Animation, Adventure, Comedy",111,8.0,206.45,602.610,96.0,Brad Bird,":
Brad Garrett, 
Lou Romano, 
Patton Oswalt, 
Ian Holm
",min,M
Jogos do Poder,(2007),"Biography, Comedy, Drama",102,7.0,66.66,104.382,68.0,Mike Nichols,":
Tom Hanks, 
Julia Roberts, 
Philip Seymour Hoffman, 
Amy Adams
",min,M
