Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Gladiador,(2000),"Action, Adventure, Drama",155,8.5,187.71,1.259.528,67.0,min,M
Psicopata Americano,(2000),"Crime, Drama",101,7.6,15.07,450.663,64.0,min,M
Snatch: Porcos e Diamantes,(2000),"Comedy, Crime",104,8.3,30.33,740.938,55.0,min,M
Quase Famosos,(2000),"Adventure, Comedy, Drama",122,7.9,32.53,240.324,90.0,min,M
Réquiem para um Sonho,(2000),Drama,102,8.3,3.64,723.068,68.0,min,M
Duelo de Titãs,(2000),"Biography, Drama, Sport",113,7.8,115.65,188.662,48.0,min,M
O Patriota,(2000),"Action, Drama, History",165,7.2,113.33,243.401,63.0,min,M
Amnésia,(2000),"Mystery, Thriller",113,8.4,25.54,1.061.513,80.0,min,M
Náufrago,(2000),"Adventure, Drama, Romance",143,7.8,233.63,488.876,73.0,min,M
Todo Mundo em Pânico,(2000),Comedy,88,6.2,157.02,221.250,48.0,min,M
X-Men: O Filme,(2000),"Action, Adventure, Sci-Fi",104,7.4,157.30,549.494,64.0,min,M
Missão: Impossível 2,(2000),"Action, Adventure, Thriller",123,6.1,215.41,298.951,59.0,min,M
Revelação,(2000),"Drama, Fantasy, Horror",130,6.6,155.46,112.962,51.0,min,M
Malena,(2000),"Comedy, Drama, Romance",108,7.5,3.43,83.255,54.0,min,M
As Panteras,(2000),"Action, Adventure, Comedy",98,5.5,125.31,168.546,52.0,min,M
Billy Elliot,(2000),"Drama, Music",110,7.7,22.00,119.584,74.0,min,M
O Grinch,(2000),"Comedy, Family, Fantasy",104,6.1,260.04,193.232,46.0,min,M
Corpo Fechado,(2000),"Drama, Mystery, Sci-Fi",106,7.3,95.01,368.574,62.0,min,M
"Erin Brockovich, uma Mulher de Talento",(2000),"Biography, Drama",131,7.3,125.60,164.008,73.0,min,M
60 Segundos,(2000),"Action, Crime, Thriller",118,6.5,101.65,251.109,35.0,min,M
Chocolate,(2000),"Drama, Romance",121,7.2,71.51,171.511,64.0,min,M
Premonição,(2000),"Horror, Thriller",98,6.7,53.33,217.890,36.0,min,M
Sob a Luz da Fama,(2000),"Drama, Music, Romance",115,6.7,17.17,17.945,52.0,min,M
Quebrando o Gelo,(2000),"Adventure, Comedy, Family",89,5.1,60.02,11.065,34.0,min,M
"E Aí, Meu Irmão, Cadê Você?",(2000),"Adventure, Comedy, Crime",107,7.7,45.51,271.289,69.0,min,M
O Dom da Premonição,(2000),"Drama, Fantasy, Horror",112,6.6,12.01,60.527,62.0,min,M
Show Bar,(2000),"Comedy, Drama, Music",100,5.7,60.79,102.832,27.0,min,M
Drácula 2000,(2000),"Action, Fantasy, Horror",99,4.8,33.02,31.001,26.0,min,M
Miss Simpatia,(2000),"Action, Comedy, Crime",109,6.2,106.81,176.076,43.0,min,M
Teenagers: As Apimentadas,(2000),"Comedy, Romance, Sport",98,6.0,68.38,83.127,52.0,min,M
Caindo na Estrada,(2000),"Adventure, Comedy",93,6.4,68.54,151.704,55.0,min,M
