Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Drácula de Bram Stoker,(1992),Horror,128,7.4,82.52,180.918,57.0,Francis Ford Coppola,":
Gary Oldman, 
Winona Ryder, 
Anthony Hopkins, 
Keanu Reeves
",min,M
Aladdin,(1992),"Animation, Adventure, Comedy",90,8.0,217.35,344.808,86.0,Ron Clements,":
Scott Weinger, 
Robin Williams, 
Linda Larkin, 
Jonathan Freeman
",min,M
Cães de Aluguel,(1992),"Crime, Drama, Thriller",99,8.3,2.83,863.982,79.0,Quentin Tarantino,":
Harvey Keitel, 
Tim Roth, 
Michael Madsen, 
Chris Penn
",min,M
Os Imperdoáveis,(1992),"Drama, Western",130,8.2,101.16,353.306,85.0,Clint Eastwood,":
Clint Eastwood, 
Gene Hackman, 
Morgan Freeman, 
Richard Harris
",min,M
Instinto Selvagem,(1992),"Drama, Mystery, Thriller",127,7.0,117.73,161.831,41.0,Paul Verhoeven,":
Michael Douglas, 
Sharon Stone, 
George Dzundza, 
Jeanne Tripplehorn
",min,M
Todas as Mulheres Fazem,(1992),"Comedy, Drama",93,5.3,,3.636,,Tinto Brass,":
Claudia Koll, 
Paolo Lanza, 
Franco Branciaroli, 
Isabella Deiana
",min,
Uma Equipe Muito Especial,(1992),"Comedy, Drama, Family",128,7.2,107.53,86.946,67.0,Penny Marshall,":
Tom Hanks, 
Geena Davis, 
Lori Petty, 
Madonna
",min,M
Retorno a Howards End,(1992),"Drama, Romance",142,7.4,25.97,26.823,89.0,James Ivory,":
Anthony Hopkins, 
Emma Thompson, 
Vanessa Redgrave, 
Helena Bonham Carter
",min,M
O Último dos Moicanos,(1992),"Action, Adventure, Drama",112,7.7,75.51,140.584,76.0,Michael Mann,":
Daniel Day-Lewis, 
Madeleine Stowe, 
Russell Means, 
Eric Schweig
",min,M
Esqueceram de Mim 2: Perdido em Nova York,(1992),"Adventure, Comedy, Crime",120,6.7,173.59,281.902,,Chris Columbus,":
Macaulay Culkin, 
Joe Pesci, 
Daniel Stern, 
Catherine O'Hara
",min,M
Meu Primo Vinny,(1992),"Comedy, Crime",120,7.6,52.93,99.943,68.0,Jonathan Lynn,":
Joe Pesci, 
Marisa Tomei, 
Ralph Macchio, 
Mitchell Whitfield
",min,M
A Morte lhe Cai Bem,(1992),"Comedy, Fantasy, Horror",104,6.6,58.42,97.085,56.0,Robert Zemeckis,":
Meryl Streep, 
Bruce Willis, 
Goldie Hawn, 
Isabella Rossellini
",min,M
Batman: O Retorno,(1992),"Action, Crime, Fantasy",126,7.0,162.83,261.397,68.0,Tim Burton,":
Michael Keaton, 
Danny DeVito, 
Michelle Pfeiffer, 
Christopher Walken
",min,M
Alien 3,(1992),"Action, Horror, Sci-Fi",114,6.5,55.47,263.518,59.0,David Fincher,":
Sigourney Weaver, 
Charles S. Dutton, 
Charles Dance, 
Paul McGann
",min,M
Nós Somos os Campeões,(1992),"Comedy, Drama, Family",104,6.5,50.75,54.765,46.0,Stephen Herek,":
Emilio Estevez, 
Joss Ackland, 
Lane Smith, 
Heidi Kling
",min,M
Perfume de Mulher,(1992),Drama,156,8.0,63.90,241.846,59.0,Martin Brest,":
Al Pacino, 
Chris O'Donnell, 
James Rebhorn, 
Gabrielle Anwar
",min,M
Questão de Honra,(1992),"Drama, Thriller",138,7.7,141.34,221.217,62.0,Rob Reiner,":
Tom Cruise, 
Jack Nicholson, 
Demi Moore, 
Kevin Bacon
",min,M
Jogos Patrióticos,(1992),"Action, Thriller",117,6.9,83.29,97.177,64.0,Phillip Noyce,":
Harrison Ford, 
Sean Bean, 
Anne Archer, 
Patrick Bergin
",min,M
Extra! Extra!,(1992),"Drama, Family, History",121,7.0,2.82,17.810,46.0,Kenny Ortega,":
Christian Bale, 
Bill Pullman, 
Robert Duvall, 
Ann-Margret
",min,M
O Mistério de Candyman,(1992),"Horror, Thriller",99,6.6,25.79,62.637,61.0,Bernard Rose,":
Virginia Madsen, 
Xander Berkeley, 
Tony Todd, 
Kasi Lemmons
",min,M
Mudança de Hábito,(1992),"Comedy, Crime, Family",100,6.4,139.61,81.854,51.0,Emile Ardolino,":
Whoopi Goldberg, 
Maggie Smith, 
Kathy Najimy, 
Wendy Makkena
",min,M
