Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Titanic,(1997),"Drama, Romance",194,7.8,659.33,989.394,75.0,min,M
O Quinto Elemento,(1997),"Action, Adventure, Sci-Fi",126,7.7,63.54,414.138,52.0,min,M
Gênio Indomável,(1997),"Drama, Romance",126,8.3,138.43,799.728,70.0,min,M
A Vida é Bela,(1997),"Comedy, Drama, Romance",116,8.6,57.60,577.803,59.0,min,M
MIB: Homens de Preto,(1997),"Action, Adventure, Comedy",98,7.3,250.69,492.069,71.0,min,M
Tropas Estelares,(1997),"Action, Adventure, Sci-Fi",129,7.2,54.81,256.432,51.0,min,M
Boogie Nights: Prazer Sem Limites,(1997),Drama,155,7.9,26.40,226.037,85.0,min,M
Jackie Brown,(1997),"Crime, Drama, Thriller",154,7.5,39.67,297.498,64.0,min,M
Hércules,(1997),"Animation, Adventure, Comedy",93,7.3,99.05,191.046,74.0,min,M
Advogado do Diabo,(1997),"Drama, Mystery, Thriller",144,7.5,60.98,311.052,60.0,min,M
Donnie Brasco,(1997),"Biography, Crime, Drama",127,7.7,41.91,261.476,76.0,min,M
Beijos que Matam,(1997),"Crime, Drama, Mystery",115,6.6,60.53,61.102,46.0,min,M
Melhor é Impossível,(1997),"Comedy, Drama, Romance",139,7.7,148.48,261.283,67.0,min,M
O Mentiroso,(1997),"Comedy, Fantasy",86,6.9,181.41,267.560,70.0,min,M
Los Angeles: Cidade Proibida,(1997),"Crime, Drama, Mystery",138,8.2,64.62,506.765,90.0,min,M
O Enigma do Horizonte,(1997),"Horror, Sci-Fi, Thriller",96,6.7,26.67,148.370,35.0,min,M
Vida Sem Destino,(1997),"Comedy, Drama",89,6.7,0.02,30.224,19.0,min,M
Batman & Robin,(1997),"Action, Sci-Fi",125,3.7,107.33,224.244,28.0,min,M
Lolita,(1997),"Drama, Romance",137,6.9,1.40,48.710,46.0,min,M
"Alien, a Ressurreição",(1997),"Action, Horror, Sci-Fi",109,6.2,47.75,217.628,63.0,min,M
"Austin Powers: 000, um Agente Nada Discreto",(1997),"Adventure, Comedy",94,7.0,53.88,212.252,51.0,min,M
"Gattaca, uma Experiência Genética",(1997),"Drama, Sci-Fi, Thriller",106,7.8,12.34,267.935,64.0,min,M
007 - O Amanhã Nunca Morre,(1997),"Action, Adventure, Thriller",119,6.5,125.33,172.765,52.0,min,M
O Mundo Perdido: Jurassic Park,(1997),"Action, Adventure, Sci-Fi",129,6.6,229.09,357.363,59.0,min,M
Procura-se Amy,(1997),"Comedy, Drama, Romance",113,7.2,12.01,127.833,71.0,min,M
Princesa Mononoke,(1997),"Animation, Adventure, Fantasy",134,8.4,2.38,307.773,76.0,min,M
A Outra Face,(1997),"Action, Crime, Sci-Fi",138,7.3,112.23,334.654,82.0,min,M
O Homem Que Fazia Chover,(1997),"Crime, Drama, Thriller",135,7.2,45.86,58.684,72.0,min,M
Sete Anos no Tibet,(1997),"Adventure, Biography, Drama",136,7.1,37.96,117.697,55.0,min,M
Anastasia,(1997),"Animation, Adventure, Drama",94,7.1,58.41,105.840,61.0,min,M
Estrada Perdida,(1997),"Mystery, Thriller",134,7.6,3.80,122.553,52.0,min,M
Vidas em Jogo,(1997),"Drama, Mystery, Thriller",129,7.8,48.32,324.849,61.0,min,M
O Chacal,(1997),"Action, Crime, Drama",124,6.4,54.93,102.074,36.0,min,M
Breakdown: Implacável Perseguição,(I) (1997),"Crime, Drama, Mystery",93,6.9,50.13,45.940,73.0,min,M
O Casamento do Meu Melhor Amigo,(1997),"Comedy, Drama, Romance",105,6.3,127.12,121.468,50.0,min,M
Cubo,(1997),"Drama, Mystery, Sci-Fi",90,7.2,0.50,198.703,61.0,min,M
O Inferno de Dante,(1997),"Action, Adventure, Thriller",108,5.9,67.13,76.492,43.0,min,M
Contato,(1997),"Drama, Mystery, Sci-Fi",150,7.4,100.92,241.547,62.0,min,M
Con Air: Rota de Fuga,(1997),"Action, Crime, Thriller",115,6.9,101.12,263.925,52.0,min,M
Esqueceram de Mim 3,(1997),"Comedy, Crime, Family",102,4.4,30.88,99.490,,min,M
Anaconda,(1997),"Action, Adventure, Horror",89,4.8,65.89,90.203,37.0,min,M
Perfect Blue,(1997),"Animation, Horror, Mystery",81,8.0,0.78,48.107,,min,M
Violência Gratuita,(1997),"Crime, Drama, Thriller",108,7.6,,59.227,69.0,min,
Selena,(1997),"Biography, Drama, Music",127,6.7,35.42,23.095,67.0,min,M
O Santo,(1997),"Action, Adventure, Romance",116,6.2,61.36,59.603,50.0,min,M
Matador em Conflito,(1997),"Action, Comedy, Crime",107,7.3,28.01,84.287,76.0,min,M
"Spawn, o Soldado do Inferno",(1997),"Action, Drama, Horror",96,5.3,54.97,61.472,34.0,min,M
Força Aérea Um,(1997),"Action, Drama, Thriller",124,6.5,172.96,171.664,61.0,min,M
"George, o Rei da Floresta",(1997),"Action, Adventure, Comedy",92,5.4,105.26,67.506,53.0,min,M
Eu Sei o que Vocês Fizeram no Verão Passado,(1997),"Horror, Mystery",101,5.7,72.59,126.965,52.0,min,M
A Guerra do Hamburguer,(1997),"Comedy, Family",95,5.7,23.69,24.711,41.0,min,M
Pânico 2,(1997),"Horror, Mystery",120,6.2,101.36,149.181,63.0,min,M
Reviravolta,(1997),"Crime, Drama, Thriller",125,6.8,6.63,47.551,54.0,min,M
Até o Limite da Honra,(1997),"Action, Drama, War",125,5.9,48.17,70.304,62.0,min,M
Mortal Kombat: A Aniquilação,(1997),"Action, Adventure, Fantasy",95,3.7,35.93,44.223,11.0,min,M
Amistad,(1997),"Drama, History",155,7.3,44.18,67.681,63.0,min,M
Férias Frustradas em Las Vegas,(1997),Comedy,93,6.0,36.43,42.019,20.0,min,M
Os Pequeninos,(1997),"Adventure, Comedy, Family",89,5.8,22.36,19.110,,min,M
Meu Filho das Selvas,(1997),"Comedy, Family",105,5.2,59.93,21.801,42.0,min,M
Cop Land: A Cidade dos Tiras,(1997),"Crime, Drama, Thriller",105,6.9,44.89,81.849,64.0,min,M
Mera Coincidência,(1997),"Comedy, Drama",97,7.2,43.02,75.953,73.0,min,M
Ou Tudo ou Nada,(1997),"Comedy, Drama",91,7.2,45.95,94.800,75.0,min,M
O Rei da Baixaria,(1997),"Biography, Comedy, Drama",109,6.9,41.20,32.729,67.0,min,M
A Relíquia,(1997),"Horror, Mystery, Sci-Fi",110,5.8,33.96,23.270,55.0,min,M
O Pacificador,(1997),"Action, Thriller",124,5.9,41.26,52.114,43.0,min,M
O Mensageiro,(1997),"Action, Adventure, Drama",177,6.1,17.63,65.955,29.0,min,M
Mutação,(1997),"Horror, Sci-Fi",105,5.9,25.48,43.911,55.0,min,M
Romy e Michele,(1997),Comedy,92,6.2,29.21,39.982,59.0,min,M
Círculo de Paixões,(1997),"Drama, Romance",110,6.4,5.94,11.041,49.0,min,M
Capitão Orgazmo,(1997),"Comedy, Sci-Fi",94,6.1,0.58,33.348,48.0,min,M
No Limite,(1997),"Action, Adventure, Drama",117,6.9,27.78,64.981,,min,M
Meia-Noite no Jardim do Bem e do Mal,(1997),"Crime, Drama, Mystery",155,6.6,25.08,35.550,57.0,min,M
Flubber: Uma Invenção Desmiolada,(1997),"Comedy, Family, Sci-Fi",93,5.3,92.98,80.428,37.0,min,M
Inimigo Íntimo,(1997),"Action, Crime, Drama",111,6.2,42.87,55.510,53.0,min,M
Um Ratinho Encrenqueiro,(1997),Comedy,98,6.4,61.92,48.907,54.0,min,M
Poder Absoluto,(1997),"Action, Crime, Drama",121,6.7,50.01,47.753,52.0,min,M
Kundun,(1997),"Biography, Drama, History",134,7.0,5.53,24.950,74.0,min,M
Filhos do Paraíso,(1997),"Drama, Family, Sport",89,8.3,0.93,57.582,,min,M
Velocidade Máxima 2,(1997),"Action, Adventure, Crime",121,3.9,48.61,71.425,23.0,min,M
Volcano: A Fúria,(1997),"Action, Drama, Sci-Fi",104,5.5,49.32,69.167,55.0,min,M
Tempestade de Gelo,(1997),Drama,112,7.4,7.84,51.799,72.0,min,M
Mr. Bean: O Filme,(1997),"Adventure, Comedy, Family",89,6.5,45.32,92.324,52.0,min,M
Neon Genesis Evangelion: O Fim do Evangelho,(1997),"Animation, Action, Drama",87,8.2,,32.294,,min,
Carne Trêmula,(1997),Drama,103,7.4,1.54,26.726,69.0,min,M
O Negociador,(1997),"Action, Comedy, Crime",117,5.5,31.99,24.603,,min,M
Teoria da Conspiração,(1997),"Action, Mystery, Thriller",135,6.7,75.98,89.761,49.0,min,M
Nada a Perder,(1997),"Action, Adventure, Comedy",98,6.7,44.46,42.198,,min,M
Mistério na Neve,(1997),"Crime, Drama, Mystery",121,6.4,2.22,13.182,45.0,min,M
Preso na Escuridão,(1997),"Drama, Mystery, Sci-Fi",117,7.8,0.37,60.960,,min,M
Garota Biquini,(1997),Comedy,87,3.0,,228,,min,
Um Lobisomem Americano em Paris,(1997),"Comedy, Fantasy, Horror",105,5.1,26.57,22.225,31.0,min,M
O Mundo das Spice Girls,(1997),"Comedy, Family, Music",93,3.5,29.34,32.227,32.0,min,M
Será que Ele é?,(1997),"Comedy, Romance",90,6.4,63.86,37.062,70.0,min,M
O Doce Amanhã,(1997),Drama,112,7.5,3.25,30.622,91.0,min,M
