Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Jurassic Park: O Parque dos Dinossauros,(1993),"Action, Adventure, Sci-Fi",127,8.1,402.45,811.469,68.0,Steven Spielberg,":
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",min,M
A Lista de Schindler,(1993),"Biography, Drama, History",195,8.9,96.90,1.139.963,94.0,Steven Spielberg,":
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall
",min,M
Amor à Queima Roupa,(1993),"Crime, Drama, Romance",119,7.9,12.28,194.986,59.0,Tony Scott,":
Christian Slater, 
Patricia Arquette, 
Dennis Hopper, 
Val Kilmer
",min,M
"Jovens, Loucos e Rebeldes",(1993),Comedy,102,7.6,7.99,152.377,78.0,Richard Linklater,":
Jason London, 
Wiley Wiggins, 
Matthew McConaughey, 
Rory Cochrane
",min,M
Uma Babá Quase Perfeita,(1993),"Comedy, Drama, Family",125,7.0,219.20,230.430,53.0,Chris Columbus,":
Robin Williams, 
Sally Field, 
Pierce Brosnan, 
Harvey Fierstein
",min,M
O Fugitivo,(1993),"Action, Crime, Drama",130,7.8,183.88,252.931,87.0,Andrew Davis,":
Harrison Ford, 
Tommy Lee Jones, 
Sela Ward, 
Julianne Moore
",min,M
Gilbert Grape: Aprendiz de Sonhador,(1993),Drama,118,7.8,9.17,203.304,73.0,Lasse Hallström,":
Johnny Depp, 
Leonardo DiCaprio, 
Juliette Lewis, 
Mary Steenburgen
",min,M
Tombstone: A Justiça Está Chegando,(1993),"Action, Biography, Drama",130,7.8,56.51,118.787,50.0,George P. Cosmatos,":
Kurt Russell, 
Val Kilmer, 
Sam Elliott, 
Bill Paxton
",min,M
A Família Addams 2,(1993),"Comedy, Fantasy",94,6.7,48.92,74.089,62.0,Barry Sonnenfeld,":
Anjelica Huston, 
Raul Julia, 
Christopher Lloyd, 
Joan Cusack
",min,M
Free Willy,(1993),"Adventure, Drama, Family",112,5.9,77.70,64.991,79.0,Simon Wincer,":
Jason James Richter, 
Lori Petty, 
Michael Madsen, 
Jayne Atkinson
",min,M
Feitiço do Tempo,(1993),"Comedy, Fantasy, Romance",101,8.0,70.91,553.670,72.0,Harold Ramis,":
Bill Murray, 
Andie MacDowell, 
Chris Elliott, 
Stephen Tobolowsky
",min,M
O Pagamento Final,(1993),"Crime, Drama, Thriller",144,7.9,36.95,190.472,65.0,Brian De Palma,":
Al Pacino, 
Sean Penn, 
Penelope Ann Miller, 
John Leguizamo
",min,M
Filadélfia,(1993),Drama,125,7.7,77.32,212.297,66.0,Jonathan Demme,":
Tom Hanks, 
Denzel Washington, 
Roberta Maxwell, 
Buzz Kilman
",min,M
Sintonia de Amor,(1993),"Comedy, Drama, Romance",105,6.8,126.53,150.000,72.0,Nora Ephron,":
Tom Hanks, 
Meg Ryan, 
Ross Malinger, 
Rita Wilson
",min,M
Um Dia de Fúria,(1993),"Crime, Drama, Thriller",113,7.6,40.90,160.590,56.0,Joel Schumacher,":
Michael Douglas, 
Robert Duvall, 
Barbara Hershey, 
Rachel Ticotin
",min,M
O Piano,(1993),"Drama, Music, Romance",121,7.6,40.16,74.814,89.0,Jane Campion,":
Holly Hunter, 
Harvey Keitel, 
Sam Neill, 
Anna Paquin
",min,M
Sonho de Campeão,(1993),"Comedy, Family, Fantasy",103,6.0,53.58,23.289,53.0,Daniel Stern,":
Thomas Ian Nicholas, 
Gary Busey, 
Albert Hall, 
Amy Morton
",min,M
A Época da Inocência,(1993),"Drama, Romance",139,7.2,32.20,46.523,90.0,Martin Scorsese,":
Daniel Day-Lewis, 
Michelle Pfeiffer, 
Winona Ryder, 
Linda Faye Farkas
",min,M
"Dennis, o Pimentinha",(1993),"Comedy, Family",94,5.6,51.27,53.087,,Nick Castle,":
Walter Matthau, 
Mason Gamble, 
Joan Plowright, 
Christopher Lloyd
",min,M
Desafio no Bronx,(1993),"Crime, Drama, Romance",121,7.8,17.27,120.676,80.0,Robert De Niro,":
Robert De Niro, 
Chazz Palminteri, 
Lillo Brancato, 
Francis Capra
",min,M
O Demolidor,(1993),"Action, Sci-Fi, Thriller",115,6.7,58.06,150.136,34.0,Marco Brambilla,":
Sylvester Stallone, 
Wesley Snipes, 
Sandra Bullock, 
Nigel Hawthorne
",min,M
Jamaica Abaixo de Zero,(1993),"Adventure, Comedy, Family",98,7.0,68.86,86.961,60.0,Jon Turteltaub,":
John Candy, 
Leon, 
Doug E. Doug, 
Rawle D. Lewis
",min,M
