Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Um Príncipe em Nova York,(1988),"Comedy, Romance",116,7.0,128.15,153.255,47.0,John Landis,":
Eddie Murphy, 
Paul Bates, 
Garcelle Beauvais, 
Feather
",min,M
Willow: Na Terra da Magia,(1988),"Action, Adventure, Drama",126,7.3,57.27,95.938,47.0,Ron Howard,":
Val Kilmer, 
Joanne Whalley, 
Warwick Davis, 
Jean Marsh
",min,M
Os Fantasmas se Divertem,(1988),"Comedy, Fantasy",92,7.5,73.71,243.043,70.0,Tim Burton,":
Alec Baldwin, 
Geena Davis, 
Michael Keaton, 
Annie McEnroe
",min,M
Duro de Matar,(1988),"Action, Thriller",132,8.2,83.01,746.843,72.0,John McTiernan,":
Bruce Willis, 
Alan Rickman, 
Bonnie Bedelia, 
Reginald VelJohnson
",min,M
Quero ser Grande,(1988),"Comedy, Drama, Fantasy",104,7.3,114.97,186.277,73.0,Penny Marshall,":
Tom Hanks, 
Elizabeth Perkins, 
Robert Loggia, 
John Heard
",min,M
Corra que a Polícia vem Aí!,(1988),"Comedy, Crime",85,7.6,78.76,141.271,76.0,David Zucker,":
Leslie Nielsen, 
Priscilla Presley, 
O.J. Simpson, 
Ricardo Montalban
",min,M
Uma Cilada para Roger Rabbit,(1988),"Animation, Adventure, Comedy",104,7.7,156.45,173.246,83.0,Robert Zemeckis,":
Bob Hoskins, 
Christopher Lloyd, 
Joanna Cassidy, 
Charles Fleischer
",min,M
Túmulo dos Vagalumes,(1988),"Animation, Drama, War",89,8.5,,209.864,,Isao Takahata,":
Tsutomu Tatsumi, 
Ayano Shiraishi, 
Akemi Yamaguchi, 
Yoshiko Shinohara
",min,
Rain Man,(1988),Drama,133,8.0,178.80,452.651,65.0,Barry Levinson,":
Dustin Hoffman, 
Tom Cruise, 
Valeria Golino, 
Gerald R. Molen
",min,M
Eles Vivem,(1988),"Action, Horror, Sci-Fi",94,7.3,13.01,101.350,54.0,John Carpenter,":
Roddy Piper, 
Keith David, 
Meg Foster, 
George 'Buck' Flower
",min,M
Akira,(1988),"Animation, Action, Drama",124,8.0,0.55,149.713,,Katsuhiro Ôtomo,":
Mitsuo Iwata, 
Nozomu Sasaki, 
Mami Koyama, 
Tesshô Genda
",min,M
Brinquedo Assassino,(1988),"Horror, Thriller",87,6.6,33.24,82.144,58.0,Tom Holland,":
Catherine Hicks, 
Chris Sarandon, 
Alex Vincent, 
Brad Dourif
",min,M
Fuga à Meia-Noite,(1988),"Action, Comedy, Crime",126,7.5,38.41,67.963,78.0,Martin Brest,":
Robert De Niro, 
Charles Grodin, 
Yaphet Kotto, 
John Ashton
",min,M
Uma Secretária de Futuro,(1988),"Comedy, Drama, Romance",113,6.8,64.00,49.097,73.0,Mike Nichols,":
Melanie Griffith, 
Harrison Ford, 
Sigourney Weaver, 
Alec Baldwin
",min,M
Cinema Paradiso,(1988),Drama,155,8.5,11.99,211.244,80.0,Giuseppe Tornatore,":
Philippe Noiret, 
Enzo Cannavale, 
Antonella Attili, 
Isa Danieli
",min,M
A Última Tentação de Cristo,(1988),Drama,164,7.6,7.63,48.447,80.0,Martin Scorsese,":
Willem Dafoe, 
Harvey Keitel, 
Barbara Hershey, 
Paul Greco
",min,M
Um Peixe Chamado Wanda,(1988),"Comedy, Crime",108,7.5,63.49,125.560,80.0,Charles Crichton,":
John Cleese, 
Jamie Lee Curtis, 
Kevin Kline, 
Michael Palin
",min,M
Rambo III,(1988),"Action, Adventure",102,5.8,53.72,115.757,36.0,Peter MacDonald,":
Sylvester Stallone, 
Richard Crenna, 
Marc de Jonge, 
Kurtwood Smith
",min,M
Meu Amigo Totoro,(1988),"Animation, Family, Fantasy",86,8.2,1.11,250.798,86.0,Hayao Miyazaki,":
Hitoshi Takagi, 
Noriko Hidaka, 
Chika Sakamoto, 
Shigesato Itoi
",min,M
Amigas para Sempre,(1988),"Comedy, Drama, Music",123,6.9,57.04,21.974,46.0,Garry Marshall,":
Bette Midler, 
Barbara Hershey, 
John Heard, 
Spalding Gray
",min,M
Os Jovens Pistoleiros,(1988),"Action, Western",107,6.9,45.66,51.735,50.0,Christopher Cain,":
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Charlie Sheen
",min,M
O Grande Dragão Branco,(1988),"Action, Biography, Drama",92,6.8,11.81,71.562,29.0,Newt Arnold,":
Jean-Claude Van Damme, 
Donald Gibb, 
Leah Ayres, 
Norman Burton
",min,M
