Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Indiana Jones e os Caçadores da Arca Perdida,(1981),"Action, Adventure",115,8.4,248.16,838.129,85.0,min,M
Uma Noite Alucinante: A Morte do Demônio,(1981),Horror,85,7.5,2.40,176.110,71.0,min,M
Fuga de Nova York,(1981),"Action, Adventure, Sci-Fi",99,7.2,25.24,116.413,76.0,min,M
O Barco: Inferno no Mar,(1981),"Adventure, Drama, Thriller",149,8.3,11.49,218.095,86.0,min,M
Um Lobisomem Americano em Londres,(1981),"Comedy, Horror",97,7.5,30.57,85.827,60.0,min,M
Porky's: A Casa do Amor e do Riso,(1981),Comedy,94,6.2,111.29,36.170,40.0,min,M
"Excalibur, a Espada do Poder",(1981),"Adventure, Drama, Fantasy",140,7.4,34.97,54.861,56.0,min,M
Mad Max 2: A Caçada Continua,(1981),"Action, Adventure, Sci-Fi",96,7.6,12.47,158.694,77.0,min,M
Recrutas da Pesada,(1981),"Comedy, War",106,6.9,85.30,61.269,68.0,min,M
Heavy Metal - Universo em Fantasia,(1981),"Animation, Adventure, Fantasy",86,6.7,,29.424,51.0,min,
Corpos Ardentes,(1981),"Crime, Drama, Romance",113,7.4,24.06,28.948,77.0,min,M
Confissões Verdadeiras,(1981),"Crime, Drama",108,6.3,10.20,6.780,68.0,min,M
Fúria de Titãs,(1981),"Action, Adventure, Family",118,6.9,41.09,38.638,59.0,min,M
"Quem Não Corre, Voa",(1981),"Action, Comedy, Sport",95,6.3,72.18,31.391,28.0,min,M
Possessão,(1981),"Drama, Horror",124,7.4,1.11,21.945,72.0,min,M
007 - Somente Para Seus Olhos,(1981),"Action, Adventure, Thriller",127,6.8,62.30,86.275,54.0,min,M
Os Bandidos do Tempo,(1981),"Adventure, Comedy, Fantasy",116,7.0,42.37,55.186,79.0,min,M
"Arthur, o Milionário Sedutor",(1981),"Comedy, Romance",97,6.9,95.46,24.504,69.0,min,M
Gallipoli,(1981),"Adventure, Drama, History",110,7.4,5.73,34.909,65.0,min,M
Grito de Horror,(1981),Horror,91,6.6,17.99,29.089,68.0,min,M
O Cão e a Raposa,(1981),"Animation, Adventure, Drama",83,7.3,63.46,79.841,65.0,min,M
Scanners: Sua Mente Pode Destruir,(1981),"Horror, Sci-Fi, Thriller",103,6.8,14.23,44.640,60.0,min,M
Amor sem Fim,(1981),"Drama, Romance",116,4.9,31.18,6.703,30.0,min,M
Chamas da Morte,(1981),Horror,91,6.4,,14.309,42.0,min,
"Sexta-Feira 13, Parte 2",(1981),"Horror, Mystery, Thriller",87,6.1,21.72,54.446,26.0,min,M
Carruagens de Fogo,(1981),"Biography, Drama, Sport",125,7.2,58.97,50.970,78.0,min,M
Um Tiro na Noite,(1981),"Mystery, Thriller",108,7.4,13.75,39.787,85.0,min,M
Obstinação,(1981),"Crime, Drama, Mystery",109,6.9,1.73,4.603,70.0,min,M
O Dragão e o Feiticeiro,(1981),"Action, Adventure, Fantasy",108,6.7,14.11,13.982,68.0,min,M
Num Lago Dourado,(1981),Drama,109,7.6,119.29,26.072,68.0,min,M
S.O.B. Nos Bastidores de Hollywood,(1981),"Comedy, Drama",122,6.4,14.87,5.186,62.0,min,M
A Guerra do Fogo,(1981),"Adventure, Drama, History",100,7.3,20.96,19.624,79.0,min,M
A Cara do Pai,(1981),"Comedy, Drama",92,5.7,9.57,2.379,,min,M
A Mulher do Tenente Francês,(1981),"Drama, Romance",124,7.0,22.60,11.287,64.0,min,M
Terror nas Trevas,(1981),Horror,87,6.8,0.12,18.730,,min,M
A História do Mundo - Parte I,(1981),"Comedy, History",92,6.9,31.67,43.809,47.0,min,M
Galáxia do Terror,(1981),"Action, Adventure, Horror",81,5.1,,6.115,38.0,min,
Halloween 2: O Pesadelo Continua!,(1981),Horror,92,6.5,25.53,69.986,40.0,min,M
Profissão: Ladrão,(1981),"Action, Crime, Drama",123,7.4,11.49,22.770,78.0,min,M
Ausência de Malícia,(1981),"Drama, Romance, Thriller",116,6.9,40.72,11.256,64.0,min,M
Outland: Comando Titânio,(1981),"Action, Crime, Sci-Fi",109,6.6,17.37,25.688,48.0,min,M
"Tarzan, o Filho da Selva",(1981),"Adventure, Drama",115,3.4,36.57,4.950,24.0,min,M
Sedução E Vingança,(1981),"Crime, Drama, Thriller",80,6.8,,7.745,62.0,min,
Uma Professora Muito Especial,(1981),Comedy,87,5.2,26.28,3.101,34.0,min,M
Mamãezinha Querida,(1981),"Biography, Drama",129,6.7,19.03,13.469,55.0,min,M
O Destino Bate à sua Porta,(1981),"Crime, Drama, Romance",122,6.6,12.38,20.413,61.0,min,M
O Dia dos Namorados Macabro,(1981),"Horror, Mystery, Thriller",90,6.3,5.67,16.234,46.0,min,M
Agonia Rasputim,(1981),"Biography, Drama, History",151,7.0,,1.158,,min,
O Confronto Final,(1981),"Action, Thriller",106,7.2,5.00,15.105,63.0,min,M
Toque de Recolher,(I) (1981),Drama,126,6.8,35.86,15.820,49.0,min,M
Canibal Ferox,(1981),"Adventure, Horror",93,5.2,,8.527,,min,
As Duas Faces de Zorro,(1981),"Action, Adventure, Comedy",93,6.2,11.12,3.858,52.0,min,M
Reds,(1981),"Biography, Drama, History",195,7.3,40.38,19.569,76.0,min,M
Histórias de Fantasmas,(1981),"Drama, Horror, Thriller",110,6.3,23.37,7.097,,min,M
A Casa dos Mortos Vivos,(1981),Horror,86,6.2,,11.558,,min,
Piranhas 2: Assassinas Voadoras,(1981),"Drama, Horror, Romance",94,3.7,,7.244,15.0,min,
Depois de Sexta 13,(1981),"Comedy, Fantasy, Horror",75,4.7,,3.201,13.0,min,
Na Época do Ragtime,(1981),Drama,155,7.3,21.02,8.290,57.0,min,M
"Eu, Christiane F., 13 Anos, Drogada e Prostituída",(1981),"Biography, Drama",138,7.6,,20.255,,min,
Roar,(1981),"Adventure, Thriller",102,6.2,,2.689,65.0,min,
A Grande Farra dos Muppets,(1981),"Adventure, Comedy, Crime",97,7.2,31.21,12.695,70.0,min,M
Meu Jantar com André,(1981),"Biography, Comedy, Drama",110,7.8,5.25,16.222,83.0,min,M
Falcões da Noite,(1981),"Action, Crime, Thriller",99,6.4,14.91,15.951,56.0,min,M
Fuga Para a Vitória,(1981),"Drama, Sport, War",116,6.7,10.85,25.871,57.0,min,M
O Fundo do Coração,(1981),"Drama, Musical, Romance",107,6.5,0.64,4.844,57.0,min,M
O Homem das Cavernas,(1981),"Comedy, Romance",91,5.8,15.97,6.741,55.0,min,M
Planeta do Medo,(1981),"Horror, Sci-Fi",93,3.9,,2.626,,min,
Feliz Aniversário Para Mim,(1981),"Horror, Mystery, Thriller",111,6.1,,7.669,24.0,min,
"Pague para Entrar, Reze para Sair",(1981),Horror,96,5.9,7.89,11.388,56.0,min,M
Quem Matou Rosemary?,(1981),"Horror, Mystery, Thriller",89,6.1,,8.682,45.0,min,
Mephisto,(1981),Drama,144,7.8,,8.823,,min,
The Loveless,(1981),Drama,82,6.1,,1.405,44.0,min,
O Buraco da Agulha,(1981),"Romance, Thriller, War",112,7.1,17.58,8.891,61.0,min,M
Incubus,(1981),"Horror, Thriller",93,5.4,,1.890,,min,
A Profecia III: O Conflito Final,(1981),Horror,108,5.6,20.47,17.441,34.0,min,M
Benção Mortal,(1981),Horror,100,5.6,8.28,4.568,56.0,min,M
Caçada em Atlanta,(1981),"Action, Crime, Drama",122,6.4,35.61,5.081,58.0,min,M
Dan Oniroku: Onna kyôshi nawa jigoku,(1981),Drama,81,5.6,,69,,min,
Hospital Massacre,(1981),"Horror, Thriller",89,5.0,,1.793,,min,
"Condorman, o Homem-Pássaro",(1981),"Action, Adventure, Comedy",90,5.7,,4.335,,min,
O Amante de Lady Chatterley,(1981),"Drama, Romance",104,5.1,,2.284,,min,
Jogos de Estrada,(1981),"Mystery, Thriller",101,6.6,,4.580,71.0,min,
O Príncipe da Cidade,(1981),"Crime, Drama",167,7.5,8.12,6.674,80.0,min,M
Polyester,(1981),Comedy,86,7.0,,6.578,72.0,min,
Estranhos Vizinhos,(1981),Comedy,94,5.6,29.92,7.076,47.0,min,M
Os mortos Vivos,(1981),"Horror, Mystery",94,6.6,0.22,9.139,,min,M
Perseguição Mortal,(1981),"Action, Adventure, Crime",97,7.0,,6.413,40.0,min,
O Domínio do Olhar,(1981),"Drama, Sci-Fi, Thriller",93,6.1,3.28,4.393,20.0,min,M
"Ninja, a Máquina Assassina",(1981),"Action, Crime, Drama",99,5.2,,3.887,,min,
Student Bodies,(1981),"Comedy, Horror, Mystery",86,5.6,5.17,4.131,41.0,min,M
Noite Infernal,(1981),"Horror, Thriller",101,5.8,,5.590,,min,
Lobos,(1981),"Horror, Thriller",115,6.3,10.63,8.492,64.0,min,M
41ª DP: Inferno no Bronx,(1981),"Crime, Drama",125,6.7,29.20,5.312,49.0,min,M
Cavaleiros de Aço,(1981),"Action, Drama",146,6.3,,4.114,69.0,min,
Garotas Duras na Queda,(1981),"Comedy, Drama, Sport",113,6.4,,1.759,,min,
Diva: Paixão Perigosa,(1981),Thriller,117,7.2,0.11,11.196,,min,M
Lola,(1981),"Drama, Romance",115,7.5,,4.757,,min,
Heartbeeps,(1981),"Comedy, Sci-Fi",78,4.2,2.15,1.237,,min,M
A Incrível Mulher que Encolheu,(1981),"Comedy, Sci-Fi",88,5.5,20.26,4.185,,min,M
Hotel das Confusões,(1981),Comedy,98,5.4,18.83,2.463,,min,M
