Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Os Bad Boys,(1995),"Action, Comedy, Crime",119,6.9,65.81,217.037,41.0,min,M
Seven: Os Sete Crimes Capitais,(1995),"Crime, Drama, Mystery",127,8.6,100.13,1.342.837,65.0,min,M
Jumanji,(1995),"Adventure, Comedy, Family",104,7.0,100.48,285.145,39.0,min,M
Fogo Contra Fogo,(1995),"Crime, Drama, Thriller",170,8.2,67.44,541.299,76.0,min,M
Coração Valente,(1995),"Biography, Drama, History",178,8.3,75.60,916.160,68.0,min,M
Cassino,(1995),"Crime, Drama",178,8.2,42.44,432.372,73.0,min,M
Os Suspeitos,(1995),"Crime, Mystery, Thriller",106,8.5,23.34,936.505,77.0,min,M
Toy Story,(1995),"Animation, Adventure, Comedy",81,8.3,191.80,832.292,95.0,min,M
As Patricinhas de Beverly Hills,(1995),"Comedy, Romance",97,6.8,56.63,163.809,68.0,min,M
007 Contra GoldenEye,(1995),"Action, Adventure, Thriller",130,7.2,106.60,228.047,65.0,min,M
Um Sonho sem Limites,(1995),"Comedy, Crime, Drama",106,6.8,21.28,41.414,86.0,min,M
Os 12 Macacos,(1995),"Mystery, Sci-Fi, Thriller",129,8.0,57.14,551.317,74.0,min,M
Mortal Kombat,(1995),"Action, Adventure, Fantasy",101,5.8,70.45,96.218,58.0,min,M
Razão e Sensibilidade,(1995),"Drama, Romance",136,7.6,43.18,95.491,84.0,min,M
A Experiência,(1995),"Action, Horror, Sci-Fi",108,5.8,60.07,70.942,49.0,min,M
Kids,(1995),Drama,91,7.1,7.42,69.623,63.0,min,M
Sexta-Feira em Apuros,(1995),"Comedy, Drama",91,7.3,27.47,93.655,54.0,min,M
Apollo 13: Do Desastre ao Triunfo,(I) (1995),"Adventure, Drama, History",140,7.6,173.84,253.490,77.0,min,M
Waterworld: O Segredo das Águas,(1995),"Action, Adventure, Sci-Fi",135,6.2,88.25,171.639,56.0,min,M
Showgirls,(1995),Drama,128,4.8,20.30,58.839,16.0,min,M
Batman Eternamente,(1995),"Action, Adventure, Fantasy",121,5.4,184.03,226.087,51.0,min,M
Despedida em Las Vegas,(1995),"Drama, Romance",111,7.5,31.97,109.315,82.0,min,M
