Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Taxi Driver: Motorista de Táxi,(1976),"Crime, Drama",114,8.3,28.26,671.733,94.0,Martin Scorsese,":
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
",min,M
Rocky: Um Lutador,(1976),"Drama, Sport",120,8.1,117.24,489.605,70.0,John G. Avildsen,":
Sylvester Stallone, 
Talia Shire, 
Burt Young, 
Carl Weathers
",min,M
"Josey Wales, o Fora da Lei",(1976),Western,135,7.9,31.80,61.962,69.0,Clint Eastwood,":
Clint Eastwood, 
Sondra Locke, 
Chief Dan George, 
Bill McKinney
",min,M
"Carrie, a Estranha",(1976),Horror,98,7.4,33.80,158.507,85.0,Brian De Palma,":
Sissy Spacek, 
Piper Laurie, 
Amy Irving, 
John Travolta
",min,M
Fuga no Século 23,(1976),"Action, Sci-Fi",119,6.8,25.00,49.135,53.0,Michael Anderson,":
Michael York, 
Jenny Agutter, 
Richard Jordan, 
Roscoe Lee Browne
",min,M
A Batalha de Midway,(1976),"Action, Drama, History",132,6.8,,16.721,48.0,Jack Smight,":
Charlton Heston, 
Henry Fonda, 
James Coburn, 
Glenn Ford
",min,
Garotos em Ponto de Bala,(1976),"Comedy, Drama, Family",102,7.3,42.35,19.229,83.0,Michael Ritchie,":
Walter Matthau, 
Tatum O'Neal, 
Vic Morrow, 
Joyce Van Patten
",min,M
Nasce uma Estrela,(1976),"Drama, Music, Romance",139,6.1,80.00,9.200,59.0,Frank Pierson,":
Barbra Streisand, 
Kris Kristofferson, 
Gary Busey, 
Oliver Clark
",min,M
King Kong,(1976),"Adventure, Horror",134,5.9,52.61,28.291,61.0,John Guillermin,":
Jeff Bridges, 
Charles Grodin, 
Jessica Lange, 
John Randolph
",min,M
Rede de Intrigas,(1976),Drama,121,8.1,,136.268,83.0,Sidney Lumet,":
Faye Dunaway, 
William Holden, 
Peter Finch, 
Robert Duvall
",min,
O Inquilino,(1976),"Drama, Thriller",126,7.7,1.92,36.069,,Roman Polanski,":
Roman Polanski, 
Isabelle Adjani, 
Melvyn Douglas, 
Jo Van Fleet
",min,M
As Garotas de Pom-Pom,(1976),"Comedy, Romance",89,5.0,17.88,912,,Joseph Ruben,":
Robert Carradine, 
Jennifer Ashley, 
Michael Mullins, 
Lisa Reeves
",min,M
O Último Pistoleiro,(1976),"Drama, Romance, Western",100,7.7,,20.907,77.0,Don Siegel,":
John Wayne, 
Lauren Bacall, 
Ron Howard, 
James Stewart
",min,
