Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Os Bad Boys II,(2003),"Action, Comedy, Crime",147,6.6,138.61,215.409,38.0,Michael Bay,":
Will Smith, 
Martin Lawrence, 
Gabrielle Union, 
Jordi Mollà
",min,M
O Senhor dos Anéis: O Retorno do Rei,(2003),"Adventure, Drama, Fantasy",201,8.9,377.85,1.553.645,94.0,Peter Jackson,":
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
",min,M
Simplesmente Amor,(2003),"Comedy, Drama, Romance",135,7.6,59.70,406.904,55.0,Richard Curtis,":
Hugh Grant, 
Martine McCutcheon, 
Liam Neeson, 
Laura Linney
",min,M
Piratas do Caribe: A Maldição do Pérola Negra,(2003),"Action, Adventure, Fantasy",143,8.0,305.41,982.559,63.0,Gore Verbinski,":
Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley
",min,M
Kill Bill: Volume 1,(2003),"Action, Crime, Thriller",111,8.1,70.10,942.752,69.0,Quentin Tarantino,":
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
",min,M
O Mistério dos Escavadores,(2003),"Adventure, Comedy, Drama",117,7.0,67.41,72.595,71.0,Andrew Davis,":
Shia LaBeouf, 
Sigourney Weaver, 
Jon Voight, 
Tim Blake Nelson
",min,M
Encontros e Desencontros,(2003),Drama,102,7.7,44.59,386.901,89.0,Sofia Coppola,":
Bill Murray, 
Scarlett Johansson, 
Giovanni Ribisi, 
Anna Faris
",min,M
Memórias de um Assassino,(2003),"Action, Crime, Drama",131,8.1,0.01,111.455,82.0,Bong Joon Ho,":
Kang-ho Song, 
Sang-kyung Kim, 
Roe-ha Kim, 
Jae-ho Song
",min,M
Oldboy,(2003),"Action, Drama, Mystery",120,8.4,0.71,478.545,77.0,Chan-wook Park,":
Min-sik Choi, 
Ji-Tae Yoo, 
Hye-jeong Kang, 
Dae-han Ji
",min,M
Peter Pan,(2003),"Adventure, Family, Fantasy",113,6.8,48.46,63.317,64.0,P.J. Hogan,":
Jeremy Sumpter, 
Jason Isaacs, 
Olivia Williams, 
Lynn Redgrave
",min,M
The Room,(2003),Drama,99,3.7,0.56,76.413,9.0,Tommy Wiseau,":
Tommy Wiseau, 
Juliette Danielle, 
Greg Sestero, 
Philip Haldiman
",min,M
Monster: Desejo Assassino,(2003),"Biography, Crime, Drama",109,7.3,34.47,128.484,74.0,Patty Jenkins,":
Charlize Theron, 
Christina Ricci, 
Bruce Dern, 
Lee Tergesen
",min,M
O Exterminador do Futuro 3: A Rebelião das Máquinas,(2003),"Action, Sci-Fi",109,6.3,150.37,362.778,66.0,Jonathan Mostow,":
Arnold Schwarzenegger, 
Nick Stahl, 
Kristanna Loken, 
Claire Danes
",min,M
Os Sonhadores,(2003),"Drama, Romance",115,7.2,2.53,104.192,62.0,Bernardo Bertolucci,":
Michael Pitt, 
Louis Garrel, 
Eva Green, 
Anna Chancellor
",min,M
Procurando Nemo,(2003),"Animation, Adventure, Comedy",100,8.1,380.84,899.079,90.0,Andrew Stanton,":
Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe
",min,M
Matrix Reloaded,(2003),"Action, Sci-Fi",138,7.2,281.49,492.058,62.0,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
",min,M
Peixe Grande e suas Histórias Maravilhosas,(2003),"Adventure, Drama, Fantasy",125,8.0,66.26,398.236,58.0,Tim Burton,":
Ewan McGregor, 
Albert Finney, 
Billy Crudup, 
Jessica Lange
",min,M
Matrix Revolutions,(2003),"Action, Sci-Fi",129,6.7,139.31,427.249,47.0,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
",min,M
Cold Mountain,(2003),"Adventure, Drama, History",154,7.2,95.64,134.797,73.0,Anthony Minghella,":
Jude Law, 
Nicole Kidman, 
Renée Zellweger, 
Eileen Atkins
",min,M
Sobre Meninos e Lobos,(2003),"Crime, Drama, Mystery",138,7.9,90.14,398.790,84.0,Clint Eastwood,":
Sean Penn, 
Tim Robbins, 
Kevin Bacon, 
Emmy Rossum
",min,M
