Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Harry Potter e a Pedra Filosofal,(2001),"Adventure, Family, Fantasy",152,7.6,317.58,593.068,64.0,Chris Columbus,":
Daniel Radcliffe, 
Rupert Grint, 
Richard Harris, 
Maggie Smith
",min,M
O Senhor dos Anéis: A Sociedade do Anel,(2001),"Adventure, Drama, Fantasy",178,8.8,315.54,1.565.538,92.0,Peter Jackson,":
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
",min,M
Onze Homens e um Segredo,(2001),"Crime, Thriller",116,7.8,183.42,487.292,74.0,Steven Soderbergh,":
George Clooney, 
Brad Pitt, 
Julia Roberts, 
Matt Damon
",min,M
A Viagem de Chihiro,(2001),"Animation, Adventure, Family",125,8.6,10.06,584.804,96.0,Hayao Miyazaki,":
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
",min,M
Moulin Rouge: Amor em Vermelho,(2001),"Drama, Musical, Romance",127,7.6,57.39,257.224,66.0,Baz Luhrmann,":
Nicole Kidman, 
Ewan McGregor, 
John Leguizamo, 
Jim Broadbent
",min,M
Donnie Darko,(2001),"Drama, Sci-Fi, Thriller",113,8.0,1.48,712.977,88.0,Richard Kelly,":
Jake Gyllenhaal, 
Jena Malone, 
Mary McDonnell, 
Holmes Osborne
",min,M
Uma Mente Brilhante,(2001),"Biography, Drama",135,8.2,170.74,798.392,72.0,Ron Howard,":
Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer
",min,M
Monstros S.A.,(2001),"Animation, Adventure, Comedy",92,8.0,289.92,768.840,79.0,Pete Docter,":
Billy Crystal, 
John Goodman, 
Mary Gibbs, 
Steve Buscemi
",min,M
Pearl Harbor,(2001),"Action, Drama, History",183,6.2,198.54,299.919,44.0,Michael Bay,":
Ben Affleck, 
Kate Beckinsale, 
Josh Hartnett, 
William Lee Scott
",min,M
Cidade dos Sonhos,(2001),"Drama, Mystery, Thriller",147,7.9,7.22,299.902,83.0,David Lynch,":
Naomi Watts, 
Laura Harring, 
Justin Theroux, 
Jeanne Bates
",min,M
Joe Sujo,(2001),"Adventure, Comedy, Drama",91,6.0,27.09,48.997,20.0,Dennie Gordon,":
David Spade, 
Brittany Daniel, 
Dennis Miller, 
Adam Beach
",min,M
Falcão Negro em Perigo,(2001),"Drama, History, War",144,7.7,108.64,348.871,74.0,Ridley Scott,":
Josh Hartnett, 
Ewan McGregor, 
Tom Sizemore, 
Eric Bana
",min,M
Velozes & Furiosos,(2001),"Action, Adventure, Crime",106,6.8,144.53,330.078,58.0,Rob Cohen,":
Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster
",min,M
Dia de Treinamento,(2001),"Crime, Drama, Thriller",122,7.7,76.63,367.327,69.0,Antoine Fuqua,":
Denzel Washington, 
Ethan Hawke, 
Scott Glenn, 
Tom Berenger
",min,M
Na Teia da Aranha,(2001),"Drama, Thriller",104,6.4,74.08,71.307,42.0,Lee Tamahori,":
Morgan Freeman, 
Michael Wincott, 
Monica Potter, 
Dylan Baker
",min,M
Lúcia e o Sexo,(2001),"Drama, Romance",128,7.1,1.49,33.763,65.0,Julio Medem,":
Paz Vega, 
Tristán Ulloa, 
Najwa Nimri, 
Elena Anaya
",min,M
O Fabuloso Destino de Amélie Poulain,(2001),"Comedy, Romance",122,8.3,33.23,671.056,69.0,Jean-Pierre Jeunet,":
Audrey Tautou, 
Mathieu Kassovitz, 
Rufus, 
Lorella Cravotta
",min,M
Shrek,(2001),"Animation, Adventure, Comedy",90,7.8,267.67,582.478,84.0,Andrew Adamson,":
Mike Myers, 
Eddie Murphy, 
Cameron Diaz, 
John Lithgow
",min,M
Mais um Verão Americano,(2001),"Comedy, Romance",97,6.6,0.29,51.697,42.0,David Wain,":
Janeane Garofalo, 
David Hyde Pierce, 
Michael Showalter, 
Marguerite Moreau
",min,M
Profissão de Risco,(2001),"Biography, Crime, Drama",124,7.6,52.99,229.810,52.0,Ted Demme,":
Johnny Depp, 
Penélope Cruz, 
Franka Potente, 
Rachel Griffiths
",min,M
O Império (do Besteirol) Contra-Ataca,(2001),Comedy,104,6.8,30.06,144.439,51.0,Kevin Smith,":
Jason Mewes, 
Kevin Smith, 
Ben Affleck, 
Jeff Anderson
",min,M
Não é Mais um Besteirol Americano,(2001),Comedy,89,5.7,38.25,92.914,32.0,Joel Gallen,":
Chyler Leigh, 
Jaime Pressly, 
Chris Evans, 
Eric Christian Olsen
",min,M
A.I.: Inteligência Artificial,(2001),"Drama, Sci-Fi",146,7.2,78.62,280.366,65.0,Steven Spielberg,":
Haley Joel Osment, 
Jude Law, 
Frances O'Connor, 
Sam Robards
",min,M
Coração de Cavaleiro,(2001),"Action, Adventure, Romance",132,6.9,56.57,161.889,56.0,Brian Helgeland,":
Heath Ledger, 
Mark Addy, 
Rufus Sewell, 
Shannyn Sossamon
",min,M
O Diário da Princesa,(2001),"Comedy, Family, Romance",111,6.3,108.25,120.447,52.0,Garry Marshall,":
Julie Andrews, 
Anne Hathaway, 
Hector Elizondo, 
Heather Matarazzo
",min,M
Hannibal,(2001),"Crime, Drama, Thriller",131,6.8,165.09,242.587,57.0,Ridley Scott,":
Anthony Hopkins, 
Julianne Moore, 
Gary Oldman, 
Ray Liotta
",min,M
O Diário de Bridget Jones,(2001),"Comedy, Drama, Romance",97,6.7,71.54,213.502,66.0,Sharon Maguire,":
Renée Zellweger, 
Colin Firth, 
Hugh Grant, 
Gemma Jones
",min,M
O Planeta dos Macacos,(2001),"Action, Adventure, Sci-Fi",119,5.7,180.01,204.635,50.0,Tim Burton,":
Mark Wahlberg, 
Helena Bonham Carter, 
Tim Roth, 
Michael Clarke Duncan
",min,M
13 Fantasmas,(2001),"Horror, Thriller",91,5.6,41.87,76.006,30.0,Steve Beck,":
Tony Shalhoub, 
Shannon Elizabeth, 
Embeth Davidtz, 
Matthew Lillard
",min,M
E sua Mãe Também,(2001),Drama,106,7.6,13.62,109.908,88.0,Alfonso Cuarón,":
Maribel Verdú, 
Gael García Bernal, 
Daniel Giménez Cacho, 
Ana López Mercado
",min,M
O Retorno da Múmia,(2001),"Action, Adventure, Fantasy",130,6.3,202.02,289.968,48.0,Stephen Sommers,":
Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo
",min,M
Legalmente Loira,(2001),"Comedy, Romance",96,6.3,96.52,172.346,59.0,Robert Luketic,":
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
",min,M
Pecado Original,(2001),"Drama, Mystery, Romance",116,6.1,16.25,51.725,33.0,Michael Cristofer,":
Antonio Banderas, 
Angelina Jolie, 
Thomas Jane, 
Jack Thompson
",min,M
Jurassic Park III,(2001),"Action, Adventure, Sci-Fi",92,5.9,181.17,283.046,42.0,Joe Johnston,":
Sam Neill, 
William H. Macy, 
Téa Leoni, 
Alessandro Nivola
",min,M
Os Excêntricos Tenenbaums,(2001),"Comedy, Drama",110,7.6,52.36,252.441,76.0,Wes Anderson,":
Gene Hackman, 
Gwyneth Paltrow, 
Anjelica Huston, 
Ben Stiller
",min,M
Assassinato em Gosford Park,(2001),"Comedy, Drama, Mystery",131,7.2,41.31,76.012,90.0,Robert Altman,":
Maggie Smith, 
Ryan Phillippe, 
Michael Gambon, 
Kristin Scott Thomas
",min,M
Lara Croft: Tomb Raider,(2001),"Action, Adventure, Fantasy",100,5.8,131.14,190.509,33.0,Simon West,":
Angelina Jolie, 
Jon Voight, 
Iain Glen, 
Noah Taylor
",min,M
Atlantis: O Reino Perdido,(2001),"Animation, Action, Adventure",95,6.9,84.05,96.413,52.0,Gary Trousdale,":
Michael J. Fox, 
Jim Varney, 
Corey Burton, 
Claudia Christian
",min,M
Doce Trapaça,(2001),"Comedy, Crime, Romance",123,6.2,40.34,49.642,47.0,David Mirkin,":
Sigourney Weaver, 
Jennifer Love Hewitt, 
Gene Hackman, 
Ray Liotta
",min,M
Os Outros,(2001),"Horror, Mystery, Thriller",101,7.6,96.52,321.808,74.0,Alejandro Amenábar,":
Nicole Kidman, 
Christopher Eccleston, 
Fionnula Flanagan, 
Alakina Mann
",min,M
Kate & Leopold,(2001),"Comedy, Fantasy, Romance",118,6.4,47.12,75.905,44.0,James Mangold,":
Meg Ryan, 
Hugh Jackman, 
Liev Schreiber, 
Breckin Meyer
",min,M
Dr. Dolittle 2,(2001),"Comedy, Family, Fantasy",87,4.7,112.95,40.104,49.0,Steve Carr,":
Eddie Murphy, 
Cedric the Entertainer, 
Kristen Wilson, 
Raven-Symoné
",min,M
Vanilla Sky,(2001),"Fantasy, Mystery, Romance",136,6.9,100.61,238.889,45.0,Cameron Crowe,":
Tom Cruise, 
Penélope Cruz, 
Cameron Diaz, 
Kurt Russell
",min,M
Pequenos Espiões,(2001),"Action, Adventure, Comedy",88,5.4,112.72,103.008,71.0,Robert Rodriguez,":
Alexa PenaVega, 
Daryl Sabara, 
Antonio Banderas, 
Carla Gugino
",min,M
Círculo de Fogo,(2001),"Drama, History, War",131,7.6,51.40,231.038,53.0,Jean-Jacques Annaud,":
Jude Law, 
Ed Harris, 
Joseph Fiennes, 
Rachel Weisz
",min,M
Uma Lição de Amor,(2001),Drama,132,7.6,40.31,138.290,28.0,Jessie Nelson,":
Sean Penn, 
Michelle Pfeiffer, 
Dakota Fanning, 
Dianne Wiest
",min,M
Evolução,(2001),"Comedy, Sci-Fi",101,6.1,38.35,115.433,40.0,Ivan Reitman,":
David Duchovny, 
Orlando Jones, 
Julianne Moore, 
Seann William Scott
",min,M
Ghost World: Aprendendo a Viver,(2001),"Comedy, Drama",111,7.3,6.22,108.911,88.0,Terry Zwigoff,":
Steve Buscemi, 
Thora Birch, 
Scarlett Johansson, 
Brad Renfro
",min,M
A Hora do Rush 2,(2001),"Action, Comedy, Crime",90,6.6,226.16,190.909,48.0,Brett Ratner,":
Jackie Chan, 
Chris Tucker, 
John Lone, 
Ziyi Zhang
",min,M
American Pie: A Segunda Vez é Ainda Melhor,(2001),Comedy,108,6.4,145.10,230.353,43.0,J.B. Rogers,":
Jason Biggs, 
Seann William Scott, 
Shannon Elizabeth, 
Alyson Hannigan
",min,M
A Última Ceia,(2001),"Drama, Romance",111,7.0,31.25,79.933,69.0,Marc Forster,":
Billy Bob Thornton, 
Halle Berry, 
Taylor Simpson, 
Gabrielle Witcher
",min,M
Tá Todo Mundo Louco! Uma Corrida por Milhõe$,(2001),"Adventure, Comedy",112,6.4,56.62,104.933,52.0,Jerry Zucker,":
Breckin Meyer, 
Amy Smart, 
Whoopi Goldberg, 
Vince Vieluf
",min,M
Super Tiras,(2001),"Comedy, Crime, Mystery",100,7.1,18.49,92.948,48.0,Jay Chandrasekhar,":
Jay Chandrasekhar, 
Kevin Heffernan, 
André Vippolis, 
Joey Kern
",min,M
A Cartada Final,(2001),"Crime, Drama, Thriller",124,6.8,71.07,115.712,71.0,Frank Oz,":
Robert De Niro, 
Edward Norton, 
Marlon Brando, 
Angela Bassett
",min,M
Zoolander,(2001),Comedy,90,6.5,45.17,236.965,61.0,Ben Stiller,":
Ben Stiller, 
Owen Wilson, 
Christine Taylor, 
Will Ferrell
",min,M
Ardendo no Frio,(2001),"Comedy, Sport",89,6.3,13.90,16.323,22.0,Brendan Malloy,":
Flex Alexander, 
David Denman, 
A.J. Cook, 
Caroline Dhavernas
",min,M
O Amor é Cego,(2001),"Comedy, Drama, Fantasy",114,5.9,70.84,123.025,48.0,Bobby Farrelly,":
Jack Black, 
Gwyneth Paltrow, 
Jason Alexander, 
Joe Viterelli
",min,M
Todo Mundo em Pânico 2,(2001),Comedy,83,5.3,71.31,142.864,29.0,Keenen Ivory Wayans,":
Anna Faris, 
Marlon Wayans, 
Antony Acker, 
Mark Barrett
",min,M
A Professora de Piano,(2001),Drama,131,7.5,1.90,51.659,79.0,Michael Haneke,":
Isabelle Huppert, 
Annie Girardot, 
Benoît Magimel, 
Susanne Lothar
",min,M
Penalidade Máxima,(2001),"Comedy, Crime, Drama",99,6.5,0.09,34.187,45.0,Barry Skolnick,":
Vinnie Jones, 
David Kelly, 
David Hemmings, 
Ralph Brown
",min,M
"Hedwig: Rock, Amor e Traição",(2001),"Comedy, Drama, Music",95,7.7,3.03,30.448,85.0,John Cameron Mitchell,":
John Cameron Mitchell, 
Miriam Shor, 
Stephen Trask, 
Theodore Liscinski
",min,M
Jogo de Espiões,(2001),"Action, Crime, Thriller",126,7.1,0.03,138.902,63.0,Tony Scott,":
Robert Redford, 
Brad Pitt, 
Catherine McCormack, 
Stephen Dillane
",min,M
Dois Doidões em Harvard,(2001),"Comedy, Fantasy",93,6.3,31.16,51.191,29.0,Jesse Dylan,":
Method Man, 
Redman, 
Obba Babatundé, 
Mike Epps
",min,M
Bully - Juventude Violenta,(2001),"Biography, Crime, Drama",108,6.9,1.54,33.387,45.0,Larry Clark,":
Brad Renfro, 
Nick Stahl, 
Bijou Phillips, 
Rachel Miner
",min,M
O Homem que Não Estava Lá,(2001),"Crime, Drama",116,7.5,7.49,99.335,73.0,Joel Coen,":
Billy Bob Thornton, 
Frances McDormand, 
Michael Badalucco, 
James Gandolfini
",min,M
Escrito nas Estrelas,(2001),"Comedy, Romance",90,6.9,50.29,100.051,52.0,Peter Chelsom,":
John Cusack, 
Kate Beckinsale, 
Jeremy Piven, 
Bridget Moynahan
",min,M
Olhos Famintos,(2001),"Horror, Mystery",90,6.2,37.90,105.534,49.0,Victor Salva,":
Gina Philips, 
Justin Long, 
Jonathan Breck, 
Patricia Belcher
",min,M
O Pacto dos Lobos,(2001),"Action, Adventure, Drama",142,7.0,11.26,60.233,57.0,Christophe Gans,":
Samuel Le Bihan, 
Mark Dacascos, 
Jérémie Renier, 
Vincent Cassel
",min,M
Hardball - O Jogo da Vida,(2001),"Drama, Sport",106,6.4,40.22,26.985,48.0,Brian Robbins,":
Keanu Reeves, 
Diane Lane, 
John Hawkes, 
Bryan Hearne
",min,M
Rock Star,(2001),"Drama, Music",105,6.3,17.01,39.558,54.0,Stephen Herek,":
Mark Wahlberg, 
Jennifer Aniston, 
Dominic West, 
Jason Bonham
",min,M
Ali,(2001),"Biography, Drama, Sport",157,6.8,58.20,89.652,65.0,Michael Mann,":
Will Smith, 
Jamie Foxx, 
Jon Voight, 
Mario Van Peebles
",min,M
A Senha: Swordfish,(2001),"Action, Crime, Thriller",99,6.5,69.77,171.536,32.0,Dominic Sena,":
John Travolta, 
Hugh Jackman, 
Halle Berry, 
Don Cheadle
",min,M
Do Inferno,(2001),"Horror, Mystery, Thriller",122,6.8,31.60,141.969,54.0,Albert Hughes,":
Johnny Depp, 
Heather Graham, 
Ian Holm, 
Robbie Coltrane
",min,M
No Balanço do Amor,(2001),"Drama, Music, Romance",112,6.2,91.06,55.023,53.0,Thomas Carter,":
Julia Stiles, 
Sean Patrick Thomas, 
Kerry Washington, 
Fredro Starr
",min,M
Atrás das Linhas Inimigas,(2001),"Action, Drama, Thriller",106,6.4,59.07,96.042,49.0,John Moore,":
Gene Hackman, 
Owen Wilson, 
Gabriel Macht, 
Charles Malik Whitfield
",min,M
A Mexicana,(2001),"Adventure, Comedy, Crime",123,6.1,66.81,99.418,43.0,Gore Verbinski,":
Brad Pitt, 
Julia Roberts, 
James Gandolfini, 
J.K. Simmons
",min,M
O Casamento dos Meus Sonhos,(2001),"Comedy, Romance",103,5.3,60.40,72.614,33.0,Adam Shankman,":
Jennifer Lopez, 
Matthew McConaughey, 
Bridgette Wilson-Sampras, 
Justin Chambers
",min,M
Osmose Jones,(2001),"Animation, Action, Adventure",95,6.3,13.60,30.653,57.0,Bobby Farrelly,":
Laurence Fishburne, 
Chris Rock, 
David Hyde Pierce, 
Brandy Norwood
",min,M
Tempo de Recomeçar,(2001),Drama,125,7.5,15.65,42.038,45.0,Irwin Winkler,":
Hayden Christensen, 
Kevin Kline, 
Kristin Scott Thomas, 
Jena Malone
",min,M
Jimmy Bolha,(2001),"Adventure, Comedy, Romance",84,5.6,5.00,29.070,41.0,Blair Hayes,":
Jake Gyllenhaal, 
Swoosie Kurtz, 
Marley Shelton, 
Danny Trejo
",min,M
A Mão do Diabo,(2001),"Crime, Drama, Thriller",100,7.2,13.10,73.004,64.0,Bill Paxton,":
Bill Paxton, 
Matthew McConaughey, 
Powers Boothe, 
Matt O'Leary
",min,M
Volta por Cima,(2001),"Comedy, Romance",87,5.7,11.56,17.376,52.0,Tommy O'Haver,":
Kirsten Dunst, 
Ben Foster, 
Melissa Sagemiller, 
Sisqó
",min,M
"Jimmy Neutron, o Menino Gênio",(2001),"Animation, Action, Adventure",82,6.0,80.94,29.040,65.0,John A. Davis,":
Debi Derryberry, 
Rob Paulsen, 
Megan Cavanagh, 
Mark DeCarlo
",min,M
Fantasmas de Marte,(2001),"Action, Horror, Sci-Fi",98,4.9,8.43,49.270,35.0,John Carpenter,":
Natasha Henstridge, 
Ice Cube, 
Pam Grier, 
Jason Statham
",min,M
Perseguição,(2001),"Mystery, Thriller",97,6.6,21.97,61.630,75.0,John Dahl,":
Steve Zahn, 
Paul Walker, 
Leelee Sobieski, 
Jessica Bowman
",min,M
"Ichi, o Assassino",(2001),"Action, Comedy, Crime",129,7.0,0.02,49.933,55.0,Takashi Miike,":
Tadanobu Asano, 
Nao Ohmori, 
Shin'ya Tsukamoto, 
Paulyn Sun
",min,M
O Buraco,(2001),"Drama, Mystery, Thriller",102,6.2,,42.910,,Nick Hamm,":
Thora Birch, 
Desmond Harrington, 
Daniel Brocklebank, 
Laurence Fox
",min,
Baby Boy - O Rei da Rua,(2001),"Crime, Drama, Romance",130,6.4,28.73,12.125,55.0,John Singleton,":
Alexsandra Wright, 
Tyrese Gibson, 
Taraji P. Henson, 
Omar Gooding
",min,M
Acordar para a Vida,(2001),"Animation, Drama, Fantasy",99,7.8,2.89,58.394,82.0,Richard Linklater,":
Ethan Hawke, 
Trevor Jack Brooks, 
Lorelei Linklater, 
Wiley Wiggins
",min,M
A Casa de Vidro,(2001),"Crime, Drama, Mystery",106,5.8,18.00,30.599,34.0,Daniel Sackheim,":
Diane Lane, 
Leelee Sobieski, 
Stellan Skarsgård, 
Bruce Dern
",min,M
Doce Novembro,(2001),"Drama, Romance",119,6.7,25.29,82.213,27.0,Pat O'Connor,":
Keanu Reeves, 
Charlize Theron, 
Jason Isaacs, 
Greg Germann
",min,M
