Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
"Star Wars, Episódio I: A Ameaça Fantasma",(1999),"Action, Adventure, Fantasy",136,6.5,474.54,689.908,51.0,George Lucas,":
Ewan McGregor, 
Liam Neeson, 
Natalie Portman, 
Jake Lloyd
",min,M
Beleza Americana,(1999),Drama,122,8.3,130.10,1.018.637,84.0,Sam Mendes,":
Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley
",min,M
Matrix,(1999),"Action, Sci-Fi",136,8.7,171.48,1.572.495,73.0,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
",min,M
Clube da Luta,(1999),Drama,139,8.8,37.03,1.744.384,66.0,David Fincher,":
Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier
",min,M
À Espera de um Milagre,(1999),"Crime, Drama, Fantasy",189,8.6,136.80,1.064.476,61.0,Frank Darabont,":
Tom Hanks, 
Michael Clarke Duncan, 
David Morse, 
Bonnie Hunt
",min,M
O Talentoso Ripley,(1999),"Crime, Drama, Thriller",139,7.4,81.30,168.627,76.0,Anthony Minghella,":
Matt Damon, 
Gwyneth Paltrow, 
Jude Law, 
Cate Blanchett
",min,M
Magnólia,(1999),Drama,188,8.0,22.46,276.688,77.0,Paul Thomas Anderson,":
Tom Cruise, 
Jason Robards, 
Julianne Moore, 
Philip Seymour Hoffman
",min,M
Um Lugar Chamado Notting Hill,(1999),"Comedy, Drama, Romance",124,7.1,116.09,255.118,68.0,Roger Michell,":
Hugh Grant, 
Julia Roberts, 
Richard McCabe, 
Rhys Ifans
",min,M
American Pie: A Primeira Vez é Inesquecível,(1999),Comedy,95,7.0,102.56,360.273,58.0,Paul Weitz,":
Jason Biggs, 
Chris Klein, 
Thomas Ian Nicholas, 
Jennifer Coolidge
",min,M
O Colecionador de Ossos,(1999),"Crime, Drama, Mystery",118,6.7,66.52,146.468,45.0,Phillip Noyce,":
Denzel Washington, 
Angelina Jolie, 
Queen Latifah, 
Michael Rooker
",min,M
De Olhos Bem Fechados,(1999),"Drama, Mystery, Thriller",159,7.4,55.69,282.395,68.0,Stanley Kubrick,":
Tom Cruise, 
Nicole Kidman, 
Todd Field, 
Sydney Pollack
",min,M
10 Coisas que Eu Odeio em Você,(1999),"Comedy, Drama, Romance",97,7.3,38.18,278.848,70.0,Gil Junger,":
Heath Ledger, 
Julia Stiles, 
Joseph Gordon-Levitt, 
Larisa Oleynik
",min,M
A Múmia,(1999),"Action, Adventure, Fantasy",124,7.0,155.25,374.979,48.0,Stephen Sommers,":
Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo
",min,M
"Garota, Interrompida",(1999),"Biography, Drama",127,7.3,28.87,153.341,51.0,James Mangold,":
Winona Ryder, 
Angelina Jolie, 
Clea DuVall, 
Brittany Murphy
",min,M
Nunca Fui Beijada,(1999),"Comedy, Drama, Romance",107,6.1,55.47,79.450,60.0,Raja Gosnell,":
Drew Barrymore, 
David Arquette, 
Michael Vartan, 
Molly Shannon
",min,M
O Sexto Sentido,(1999),"Drama, Mystery, Thriller",107,8.1,293.51,869.017,64.0,M. Night Shyamalan,":
Bruce Willis, 
Haley Joel Osment, 
Toni Collette, 
Olivia Williams
",min,M
As Loucas Aventuras de James West,(1999),"Action, Comedy, Sci-Fi",106,4.9,113.81,147.597,38.0,Barry Sonnenfeld,":
Will Smith, 
Kevin Kline, 
Kenneth Branagh, 
Salma Hayek
",min,M
Palácio das Ilusões,(1999),"Comedy, Drama, Romance",112,7.1,4.76,20.589,71.0,Patricia Rozema,":
Frances O'Connor, 
Jonny Lee Miller, 
Alessandro Nivola, 
Hannah Taylor Gordon
",min,M
Como Enlouquecer seu Chefe,(1999),Comedy,89,7.7,10.82,232.290,68.0,Mike Judge,":
Ron Livingston, 
Jennifer Aniston, 
David Herman, 
Ajay Naidu
",min,M
Marcação Cerrada,(1999),"Comedy, Drama, Romance",106,6.5,52.89,40.218,50.0,Brian Robbins,":
James Van Der Beek, 
Jon Voight, 
Paul Walker, 
Ron Lester
",min,M
Toy Story 2,(1999),"Animation, Adventure, Comedy",92,7.9,245.85,496.784,88.0,John Lasseter,":
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Kelsey Grammer
",min,M
