Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Os Bons Companheiros,(1990),"Biography, Crime, Drama",146,8.7,46.84,949.343,90.0,Martin Scorsese,":
Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco
",min,M
O Ataque dos Vermes Malditos,(1990),"Comedy, Horror",96,7.1,16.67,112.191,65.0,Ron Underwood,":
Kevin Bacon, 
Fred Ward, 
Finn Carter, 
Michael Gross
",min,M
Esqueceram de Mim,(1990),"Comedy, Family",103,7.6,285.76,439.136,63.0,Chris Columbus,":
Macaulay Culkin, 
Joe Pesci, 
Daniel Stern, 
John Heard
",min,M
As Tartarugas Ninja,(1990),"Action, Adventure, Comedy",93,6.8,135.27,80.796,51.0,Steve Barron,":
Judith Hoag, 
Elias Koteas, 
Josh Pais, 
David Forman
",min,M
Rei de Nova York,(1990),"Crime, Thriller",103,7.0,2.55,29.116,66.0,Abel Ferrara,":
Christopher Walken, 
David Caruso, 
Laurence Fishburne, 
Victor Argo
",min,M
Ghost: Do Outro Lado da Vida,(1990),"Drama, Fantasy, Romance",127,7.0,217.63,185.646,52.0,Jerry Zucker,":
Patrick Swayze, 
Demi Moore, 
Whoopi Goldberg, 
Tony Goldwyn
",min,M
Uma Linda Mulher,(1990),"Comedy, Romance",119,7.0,178.41,270.471,51.0,Garry Marshall,":
Richard Gere, 
Julia Roberts, 
Jason Alexander, 
Laura San Giacomo
",min,M
Louca Obsessão,(1990),"Drama, Thriller",107,7.8,61.28,171.571,75.0,Rob Reiner,":
James Caan, 
Kathy Bates, 
Richard Farnsworth, 
Frances Sternhagen
",min,M
Dança com Lobos,(1990),"Adventure, Drama, Western",181,8.0,184.21,227.588,72.0,Kevin Costner,":
Kevin Costner, 
Mary McDonnell, 
Graham Greene, 
Rodney A. Grant
",min,M
O Poderoso Chefão III,(1990),"Crime, Drama",162,7.6,66.67,336.574,60.0,Francis Ford Coppola,":
Al Pacino, 
Diane Keaton, 
Andy Garcia, 
Talia Shire
",min,M
A Caçada ao Outubro Vermelho,(1990),"Action, Adventure, Thriller",135,7.6,122.01,169.032,58.0,John McTiernan,":
Sean Connery, 
Alec Baldwin, 
Scott Glenn, 
Sam Neill
",min,M
Edward Mãos de Tesoura,(1990),"Drama, Fantasy, Romance",105,7.9,56.36,426.206,74.0,Tim Burton,":
Johnny Depp, 
Winona Ryder, 
Dianne Wiest, 
Anthony Michael Hall
",min,M
Dick Tracy,(1990),"Action, Comedy, Crime",105,6.1,103.74,54.784,68.0,Warren Beatty,":
Warren Beatty, 
Madonna, 
Al Pacino, 
Charlie Korsmo
",min,M
O Vingador do Futuro,(1990),"Action, Sci-Fi, Thriller",113,7.5,119.39,286.117,57.0,Paul Verhoeven,":
Arnold Schwarzenegger, 
Sharon Stone, 
Michael Ironside, 
Rachel Ticotin
",min,M
Um Tira no Jardim de Infância,(1990),"Comedy, Crime",111,6.1,91.46,129.404,61.0,Ivan Reitman,":
Arnold Schwarzenegger, 
Penelope Ann Miller, 
Pamela Reed, 
Linda Hunt
",min,M
Coração Selvagem,(1990),"Comedy, Crime, Drama",125,7.2,14.56,77.312,52.0,David Lynch,":
Nicolas Cage, 
Laura Dern, 
Willem Dafoe, 
J.E. Freeman
",min,M
Alucinações do Passado,(I) (1990),"Drama, Horror, Mystery",113,7.5,26.12,93.708,62.0,Adrian Lyne,":
Tim Robbins, 
Elizabeth Peña, 
Danny Aiello, 
Matt Craven
",min,M
De Volta para o Futuro III,(1990),"Adventure, Comedy, Sci-Fi",118,7.4,87.73,375.889,55.0,Robert Zemeckis,":
Michael J. Fox, 
Christopher Lloyd, 
Mary Steenburgen, 
Thomas F. Wilson
",min,M
Dias de Trovão,(1990),"Action, Drama, Sport",107,6.0,82.67,74.494,60.0,Tony Scott,":
Tom Cruise, 
Nicole Kidman, 
Robert Duvall, 
Randy Quaid
",min,M
A Decadência de uma Espécie,(1990),"Drama, Romance, Sci-Fi",109,6.0,4.96,8.058,,Volker Schlöndorff,":
Natasha Richardson, 
Faye Dunaway, 
Aidan Quinn, 
Elizabeth McGovern
",min,M
Convenção das Bruxas,(1990),"Adventure, Comedy, Family",91,6.8,10.36,33.797,,Nicolas Roeg,":
Anjelica Huston, 
Mai Zetterling, 
Jasen Fisher, 
Rowan Atkinson
",min,M
O Predador 2: A Caçada Continua,(1990),"Action, Horror, Sci-Fi",108,6.3,30.67,138.829,46.0,Stephen Hopkins,":
Danny Glover, 
Gary Busey, 
Kevin Peter Hall, 
Rubén Blades
",min,M
Duro de Matar 2,(1990),"Action, Thriller",124,7.2,117.54,321.786,67.0,Renny Harlin,":
Bruce Willis, 
William Atherton, 
Bonnie Bedelia, 
Reginald VelJohnson
",min,M
Tempo de Despertar,(1990),"Biography, Drama",121,7.8,52.10,115.983,74.0,Penny Marshall,":
Robert De Niro, 
Robin Williams, 
Julie Kavner, 
Ruth Nelson
",min,M
Cry-Baby,(1990),"Comedy, Musical",85,6.5,8.27,52.061,63.0,John Waters,":
Johnny Depp, 
Ricki Lake, 
Amy Locane, 
Susan Tyrrell
",min,M
Loucademia de Esqui,(1990),Comedy,89,5.1,,3.003,,Damian Lee,":
Dean Cameron, 
Tom Bresnahan, 
Patrick Labyorteaux, 
Mark Thomas Miller
",min,
Rocky V,(1990),"Drama, Sport",104,5.3,40.95,120.720,55.0,John G. Avildsen,":
Sylvester Stallone, 
Talia Shire, 
Burt Young, 
Sage Stallone
",min,M
RoboCop 2,(1990),"Action, Crime, Sci-Fi",117,5.8,45.68,77.843,42.0,Irvin Kershner,":
Peter Weller, 
John Glover, 
Mario Machado, 
Leeza Gibbons
",min,M
O Senhor das Moscas,(1990),"Adventure, Drama, Thriller",90,6.4,13.99,26.606,49.0,Harry Hook,":
Balthazar Getty, 
Chris Furrh, 
Danuel Pipoly, 
James Badge Dale
",min,M
Gremlins 2: A Nova Geração,(1990),"Comedy, Fantasy, Horror",106,6.4,41.48,87.833,,Joe Dante,":
Zach Galligan, 
Phoebe Cates, 
John Glover, 
Robert Prosky
",min,M
Bernardo e Bianca na Terra dos Cangurus,(1990),"Animation, Adventure, Crime",77,6.9,27.93,35.629,70.0,Hendel Butoy,":
Bob Newhart, 
Eva Gabor, 
John Candy, 
Tristan Rogers
",min,M
Aracnofobia,(1990),"Comedy, Fantasy, Horror",109,6.4,53.21,60.167,67.0,Frank Marshall,":
Jeff Daniels, 
Julian Sands, 
John Goodman, 
Harley Jane Kozak
",min,M
Ajuste Final,(1990),"Crime, Drama, Thriller",115,7.8,5.08,120.814,66.0,Joel Coen,":
Gabriel Byrne, 
Albert Finney, 
John Turturro, 
Marcia Gay Harden
",min,M
Nikita: Criada para Matar,(1990),"Action, Thriller",117,7.3,5.02,64.529,56.0,Luc Besson,":
Anne Parillaud, 
Marc Duret, 
Patrick Fontana, 
Alain Lathière
",min,M
Jovem Demais para Morrer,(1990),"Action, Western",104,6.5,44.14,29.360,47.0,Geoff Murphy,":
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater
",min,M
Justiça Cega,(1990),"Crime, Drama, Thriller",115,6.5,27.73,16.317,63.0,Mike Figgis,":
Richard Gere, 
Andy Garcia, 
Nancy Travis, 
Laurie Metcalf
",min,M
Hardware: O Destruidor do Futuro,(1990),"Sci-Fi, Thriller",94,6.0,5.73,12.104,,Richard Stanley,":
Dylan McDermott, 
Stacey Travis, 
John Lynch, 
Carl McCoy
",min,M
Joe Contra o Vulcão,(1990),"Comedy, Romance",102,5.8,39.40,32.851,45.0,John Patrick Shanley,":
Tom Hanks, 
Meg Ryan, 
Lloyd Bridges, 
Robert Stack
",min,M
Linha Mortal,(1990),"Drama, Horror, Sci-Fi",115,6.6,61.49,76.798,55.0,Joel Schumacher,":
Kiefer Sutherland, 
Kevin Bacon, 
Julia Roberts, 
William Baldwin
",min,M
"Leão Branco, o Lutador sem Lei",(1990),"Action, Crime, Drama",108,6.2,24.08,30.914,41.0,Sheldon Lettich,":
Jean-Claude Van Damme, 
Harrison Page, 
Deborah Rennard, 
Lisa Pelikan
",min,M
Um Local Muito Quente,(1990),"Crime, Drama, Romance",130,6.4,1.29,9.878,56.0,Dennis Hopper,":
Don Johnson, 
Virginia Madsen, 
Jennifer Connelly, 
Charles Martin Smith
",min,M
Darkman: Vingança sem Rosto,(1990),"Action, Sci-Fi, Thriller",96,6.4,33.88,55.551,65.0,Sam Raimi,":
Liam Neeson, 
Frances McDormand, 
Colin Friels, 
Larry Drake
",min,M
