Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Batman: O Cavaleiro das Trevas,(2008),"Action, Crime, Drama",152,9.0,534.86,2.164.956,84.0,min,M
Sim Senhor,(2008),"Comedy, Romance",104,6.8,97.69,318.678,46.0,min,M
Crepúsculo,(I) (2008),"Drama, Fantasy, Romance",122,5.2,191.47,403.765,56.0,min,M
Homem de Ferro,(2008),"Action, Adventure, Sci-Fi",126,7.9,318.41,894.711,79.0,min,M
Foi Apenas um Sonho,(2008),"Drama, Romance",119,7.3,22.91,184.236,69.0,min,M
Trovão Tropical,(2008),"Action, Comedy, War",107,7.0,110.52,361.045,71.0,min,M
Quebrando a Banca,(2008),"Crime, Drama, History",123,6.8,81.16,219.225,48.0,min,M
O Curioso Caso de Benjamin Button,(2008),"Drama, Fantasy, Romance",166,7.8,127.51,555.317,70.0,min,M
007 - Quantum of Solace,(2008),"Action, Adventure, Thriller",106,6.6,168.37,386.410,58.0,min,M
Busca Implacável,(I) (2008),"Action, Thriller",90,7.8,145.00,547.677,51.0,min,M
Quase Irmãos,(2008),Comedy,98,6.9,100.47,254.718,51.0,min,M
Mamma Mia! O Filme,(2008),"Comedy, Musical, Romance",108,6.4,144.13,201.571,51.0,min,M
O Incrível Hulk,(2008),"Action, Adventure, Sci-Fi",112,6.7,134.52,414.642,61.0,min,M
Quem Quer Ser um Milionário?,(2008),"Drama, Romance",120,8.0,141.32,764.844,86.0,min,M
O Grande Mestre,(2008),"Action, Biography, Drama",106,8.0,,200.871,59.0,min,
Star Wars: A Guerra dos Clones,(2008),"Animation, Action, Adventure",98,5.9,35.16,52.725,35.0,min,M
Indiana Jones e o Reino da Caveira de Cristal,(2008),"Action, Adventure",122,6.1,317.10,404.649,65.0,min,M
WALL·E,(2008),"Animation, Adventure, Family",98,8.4,223.81,940.838,95.0,min,M
Hellboy II: O Exército Dourado,(2008),"Action, Adventure, Fantasy",120,7.0,75.75,248.081,78.0,min,M
Guerra ao Terror,(2008),"Drama, Thriller, War",131,7.6,17.02,402.632,95.0,min,M
Gran Torino,(2008),Drama,116,8.1,148.10,687.626,72.0,min,M
Vestida para Casar,(2008),"Comedy, Romance",111,6.1,76.81,148.012,47.0,min,M
Rambo IV,(2008),Action,92,7.0,42.75,210.134,46.0,min,M
Hancock,(2008),"Action, Fantasy",92,6.4,227.95,424.465,49.0,min,M
O Melhor Amigo da Noiva,(2008),"Comedy, Romance",101,5.9,46.01,64.608,37.0,min,M
Jumper,(2008),"Action, Adventure, Sci-Fi",88,6.1,80.17,277.436,35.0,min,M
O Procurado,(2008),"Action, Crime, Fantasy",110,6.7,134.51,347.790,64.0,min,M
Na Mira do Chefe,(2008),"Comedy, Crime, Drama",107,7.9,7.76,372.807,67.0,min,M
Controle Absoluto,(2008),"Action, Mystery, Thriller",118,6.6,101.11,170.136,43.0,min,M
Rock'n'Rolla: A Grande Roubada,(2008),"Action, Crime, Thriller",114,7.3,5.69,224.425,53.0,min,M
O Leitor,(2008),"Drama, Romance",124,7.6,34.19,222.056,58.0,min,M
Cloverfield: Monstro,(2008),"Horror, Sci-Fi, Thriller",85,7.0,80.05,359.150,64.0,min,M
Rede de Mentiras,(2008),"Action, Drama, Thriller",128,7.1,39.39,204.187,57.0,min,M
Mártires,(2008),Horror,99,7.1,,77.438,,min,
O Menino do Pijama Listrado,(2008),"Drama, War",94,7.8,9.03,177.586,55.0,min,M
Zohan: O Agente Bom de Corte,(2008),Comedy,113,5.5,100.02,182.240,54.0,min,M
Super-Heróis: A Liga da Injustiça,(2008),Comedy,87,1.9,14.19,84.621,15.0,min,M
Um Ato de Liberdade,(I) (2008),"Action, Drama, History",137,7.2,28.64,132.556,58.0,min,M
Vicky Cristina Barcelona,(2008),"Comedy, Drama, Romance",96,7.1,23.22,232.520,70.0,min,M
A Múmia: Tumba do Imperador Dragão,(2008),"Action, Fantasy, Horror",112,5.2,102.49,144.803,31.0,min,M
Kung Fu Panda,(2008),"Animation, Action, Adventure",92,7.5,215.43,395.449,73.0,min,M
Ressaca de Amor,(2008),"Comedy, Drama, Romance",111,7.1,63.17,252.763,67.0,min,M
As Crônicas de Nárnia: Príncipe Caspian,(2008),"Action, Adventure, Family",150,6.5,141.62,184.803,62.0,min,M
A Casa das Coelhinhas,(2008),"Comedy, Romance",97,5.5,48.24,76.197,55.0,min,M
O Roqueiro,(2008),"Comedy, Music",102,6.2,6.41,35.825,53.0,min,M
"Meu Nome é Taylor, Drillbit Taylor",(2008),"Comedy, Drama",110,5.7,32.85,56.208,41.0,min,M
"Faça o Que eu Digo, Não Faça o Que eu Faço",(2008),Comedy,99,6.8,67.29,214.353,61.0,min,M
A Duquesa,(2008),"Biography, Drama, History",110,6.9,13.82,74.596,62.0,min,M
Sex Drive: Rumo ao Sexo,(2008),"Comedy, Romance",109,6.5,8.40,81.022,49.0,min,M
Queime Depois de Ler,(2008),"Comedy, Crime, Drama",96,7.0,60.36,294.973,63.0,min,M
Agente 86,(2008),"Action, Adventure, Comedy",110,6.5,130.32,194.752,54.0,min,M
Sex and the City: O Filme,(2008),"Comedy, Drama, Romance",145,5.6,152.65,112.353,53.0,min,M
Sete Vidas,(2008),Drama,123,7.6,69.95,275.002,36.0,min,M
"Pagando Bem, que Mal Tem?",(2008),"Comedy, Romance",101,6.5,31.46,168.584,56.0,min,M
Segurando as Pontas,(2008),"Action, Comedy, Crime",111,7.0,87.34,302.180,64.0,min,M
The Spirit: O Filme,(2008),"Action, Crime, Fantasy",103,4.8,19.78,58.389,30.0,min,M
Três Vezes Amor,(2008),"Comedy, Drama, Romance",112,7.1,31.97,149.401,59.0,min,M
Bronson,(2008),"Action, Biography, Crime",92,7.1,0.10,113.528,71.0,min,M
A Outra,(2008),"Biography, Drama, History",115,6.7,26.81,99.318,50.0,min,M
Corrida Mortal,(2008),"Action, Sci-Fi, Thriller",105,6.4,36.32,191.321,43.0,min,M
10.000 A.C.,(2008),"Action, Adventure, Drama",109,5.1,94.78,121.939,34.0,min,M
Deixa Ela Entrar,(2008),"Drama, Horror, Romance",114,7.9,2.12,198.634,82.0,min,M
Os Estranhos,(2008),"Horror, Mystery, Thriller",86,6.2,52.60,112.907,47.0,min,M
Operação Valquíria,(2008),"Drama, History, Thriller",121,7.1,83.08,218.717,56.0,min,M
O Lutador,(2008),"Drama, Sport",109,7.9,26.24,281.350,81.0,min,M
Um Faz de Conta Que Acontece,(2008),"Comedy, Family, Fantasy",99,6.0,110.10,84.471,33.0,min,M
Austrália,(2008),"Adventure, Comedy, Drama",165,6.6,49.55,115.783,53.0,min,M
Diário Proibido,(2008),"Drama, Romance",101,5.7,,9.880,,min,
A Troca,(2008),"Biography, Crime, Drama",141,7.7,35.74,227.266,63.0,min,M
Ponto de Vista,(2008),"Action, Crime, Drama",90,6.6,72.27,141.088,40.0,min,M
High School Musical 3: Ano da Formatura,(2008),"Comedy, Drama, Family",112,4.7,90.56,54.668,57.0,min,M
Appaloosa - Uma Cidade Sem Lei,(2008),"Action, Crime, Drama",115,6.7,20.21,56.622,64.0,min,M
Efeito Dominó,(2008),"Crime, Thriller",111,7.2,30.03,168.304,69.0,min,M
Ghost Town: Um Espírito Atrás de Mim,(I) (2008),"Comedy, Drama, Fantasy",102,6.7,13.21,67.053,72.0,min,M
As Ruínas,(2008),Horror,90,5.8,17.43,67.295,44.0,min,M
Bolt: Supercão,(2008),"Animation, Adventure, Comedy",96,6.8,114.05,180.011,67.0,min,M
Sem Saída,(2008),"Horror, Thriller",91,6.8,0.01,72.417,65.0,min,M
