Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Star Wars: Os Últimos Jedi,(2017),"Action, Adventure, Fantasy",152,7.0,620.18,519.731,85.0,min,M
Jumanji: Bem-Vindo à Selva,(2017),"Action, Adventure, Comedy",119,6.9,404.52,281.739,58.0,min,M
Thor: Ragnarok,(2017),"Action, Adventure, Comedy",130,7.9,315.06,529.017,74.0,min,M
Lady Bird: A Hora de Voar,(2017),"Comedy, Drama",94,7.4,48.96,197.536,94.0,min,M
Me Chame pelo Seu Nome,(2017),"Drama, Romance",132,7.9,18.10,173.673,93.0,min,M
Blade Runner 2049,(2017),"Action, Drama, Mystery",164,8.0,92.05,409.430,81.0,min,M
Atômica,(2017),"Action, Thriller",115,6.7,51.69,161.430,63.0,min,M
The Square: A Arte da Discórdia,(2017),"Comedy, Drama",151,7.2,1.50,47.905,73.0,min,M
It: A Coisa,(I) (2017),Horror,135,7.3,327.48,417.705,69.0,min,M
Bom Comportamento,(2017),"Crime, Drama, Thriller",101,7.3,2.03,62.326,80.0,min,M
Em Ritmo de Fuga,(2017),"Action, Crime, Drama",113,7.6,107.83,393.939,86.0,min,M
Corra!,(I) (2017),"Horror, Mystery, Thriller",104,7.7,176.04,439.379,84.0,min,M
O Rei do Show,(2017),"Biography, Drama, Musical",105,7.6,174.34,212.821,48.0,min,M
Dunkirk,(2017),"Action, Drama, History",106,7.9,188.37,496.291,94.0,min,M
Amigos para Sempre,(2017),"Comedy, Drama",126,6.9,108.25,36.339,46.0,min,M
Pequena Grande Vida,(2017),"Drama, Sci-Fi",135,5.7,24.45,87.775,63.0,min,M
A Forma da Água,(2017),"Adventure, Drama, Fantasy",123,7.3,63.86,334.437,87.0,min,M
Kingsman: O Círculo Dourado,(2017),"Action, Adventure, Comedy",141,6.7,100.23,247.619,44.0,min,M
Logan Lucky: Roubo em Família,(2017),"Comedy, Crime, Drama",118,7.0,27.78,113.872,78.0,min,M
Baywatch: S.O.S. Malibu,(2017),"Action, Comedy, Crime",116,5.5,58.06,147.959,37.0,min,M
Mulher-Maravilha,(2017),"Action, Adventure, Fantasy",141,7.4,412.56,513.860,76.0,min,M
A Grande Jogada,(2017),"Biography, Crime, Drama",140,7.4,28.78,116.537,71.0,min,M
Valerian e a Cidade dos Mil Planetas,(2017),"Action, Adventure, Fantasy",137,6.5,41.19,149.780,51.0,min,M
Assassinato no Expresso do Oriente,(2017),"Crime, Drama, Mystery",114,6.5,102.83,190.758,52.0,min,M
Liga da Justiça,(2017),"Action, Adventure, Fantasy",120,6.4,229.02,351.582,45.0,min,M
Logan,(2017),"Action, Drama, Sci-Fi",137,8.1,226.28,595.869,77.0,min,M
"Eu, Tonya",(2017),"Biography, Comedy, Drama",119,7.5,30.01,157.037,77.0,min,M
Alien: Covenant,(2017),"Horror, Sci-Fi, Thriller",122,6.4,74.26,237.512,65.0,min,M
Homem-Aranha: De Volta ao Lar,(2017),"Action, Adventure, Sci-Fi",133,7.4,334.20,468.288,73.0,min,M
Guardiões da Galáxia Vol. 2,(2017),"Action, Adventure, Comedy",136,7.6,389.81,520.310,67.0,min,M
Okja,(2017),"Action, Adventure, Drama",120,7.3,,81.549,75.0,min,
Três Anúncios para um Crime,(2017),"Comedy, Crime, Drama",115,8.2,54.51,377.203,88.0,min,M
Você Nunca Esteve Realmente Aqui,(2017),"Crime, Drama, Mystery",89,6.8,2.52,85.751,84.0,min,M
A Bela e a Fera,(2017),"Family, Fantasy, Musical",129,7.1,504.01,252.379,65.0,min,M
Transformers: O Último Cavaleiro,(2017),"Action, Adventure, Sci-Fi",154,5.2,130.17,126.161,27.0,min,M
The Post: A Guerra Secreta,(2017),"Biography, Drama, History",116,7.2,81.90,118.192,83.0,min,M
John Wick: Um Novo Dia Para Matar,(2017),"Action, Crime, Thriller",122,7.5,92.03,328.571,75.0,min,M
Mãe!,(2017),"Drama, Horror, Mystery",121,6.6,17.80,171.893,75.0,min,M
Hostis,(2017),"Drama, Western",134,7.2,29.82,59.964,65.0,min,M
Piratas do Caribe: A Vingança de Salazar,(2017),"Action, Adventure, Fantasy",129,6.6,172.56,241.261,39.0,min,M
Three Christs,(2017),Drama,109,5.6,,381,37.0,min,
Rei Arthur: A Lenda da Espada,(2017),"Action, Adventure, Drama",126,6.7,39.18,177.654,41.0,min,M
Feito na América,(2017),"Action, Biography, Comedy",115,7.1,51.34,143.724,65.0,min,M
Extraordinário,(I) (2017),"Drama, Family",113,8.0,132.42,122.051,66.0,min,M
A Múmia,(2017),"Action, Adventure, Fantasy",110,5.4,80.10,162.767,34.0,min,M
Viva: A Vida é uma Festa,(I) (2017),"Animation, Adventure, Family",105,8.4,209.73,316.327,81.0,min,M
Boneco de Neve,(2017),"Crime, Drama, Mystery",119,5.1,6.67,53.104,23.0,min,M
Sem Perdão,(2017),"Crime, Drama, Thriller",121,7.3,,64.032,59.0,min,
Homens de Coragem,(2017),"Action, Biography, Drama",134,7.7,18.34,50.605,72.0,min,M
A Morte de Stalin,(2017),"Comedy, Drama, History",107,7.2,8.04,71.502,88.0,min,M
Kong: A Ilha da Caveira,(2017),"Action, Adventure, Fantasy",118,6.6,168.05,251.381,62.0,min,M
Dupla Explosiva,(2017),"Action, Comedy, Thriller",118,6.9,75.47,171.976,47.0,min,M
Trama Fantasma,(2017),"Drama, Romance",130,7.5,21.02,94.816,90.0,min,M
O Sacrifício do Cervo Sagrado,(2017),"Drama, Horror, Mystery",121,7.0,2.29,100.917,73.0,min,M
Artista do Desastre,(2017),"Biography, Comedy, Drama",104,7.4,21.12,121.964,76.0,min,M
Terra Selvagem,(2017),"Crime, Drama, Mystery",107,7.7,33.80,182.528,73.0,min,M
Bright,(I) (2017),"Action, Crime, Fantasy",117,6.4,,156.303,29.0,min,
O Destino de uma Nação,(2017),"Biography, Drama, History",125,7.4,56.47,150.101,75.0,min,M
A Vigilante do Amanhã: Ghost in the Shell,(2017),"Action, Drama, Sci-Fi",107,6.3,40.56,185.083,52.0,min,M
O Círculo,(I) (2017),"Drama, Sci-Fi, Thriller",110,5.3,20.48,76.542,43.0,min,M
Roman J. Israel,(2017),"Crime, Drama, Thriller",122,6.4,11.96,26.865,58.0,min,M
