Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Um Drink no Inferno,(1996),"Action, Crime, Horror",108,7.2,25.75,272.269,48.0,Robert Rodriguez,":
Harvey Keitel, 
George Clooney, 
Juliette Lewis, 
Quentin Tarantino
",min,M
Independence Day,(1996),"Action, Adventure, Sci-Fi",145,7.0,306.17,507.596,59.0,Roland Emmerich,":
Will Smith, 
Bill Pullman, 
Jeff Goldblum, 
Mary McDonnell
",min,M
Fargo: Uma Comédia de Erros,(1996),"Crime, Drama, Thriller",98,8.1,24.61,580.430,85.0,Joel Coen,":
William H. Macy, 
Frances McDormand, 
Steve Buscemi, 
Peter Stormare
",min,M
Trainspotting: Sem Limites,(1996),Drama,93,8.1,16.50,606.543,83.0,Danny Boyle,":
Ewan McGregor, 
Ewen Bremner, 
Jonny Lee Miller, 
Kevin McKidd
",min,M
Romeu + Julieta,(1996),"Drama, Romance",120,6.7,46.35,200.807,60.0,Baz Luhrmann,":
Leonardo DiCaprio, 
Claire Danes, 
John Leguizamo, 
Harold Perrineau
",min,M
Sleepers: A Vingança Adormecida,(1996),"Crime, Drama, Thriller",147,7.6,49.10,179.340,49.0,Barry Levinson,":
Robert De Niro, 
Kevin Bacon, 
Brad Pitt, 
Jason Patric
",min,M
Matilda,(1996),"Comedy, Family, Fantasy",98,6.9,33.08,117.428,72.0,Danny DeVito,":
Danny DeVito, 
Rhea Perlman, 
Mara Wilson, 
Embeth Davidtz
",min,M
Kingpin: Estes Loucos Reis do Boliche,(1996),"Comedy, Sport",114,6.9,24.94,73.672,43.0,Bobby Farrelly,":
Woody Harrelson, 
Randy Quaid, 
Bill Murray, 
Vanessa Angel
",min,M
Jovens Bruxas,(1996),"Drama, Fantasy, Horror",101,6.3,24.88,71.183,55.0,Andrew Fleming,":
Robin Tunney, 
Fairuza Balk, 
Neve Campbell, 
Rachel True
",min,M
Um Maluco no Golfe,(1996),"Comedy, Sport",92,7.0,38.62,186.013,31.0,Dennis Dugan,":
Adam Sandler, 
Christopher McDonald, 
Julie Bowen, 
Frances Bay
",min,M
The Wonders: O Sonho Não Acabou,(1996),"Comedy, Drama, Music",108,6.9,25.81,58.923,71.0,Tom Hanks,":
Tom Hanks, 
Liv Tyler, 
Charlize Theron, 
Tom Everett Scott
",min,M
Pânico,(1996),"Horror, Mystery",111,7.2,103.05,270.693,65.0,Wes Craven,":
Neve Campbell, 
Courteney Cox, 
David Arquette, 
Skeet Ulrich
",min,M
