Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Aristogatas,(1970),"Animation, Adventure, Comedy",78,7.1,37.68,86.974,66.0,Wolfgang Reitherman,":
Phil Harris, 
Eva Gabor, 
Sterling Holloway, 
Scatman Crothers
",min,M
M.A.S.H.,(1970),"Comedy, Drama, War",116,7.5,81.60,64.742,80.0,Robert Altman,":
Donald Sutherland, 
Elliott Gould, 
Tom Skerritt, 
Sally Kellerman
",min,M
El Topo,(1970),"Drama, Western",125,7.5,,23.738,,Alejandro Jodorowsky,":
Alejandro Jodorowsky, 
Brontis Jodorowsky, 
José Legarreta, 
Alfonso Arau
",min,
Multiple Maniacs,(1970),"Comedy, Crime, Horror",91,6.8,0.03,2.617,,John Waters,":
Divine, 
David Lochary, 
Mary Vivian Pearce, 
Mink Stole
",min,M
Ardil 22,(1970),"Comedy, Drama, War",122,7.2,24.91,20.933,70.0,Mike Nichols,":
Alan Arkin, 
Martin Balsam, 
Richard Benjamin, 
Art Garfunkel
",min,M
Love Story: Uma História de Amor,(1970),"Drama, Romance",100,6.9,106.40,28.127,84.0,Arthur Hiller,":
Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland
",min,M
Os Guerreiros Pilantras,(1970),"Adventure, Comedy, War",144,7.6,1.38,42.819,50.0,Brian G. Hutton,":
Clint Eastwood, 
Telly Savalas, 
Don Rickles, 
Carroll O'Connor
",min,M
O Pequeno Grande Homem,(1970),"Adventure, Comedy, Drama",139,7.6,31.56,31.306,63.0,Arthur Penn,":
Dustin Hoffman, 
Faye Dunaway, 
Chief Dan George, 
Martin Balsam
",min,M
"Patton, Rebelde ou Herói?",(1970),"Biography, Drama, War",172,7.9,61.70,90.159,91.0,Franklin J. Schaffner,":
George C. Scott, 
Karl Malden, 
Stephen Young, 
Michael Strong
",min,M
Um Homem Chamado Cavalo,(1970),"Adventure, Drama, Western",114,6.9,1.94,7.744,46.0,Elliot Silverstein,":
Richard Harris, 
Judith Anderson, 
Jean Gascon, 
Manu Tupou
",min,M
Valerie e a Semana das Maravilhas,(1970),"Adventure, Drama, Fantasy",77,7.2,,7.245,,Jaromil Jires,":
Jaroslava Schallerová, 
Helena Anýzová, 
Petr Kopriva, 
Jirí Prýmek
",min,
Cada um Vive como Quer,(1970),Drama,98,7.5,,31.205,85.0,Bob Rafelson,":
Jack Nicholson, 
Karen Black, 
Billy Green Bush, 
Fannie Flagg
",min,
Rio Lobo,(1970),"Adventure, Romance, War",114,6.8,9.27,9.812,55.0,Howard Hawks,":
John Wayne, 
Jorge Rivero, 
Jennifer O'Neill, 
Jack Elam
",min,M
De Volta ao Vale das Bonecas,(1970),"Comedy, Drama, Music",109,6.2,9.00,9.441,60.0,Russ Meyer,":
Dolly Read, 
Cynthia Myers, 
Marcia McBroom, 
John Lazar
",min,M
Aeroporto,(1970),"Action, Drama, Thriller",137,6.6,100.49,16.440,42.0,George Seaton,":
Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg
",min,M
Trinity é o Meu Nome,(1970),"Comedy, Western",113,7.5,,18.089,,Enzo Barboni,":
Terence Hill, 
Bud Spencer, 
Steffen Zacharias, 
Dan Sturkie
",min,
Tora! Tora! Tora!,(1970),"Action, Drama, History",144,7.5,29.55,30.228,46.0,Richard Fleischer,":
Martin Balsam, 
Sô Yamamura, 
Jason Robards, 
Joseph Cotten
",min,M
Quando o Coração Bate Mais Forte,(1970),"Family, Drama",109,7.3,,3.737,,Lionel Jeffries,":
Dinah Sheridan, 
Bernard Cribbins, 
William Mervyn, 
Iain Cuthbertson
",min,
De Volta ao Planeta dos Macacos,(1970),"Action, Adventure, Sci-Fi",95,6.1,19.00,39.949,46.0,Ted Post,":
James Franciscus, 
Kim Hunter, 
Maurice Evans, 
Linda Harrison
",min,M
Homem e Mulher Até Certo Ponto,(1970),Comedy,94,4.4,8.72,2.713,,Michael Sarne,":
Mae West, 
John Huston, 
Raquel Welch, 
Rex Reed
",min,M
O Conformista,(1970),Drama,113,8.0,,24.468,100.0,Bernardo Bertolucci,":
Jean-Louis Trintignant, 
Stefania Sandrelli, 
Gastone Moschin, 
Enzo Tarascio
",min,
Os Abutres Têm Fome,(1970),"Adventure, Romance, War",116,7.0,11.50,22.168,62.0,Don Siegel,":
Clint Eastwood, 
Shirley MacLaine, 
Manolo Fábregas, 
Alberto Morin
",min,M
Zabriskie Point,(1970),Drama,113,7.0,1.05,13.794,,Michelangelo Antonioni,":
Mark Frechette, 
Daria Halprin, 
Paul Fix, 
G.D. Spradlin
",min,M
Performance,(1970),"Crime, Drama",105,6.9,0.19,8.806,,Donald Cammell,":
James Fox, 
Mick Jagger, 
Anita Pallenberg, 
Michèle Breton
",min,M
A Filha de Ryan,(1970),"Drama, Romance",206,7.4,30.85,8.190,,David Lean,":
Robert Mitchum, 
Trevor Howard, 
John Mills, 
Christopher Jones
",min,M
Hercules in New York,(1970),"Adventure, Family, Fantasy",91,3.3,,16.350,23.0,Arthur Allan Seidelman,":
Arnold Stang, 
Arnold Schwarzenegger, 
Deborah Loomis, 
James Karen
",min,
A Mais Cruel Batalha,(1970),"Drama, Sci-Fi",96,6.0,,1.309,,Cornel Wilde,":
Nigel Davenport, 
Jean Wallace, 
John Hamill, 
Lynne Frederick
",min,
Atracão Mortal,(1970),Horror,91,6.5,,4.909,,Roy Ward Baker,":
Ingrid Pitt, 
Pippa Steel, 
Madeline Smith, 
Peter Cushing
",min,
Pele de Asno,(1970),"Drama, Family, Fantasy",91,7.0,,3.758,70.0,Jacques Demy,":
Catherine Deneuve, 
Jean Marais, 
Jacques Perrin, 
Micheline Presle
",min,
"Chisum, Uma Lenda Americana",(1970),"Biography, Western",111,6.9,6.00,8.457,,Andrew V. McLaglen,":
John Wayne, 
Forrest Tucker, 
Christopher George, 
Ben Johnson
",min,M
C.C. & Cia,(1970),"Action, Comedy, Drama",94,4.8,,615,,Seymour Robbie,":
Joe Namath, 
Ann-Margret, 
William Smith, 
Jennifer Billingsley
",min,
Quando os Dinossauros Dominavam a Terra,(1970),"Adventure, Fantasy, Romance",100,5.2,,2.130,,Val Guest,":
Victoria Vetri, 
Robin Hawdon, 
Patrick Allen, 
Drewe Henley
",min,
Waterloo,(I) (1970),"Action, Biography, Drama",134,7.3,3.05,7.934,,Sergey Bondarchuk,":
Rod Steiger, 
Christopher Plummer, 
Orson Welles, 
Jack Hawkins
",min,M
O Ato Final,(1970),"Comedy, Drama, Romance",92,7.2,,4.871,,Jerzy Skolimowski,":
Jane Asher, 
John Moulder-Brown, 
Karl Michael Vogler, 
Christopher Sandford
",min,
De Sade 70,(1970),"Drama, Horror",87,5.4,0.08,1.351,,Jesús Franco,":
Maria Rohm, 
Marie Liljedahl, 
Jack Taylor, 
Christopher Lee
",min,M
Adorável Avarento,(1970),"Drama, Family, Fantasy",113,7.5,,8.666,58.0,Ronald Neame,":
Albert Finney, 
Alec Guinness, 
Edith Evans, 
Kenneth More
",min,
O Pássaro das Plumas de Cristal,(1970),"Horror, Mystery, Thriller",96,7.2,0.42,16.425,,Dario Argento,":
Tony Musante, 
Suzy Kendall, 
Enrico Maria Salerno, 
Eva Renzi
",min,M
Quando é Preciso Ser Homem,(1970),Western,115,6.9,0.51,4.613,,Ralph Nelson,":
Candice Bergen, 
Peter Strauss, 
Donald Pleasence, 
John Anderson
",min,M
O Joelho de Claire,(1970),"Drama, Romance",105,7.7,,7.841,,Éric Rohmer,":
Jean-Claude Brialy, 
Aurora Cornu, 
Béatrice Romand, 
Laurence de Monaghan
",min,
O Círculo Vermelho,(1970),"Crime, Drama, Thriller",140,8.0,0.37,19.989,91.0,Jean-Pierre Melville,":
Alain Delon, 
Bourvil, 
Gian Maria Volontè, 
Yves Montand
",min,M
Os Jogos,(1970),"Drama, Sport",100,6.2,,396,,Michael Winner,":
Michael Crawford, 
Ryan O'Neal, 
Charles Aznavour, 
Jeremy Kemp
",min,
Joe - Das Drogas à Morte,(1970),"Drama, Thriller",107,6.8,19.32,2.614,,John G. Avildsen,":
Peter Boyle, 
Dennis Patrick, 
Susan Sarandon, 
Patrick McDermott
",min,M
O Corujão e a Gatinha,(1970),Comedy,95,6.5,23.68,3.088,,Herbert Ross,":
Barbra Streisand, 
George Segal, 
Robert Klein, 
Allen Garfield
",min,M
Voar é com os Pássaros,(1970),"Comedy, Fantasy",105,7.0,,3.913,72.0,Robert Altman,":
Bud Cort, 
Shelley Duvall, 
Sally Kellerman, 
Michael Murphy
",min,
A MArca do Diabo,(1970),"Drama, History, Horror",90,6.2,,2.740,,Michael Armstrong,":
Herbert Lom, 
Udo Kier, 
Olivera Katarina, 
Reggie Nalder
",min,
O Sangue de Drácula,(1970),"Drama, Fantasy, Horror",91,6.4,,4.924,,Peter Sasdy,":
Christopher Lee, 
Geoffrey Keen, 
Gwen Watford, 
Linda Hayden
",min,
Investigação Sobre um Cidadão Acima de Qualquer Suspeita,(1970),"Crime, Drama",115,8.1,,8.083,89.0,Elio Petri,":
Gian Maria Volontè, 
Florinda Bolkan, 
Gianni Santuccio, 
Orazio Orlando
",min,
Roxanna,(1970),Drama,51,4.5,,206,,Nick Millard,":
Uschi Digard, 
Monica Gayle, 
Lynn Harris, 
Nick Millard
",min,
Colossus 1980,(1970),"Sci-Fi, Thriller",100,7.1,,7.686,,Joseph Sargent,":
Eric Braeden, 
Susan Clark, 
Gordon Pinsent, 
William Schallert
",min,
O Altar do Diabo,(1970),Horror,90,5.5,0.45,3.460,,Daniel Haller,":
Sandra Dee, 
Dean Stockwell, 
Ed Begley, 
Lloyd Bochner
",min,M
Conde Drácula,(1970),Horror,98,5.8,,2.405,,Jesús Franco,":
Christopher Lee, 
Herbert Lom, 
Klaus Kinski, 
Maria Rohm
",min,
Os Rapazes da Banda,(1970),Drama,118,7.6,7.63,3.811,,William Friedkin,":
Kenneth Nelson, 
Peter White, 
Leonard Frey, 
Frederick Combs
",min,M
Os 5 de Chicago,(1970),"Crime, Drama",90,5.7,,2.788,69.0,Roger Corman,":
Shelley Winters, 
Don Stroud, 
Pat Hingle, 
Diane Varsi
",min,
"Tristana, Uma Paixão Mórbida",(1970),Drama,99,7.5,0.01,9.559,93.0,Luis Buñuel,":
Catherine Deneuve, 
Fernando Rey, 
Franco Nero, 
Lola Gaos
",min,M
A Grande Esperança Branca,(1970),"Drama, Romance, Sport",103,6.9,,2.257,53.0,Martin Ritt,":
James Earl Jones, 
Jane Alexander, 
Lou Gilbert, 
Joel Fluellen
",min,
Amor Sem Barreiras,(1970),"Comedy, Drama, Romance",112,7.0,0.96,2.037,75.0,Hal Ashby,":
Beau Bridges, 
Lee Grant, 
Diana Sands, 
Pearl Bailey
",min,M
Uma História De Amor Sueca,(1970),"Drama, Romance",115,7.4,,5.587,,Roy Andersson,":
Ann-Sofie Kylin, 
Rolf Sohlman, 
Anita Lindblom, 
Bertil Norström
",min,
"Cromwell, O Homem de Ferro",(1970),"Biography, Drama, History",139,6.9,,4.520,,Ken Hughes,":
Richard Harris, 
Alec Guinness, 
Robert Morley, 
Dorothy Tutin
",min,
A Vida Íntima de Sherlock Holmes,(1970),"Adventure, Comedy, Crime",125,7.1,3.30,9.866,,Billy Wilder,":
Robert Stephens, 
Christopher Lee, 
Colin Blakely, 
Geneviève Page
",min,M
Visitantes na Noite,(1970),"Action, Crime, Drama",94,5.8,,2.006,,Terence Young,":
Charles Bronson, 
James Mason, 
Liv Ullmann, 
Jill Ireland
",min,
O Conde Drácula,(1970),Horror,95,6.2,,4.618,,Roy Ward Baker,":
Christopher Lee, 
Dennis Waterman, 
Jenny Hanley, 
Christopher Matthews
",min,
Banzé na Rússia,(1970),Comedy,94,6.5,,5.395,,Mel Brooks,":
Mel Brooks, 
Ron Moody, 
Frank Langella, 
Dom DeLuise
",min,
Pound,(1970),Fantasy,92,6.1,,232,,Robert Downey Sr.,":
Joe Madden, 
James Green, 
Mariclare Costello, 
L. Errol Jaye
",min,
Wanda,(1970),"Crime, Drama",102,7.1,0.05,2.772,,Barbara Loden,":
Barbara Loden, 
Michael Higgins, 
Dorothy Shupenes, 
Peter Shupenes
",min,M
Cheyenne,(1970),"Comedy, Romance, Western",103,6.9,0.11,3.852,,Gene Kelly,":
James Stewart, 
Henry Fonda, 
Shirley Jones, 
Sue Ane Langdon
",min,M
O Homem que Nasceu de Novo,(1970),"Drama, Sci-Fi",98,6.2,,633,,Alan Cooke,":
Terence Stamp, 
Robert Vaughn, 
Nigel Davenport, 
Christian Roberts
",min,
Domicilio Conjugal,(1970),"Comedy, Drama",100,7.5,,7.397,,François Truffaut,":
Jean-Pierre Léaud, 
Claude Jade, 
Hiroko Berghauer, 
Barbara Laage
",min,
Savage Intruder,(1970),"Horror, Thriller",100,5.3,,131,,Donald Wolfe,":
Miriam Hopkins, 
David Garfield, 
Gale Sondergaard, 
Virginia Wing
",min,
Noite Sem Fim,(1970),"Crime, Drama, Mystery",108,6.1,5.12,2.956,,Gordon Douglas,":
Sidney Poitier, 
Martin Landau, 
Barbara McNair, 
Anthony Zerbe
",min,M
Dodeskaden - O Caminho da Vida,(1970),Drama,140,7.4,,5.678,,Akira Kurosawa,":
Yoshitaka Zushi, 
Kin Sugai, 
Toshiyuki Tonomura, 
Shinsuke Minami
",min,
O Horror de Frankenstein,(1970),"Drama, Horror, Sci-Fi",95,5.8,,2.021,,Jimmy Sangster,":
Ralph Bates, 
Kate O'Mara, 
Veronica Carlson, 
Dennis Price
",min,
"Olá, Mamãe!",(1970),"Comedy, Drama",87,6.2,,3.988,,Brian De Palma,":
Robert De Niro, 
Allen Garfield, 
Lara Parker, 
Charles Durning
",min,
Blood Mania,(1970),Horror,81,4.0,,818,,Robert Vincent O'Neil,":
Peter Carpenter, 
Maria De Aragon, 
Vicki Peters, 
Reagan Wilson
",min,
O Retrato de Dorian Gray,(1970),"Horror, Thriller",101,5.9,,749,,Massimo Dallamano,":
Helmut Berger, 
Richard Todd, 
Herbert Lom, 
Marie Liljedahl
",min,
À Procura da Verdade,(1970),"Comedy, Drama, Romance",124,6.4,3.86,1.061,58.0,Richard Rush,":
Elliott Gould, 
Candice Bergen, 
Robert F. Lyons, 
Jeff Corey
",min,M
Rififi no Harlem,(1970),"Action, Comedy, Crime",97,6.5,4.39,1.598,,Ossie Davis,":
Godfrey Cambridge, 
Raymond St. Jacques, 
Calvin Lockhart, 
Judy Pace
",min,M
And Soon the Darkness,(1970),"Horror, Mystery, Thriller",99,6.6,,2.594,,Robert Fuest,":
Pamela Franklin, 
Michele Dotrice, 
Sandor Elès, 
John Nettleton
",min,
Carry on Loving,(1970),"Comedy, Romance",88,5.9,,1.989,,Gerald Thomas,":
Sidney James, 
Kenneth Williams, 
Charles Hawtrey, 
Joan Sims
",min,
O Passageiro da Chuva,(1970),"Crime, Drama, Mystery",120,6.9,0.71,2.608,,René Clément,":
Charles Bronson, 
Jill Ireland, 
Marlène Jobert, 
Gabriele Tinti
",min,M
The Phantom Tollbooth,(1970),"Family, Adventure, Animation",90,6.9,,2.751,,Chuck Jones,":
Butch Patrick, 
Hans Conried, 
Mel Blanc, 
Daws Butler
",min,
Pippi Långstrump på de sju haven,(1970),"Adventure, Comedy, Drama",86,6.9,,4.361,,Olle Hellbom,":
Inger Nilsson, 
Maria Persson, 
Pär Sundberg, 
Beppe Wolgers
",min,
Dize-me que Me Amas,(1970),"Comedy, Drama, Romance",113,6.2,0.39,673,,Otto Preminger,":
Liza Minnelli, 
Wayne Tippit, 
Guy Sorel, 
Clarice Taylor
",min,M
"Trog, o Monstro da Caverna",(1970),"Horror, Sci-Fi",93,3.9,,2.128,,Freddie Francis,":
Joan Crawford, 
Michael Gough, 
Bernard Kay, 
Kim Braden
",min,
"Lili, Minha Adorável Espiã",(1970),"Comedy, Drama, Musical",136,6.1,2.59,1.857,,Blake Edwards,":
Julie Andrews, 
Rock Hudson, 
Jeremy Kemp, 
Lance Percival
",min,M
Nas Sombras da Noite,(1970),"Drama, Fantasy, Horror",97,6.4,,2.445,,Dan Curtis,":
Jonathan Frid, 
Grayson Hall, 
Kathryn Leigh Scott, 
Roger Davis
",min,
Twinky,(1970),"Drama, Romance, Comedy",98,5.5,,770,,Richard Donner,":
Charles Bronson, 
Orson Bean, 
Honor Blackman, 
Michael Craig
",min,
I Drink Your Blood,(1970),Horror,83,6.0,,3.045,,David E. Durston,":
Bhaskar Roy Chowdhury, 
Jadin Wong, 
Rhonda Fultz, 
George Patterson
",min,
Num Dia Claro de Verão,(1970),"Comedy, Drama, Fantasy",129,6.4,14.00,3.371,,Vincente Minnelli,":
Barbra Streisand, 
Yves Montand, 
Bob Newhart, 
Larry Blyden
",min,M
A Morte Não Manda Recado,(1970),"Comedy, Drama, Romance",121,7.2,3.50,8.021,,Sam Peckinpah,":
Jason Robards, 
Stella Stevens, 
David Warner, 
Strother Martin
",min,M
