Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Kannodu Kann,(1982),,,,,,,Krishna Ghattamaneni," Director:
Krishna Ghattamaneni
",,
Satanades sta sholeia,(1982),"Action, Crime, Drama",85,5.0,,49,,Hristos Kyriakopoulos,":
Alberto Eskenazy, 
Stamatis Gardelis, 
Yorgos Rigas, 
Efi Pikoula
",min,
Snehapoorvam Meera,(1982),,,,,,,Harikumar,":
Adoor Bhasi, 
Janardanan, 
Poornima Jayaram, 
Kanakalatha
",,
Sparisam,(1982),Drama,,,,,,R.C. Sakthi," Director:
R.C. Sakthi
",,
Ritorno all'amore,(1982),,96,,,,,Adalberto Fornario,":
Claudette Castaldo, 
Mimmo Barbarito, 
Bert Bellj, 
Nikola Bianchi
",min,
Nambinal Nambungal,(1982),Drama,,,,,,M.S. Gopinath,":
Shantha, 
Sivakumar, 
Thengai Srinivasan
",,
Violence porno: Nawa to bôkô,(1982),,62,,,,,Kazuo 'Gaira' Komizu,":
Miki Yamaji, 
Naomi Hagio, 
Maria Satsuki
",min,
Nürnberg 1946,(1982),,85,,,,,Péter Róna," Director:
Péter Róna
",min,
¡¡Franco!! Un proceso histórico,(1982),,122,,,,,Eduardo Manzanos,":
Miguel Ayones, 
Antonio Escudero, 
Antonio Mayans, 
Violeta Cela
",min,
Puppy Love,(1982),"Drama, Romance",,,,,,William Pascual,":
Gabby Concepcion, 
Janice de Belen, 
Ricky Belmonte, 
Rosemarie Sonora
",,
Dostana,(1982),Comedy,,2.0,,20,,Haider Chaudhry,":
Ali Ahmad, 
Shaukat Ali, 
Anjuman, 
Abdul Karim Baloch
",,
Noc poslubna w bialy dzien,(1982),Drama,71,5.2,,6,,Jerzy Gruza,":
Krzysztof Bednarski, 
Wieslaw Golas, 
Jan Nowicki, 
Andrzej Pieczynski
",min,
Asthivaram,(1982),Family,,,,,,T. Thirunavukkarasu,":
Gandhimathi, 
V. Gopalakrishnan, 
Jaishankar, 
K.R. Vijaya
",,
Nae ileum Sang Dali,(1982),,85,,,,,Woo-sang Park,":
Yong-cheol Han, 
Ji-ha Han, 
Bok-gi Min, 
Ho Wan
",min,
Gurbet kuslari,(1982),,,,,,,Engin Temizer," Director:
Engin Temizer
| 
    Star:
Ahmet Hossöyler
",,
Amansizlar,(1982),Adventure,,,,,,T. Fikret Uçak,":
Kadir Inanir, 
Perihan Savas, 
Yasar Sener, 
Hakki Kivanç
",,
Wen xie yang,(1982),"Drama, Romance",105,,,,,Li-Li Liu,":
Hsiao-Fen Lu, 
Hui-Shan Yang, 
Chung-Yueh Yun, 
Tsui-Hsien Yang
",min,
Malý velký hokejista,(1982),"Family, Sport",80,5.8,,15,,Josef Pinkava,":
Václav Capek, 
Jirí Císler, 
Petr Erneker, 
Zuzana Fisárková
",min,
Gaanam,(1982),Drama,135,,,,,Shrikumaran Thampi,":
Ambarish, 
Adoor Bhasi, 
Lakshmi, 
Hari Leigh
",min,
Trizna,(1982),Drama,81,,,,,Bulat Mansurov,":
Kargynbai Satayev, 
Kenenbai Kozhabekov, 
Baiten Omarov, 
Shakhan Musin
",min,
Ito ba ang ating mga anak,(1982),Drama,,,,,,Ishmael Bernal,":
Lloyd Samartino, 
William Martinez, 
Albert Martinez, 
Joel Alano
",,
Zhenskiye radosti i pechali,(1982),"Drama, War",90,,,,,Yuriy Chernyy,":
Oksana Slobodenyuk, 
Vladimir Vikhrov, 
Valeri Yurchenko, 
Nina Kolchina-Bun
",min,
"Skierri, vaivaiskoivujen maa",(1982),Drama,118,5.8,,29,,Markku Lehmuskallio,":
Jouni S. Labba, 
Eeva-Maija Haukinen, 
Jukka Häyrinen, 
Eija Ojanen
",min,
Idi Pellantara,(1982),"Drama, Family",,6.0,,9,,Vijay Bhaskar,":
Chiranjeevi, 
Radhika Sarathkumar, 
Allu Ramalingaiah, 
Gollapudi Maruthi Rao
",,
Thookku Medai,(1982),Drama,,,,,,Amirtham,":
Chandrasekhar, 
Menaka
",,
Seigyaku! - Onna o abaku,(1982),,,,,,,Ryuichi Hiroki,":
Yuka Asagiri, 
Yôko Azusa, 
Yû Tachibana, 
Ren Osugi
",,
Peau de chagrins,(1982),,88,,,,,Richard Ramsay,":
Brigitte Purkhardt, 
Raymond Taillefer, 
Jacques Zouvi
",min,
Kettévált mennyezet,(1982),Drama,105,6.1,,23,,Pál Gábor,":
Juli Básti, 
Jan Nowicki, 
Gyula Szersén, 
Éva Almási
",min,
Aavhan,(1982),Drama,,,,,,Sushil Kamat,":
Jayshree Gadkar, 
Sanjay Jog, 
Shrikant Moghe, 
Nana Patekar
",,
Preyasi,(1982),Romance,,,,,,Shrikant Guha-Thakurta,":
Bhanu Bannerjee, 
Kali Bannerjee, 
Soumitra Chatterjee, 
Anup Kumar
",,
Tzlila Chozeret,(1982),Drama,87,7.9,,18,,Shimon Dotan,":
Mosko Alkalai, 
Zaharira Harifai, 
Miki Marmur, 
Angelo Miller
",min,
Ego... kai to pouli mou,(1982),Comedy,90,5.6,,92,,Errikos Thalassinos,":
Sotiris Moustakas, 
Maria Bonelou, 
Thanos Papadopoulos, 
Kostas Karagiorgis
",min,
Azhagiya Kanney,(1982),,120,5.8,,9,,J. Mahendran,":
Sarath Babu, 
Suhasini
",min,
Esto es vida,(1982),Comedy,,,,,,Fernando Siro,":
Alberto Anchart, 
Ricardo Bauleo, 
Aldo Bigatti, 
Cayetano Biondo
",,
The Ninja,(1982),,,4.7,,15,," 
",,,
Bheeman,(1982),Drama,,,,,,Hassan," Director:
Hassan
",,
Bie ai mosheng ren,(1982),Action,,,,,,Chin Hu Tung,":
Michael Wai-Man Chan, 
Kuan Tai Chen, 
Phoenix Chu, 
Yun-Peng Hsiang
",,
Puteshestvie budet priyatnym,(1982),Romance,80,5.4,,16,,Albert S. Mkrtchyan,":
Svetlana Amanova, 
Boris Galkin, 
Lidiya Smirnova, 
Baadur Tsuladze
",min,
Totoy Saudi,(1982),"Action, Romance",,,,,,William Pascual,":
Boy Fernandez, 
Jean Saburit, 
Josephine Manuel, 
Karen Lopez
",,
The Fearless Jackal,(1982),"Action, Drama",90,,,,,Phillip Ko,"         
    Star:
Phillip Ko
",min,
Shokët,(1982),Drama,,8.8,,6,,Kujtim Çashku,":
Vangjush Furxhi, 
Ndriçim Xhepa, 
Reshat Arbana, 
Demir Hyskja
",,
The Quiet Collector: Andrew Mellon Remembered,(1982),History,,,,,,DeWitt Sage," Director:
DeWitt Sage
| 
    Star:
Remak Ramsay
",,
Aus heiterem Himmel,(1982),Drama,116,,,,,Marie-Susanne Ebert,":
Ingrid Kaehler, 
Dietmar Nieder
",min,
Wierne blizny,(1982),Drama,82,6.1,,8,,Wlodzimierz Olszewski,":
Jan Frycz, 
Andrzej Precigs, 
Boguslaw Linda, 
Jadwiga Kuryluk
",min,
Krik tishiny,(1982),Crime,89,5.9,,12,,Arya Dashiyev,":
Yuriy Solomin, 
Buda Vampilov, 
Boris Shcherbakov, 
Oleg Vidov
",min,
Zainab,(1982),,,,,,,Adamu Halilu," Director:
Adamu Halilu
",,
El diario rojo,(1982),Drama,100,,,,,Juan Carlos Olaria,":
Joan Estrada, 
Vicente Gil, 
Santiago Lapeira, 
Juan Carlos Olaria
",min,
Tijd om gelukkig te zijn,(1982),Drama,100,5.8,,13,,Frans Buyens,":
Bert André, 
Jan Decleir, 
Marcel Dossogne, 
Noëlle Fontaine
",min,
Svidaniye,(1982),Drama,79,6.8,,17,,Aleksandr Itygilov,":
Olga Mateshko, 
Aleksandr Mikhaylov, 
Galina Makarova, 
Panteleymon Krymov
",min,
Tu ji chu nv dao,(1982),,,,,,,Dao Yang,":
Yi-Chan Lu, 
Yu-lan Chang, 
Ying-Ti Chou, 
Xiu-Li Zhen
",,
Ponmudy,(1982),"Drama, Mystery, Romance",,,,,,N. Sankaran Nair,":
Prem Nazir, 
Sharada, 
Mohan, 
Sharmila
",,
La ferdinanda: Sonate für eine Medici-Villa,(1982),,,,,,,Rebecca Horn,":
Valentina Cortese, 
Javier Escriba, 
Gisela Hahn, 
Hans Peter Hallwachs
",,
Aagaaya Gangai,(1982),,110,6.0,,10,,Manobala,":
Karthik, 
Suhasini, 
Goundamani, 
Kamala Kamesh
",min,
Kôban nikki: Chikan vs. hentai,(1982),,60,,,,,Shinji Miura," Director:
Shinji Miura
| 
    Star:
Usagi Asô
",min,
"Vladivostok, god 1918",(1982),Drama,76,5.9,,8,,Eduard Gavrilov,":
Vasiliy Bochkaryov, 
Marina Levtova, 
Mikhail Zhigalov, 
Olga Naumenko
",min,
