Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Prenda-me se for Capaz,(2002),"Biography, Crime, Drama",141,8.1,164.62,757.737,75.0,Steven Spielberg,":
Leonardo DiCaprio, 
Tom Hanks, 
Christopher Walken, 
Martin Sheen
",min,M
"Star Wars, Episódio II: Ataque dos Clones",(2002),"Action, Adventure, Fantasy",142,6.5,310.68,604.744,54.0,George Lucas,":
Hayden Christensen, 
Natalie Portman, 
Ewan McGregor, 
Christopher Lee
",min,M
O Senhor dos Anéis: As Duas Torres,(2002),"Adventure, Drama, Fantasy",179,8.7,342.55,1.402.439,87.0,Peter Jackson,":
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
",min,M
Harry Potter e a Câmara Secreta,(2002),"Adventure, Family, Fantasy",161,7.4,261.99,513.429,63.0,Chris Columbus,":
Daniel Radcliffe, 
Rupert Grint, 
Emma Watson, 
Richard Harris
",min,M
Estrada para Perdição,(2002),"Crime, Drama, Thriller",117,7.7,104.45,233.923,72.0,Sam Mendes,":
Tom Hanks, 
Tyler Hoechlin, 
Rob Maxey, 
Liam Aiken
",min,M
Cidade de Deus,(2002),"Crime, Drama",130,8.6,7.56,665.192,79.0,Fernando Meirelles,":
Alexandre Rodrigues, 
Leandro Firmino, 
Matheus Nachtergaele, 
Phellipe Haagensen
",min,M
Homem-Aranha,(2002),"Action, Adventure, Sci-Fi",121,7.3,403.71,658.227,73.0,Sam Raimi,":
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
",min,M
Gangues de Nova York,(2002),"Crime, Drama",167,7.5,77.81,384.203,72.0,Martin Scorsese,":
Leonardo DiCaprio, 
Cameron Diaz, 
Daniel Day-Lewis, 
Jim Broadbent
",min,M
O Conde de Monte Cristo,(2002),"Action, Adventure, Drama",131,7.8,54.23,123.380,61.0,Kevin Reynolds,":
Jim Caviezel, 
Guy Pearce, 
Richard Harris, 
James Frain
",min,M
Doce Lar,(2002),"Comedy, Romance",108,6.2,127.22,97.983,45.0,Andy Tennant,":
Reese Witherspoon, 
Patrick Dempsey, 
Josh Lucas, 
Candice Bergen
",min,M
O Pianista,(2002),"Biography, Drama, Music",150,8.5,32.57,674.247,85.0,Roman Polanski,":
Adrien Brody, 
Thomas Kretschmann, 
Frank Finlay, 
Emilia Fox
",min,M
