Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
A Origem,(2010),"
Action, Adventure, Sci-Fi            ",148 min,8.8,$292.58M,"1,915,750",74        ,Christopher Nolan,":
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Ellen Page, 
Ken Watanabe
"
Ilha do Medo,(2010),"
Mystery, Thriller            ",138 min,8.1,$128.01M,"1,048,838",63        ,Martin Scorsese,":
Leonardo DiCaprio, 
Emily Mortimer, 
Mark Ruffalo, 
Ben Kingsley
"
Scott Pilgrim Contra o Mundo,(2010),"
Action, Comedy, Fantasy            ",112 min,7.5,$31.49M,"352,109",69        ,Edgar Wright,":
Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick
"
Burlesque,(I) (2010),"
Drama, Music, Musical            ",119 min,6.4,$39.44M,"73,893",47        ,Steve Antin,":
Cher, 
Christina Aguilera, 
Alan Cumming, 
Eric Dane
"
O Turista,(I) (2010),"
Action, Adventure, Crime            ",103 min,6.0,$67.63M,"212,601",37        ,Florian Henckel von Donnersmarck,":
Johnny Depp, 
Angelina Jolie, 
Paul Bettany, 
Timothy Dalton
"
Cisne Negro,(2010),"
Drama, Thriller            ",108 min,8.0,$106.95M,"667,555",79        ,Darren Aronofsky,":
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder
"
Harry Potter e as Relíquias da Morte - Parte 1,(2010),"
Adventure, Family, Fantasy            ",146 min,7.7,$295.98M,"443,640",65        ,David Yates,":
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Bill Nighy
"
A Mentira,(2010),"
Comedy, Drama, Romance            ",92 min,7.1,$58.40M,"340,085",72        ,Will Gluck,":
Emma Stone, 
Amanda Bynes, 
Penn Badgley, 
Dan Byrd
"
A Serbian Film - Terror sem Limites,(2010),"
Horror, Mystery, Thriller            ",104 min,5.1,,"53,469",,Srdjan Spasojevic,":
Srdjan 'Zika' Todorovic, 
Sergej Trifunovic, 
Jelena Gavrilovic, 
Slobodan Bestic
"
Atração Perigosa,(2010),"
Crime, Drama, Thriller            ",125 min,7.5,$92.19M,"332,186",74        ,Ben Affleck,":
Ben Affleck, 
Rebecca Hall, 
Jon Hamm, 
Jeremy Renner
"
Incontrolável,(2010),"
Action, Thriller            ",98 min,6.8,$81.56M,"177,202",69        ,Tony Scott,":
Denzel Washington, 
Chris Pine, 
Rosario Dawson, 
Ethan Suplee
"
Gente Grande,(I) (2010),"
Comedy            ",102 min,5.9,$162.00M,"217,082",30        ,Dennis Dugan,":
Adam Sandler, 
Salma Hayek, 
Kevin James, 
Chris Rock
"
Enrolados,(2010),"
Animation, Adventure, Comedy            ",100 min,7.7,$200.82M,"381,282",71        ,Nathan Greno,":
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
"
Fúria de Titãs,(2010),"
Action, Adventure, Fantasy            ",106 min,5.8,$163.21M,"262,010",39        ,Louis Leterrier,":
Sam Worthington, 
Liam Neeson, 
Ralph Fiennes, 
Jason Flemyng
"
Um Jantar para Idiotas,(2010),"
Comedy            ",114 min,5.9,$73.03M,"94,487",56        ,Jay Roach,":
Steve Carell, 
Paul Rudd, 
Stephanie Szostak, 
Zach Galifianakis
"
A Rede Social,(2010),"
Biography, Drama            ",120 min,7.7,$96.96M,"585,735",95        ,David Fincher,":
Jesse Eisenberg, 
Andrew Garfield, 
Justin Timberlake, 
Rooney Mara
"
72 Horas,(2010),"
Action, Crime, Drama            ",133 min,7.4,$21.15M,"173,316",52        ,Paul Haggis,":
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
"
Homem de Ferro 2,(2010),"
Action, Adventure, Sci-Fi            ",124 min,7.0,$312.43M,"684,312",57        ,Jon Favreau,":
Robert Downey Jr., 
Mickey Rourke, 
Gwyneth Paltrow, 
Don Cheadle
"
