Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
1917,(2019),"
Drama, War            ",119 min,8.6,,"61,799",79        
Star Wars: A Ascensão Skywalker,(2019),"
Action, Adventure, Fantasy            ",142 min,6.9,,"232,560",54        
Era Uma Vez em... Hollywood,(2019),"
Comedy, Drama            ",161 min,7.8,$135.37M,"340,499",83        
Coringa,(2019),"
Crime, Drama, Thriller            ",122 min,8.6,$192.73M,"617,303",59        
Entre Facas e Segredos,(2019),"
Comedy, Crime, Drama            ",131 min,8.1,,"122,243",82        
Adoráveis Mulheres,(2019),"
Drama, Romance            ",135 min,8.2,,"27,359",91        
Parasita,(2019),"
Comedy, Drama, Thriller            ",132 min,8.6,,"154,272",96        
Cats,(2019),"
Comedy, Drama, Family            ",110 min,2.8,,"22,875",32        
Joias Brutas,(2019),"
Crime, Drama, Mystery            ",135 min,8.0,,"28,907",90        
O Irlandês,(2019),"
Biography, Crime, Drama            ",209 min,8.0,,"204,169",94        
História de um Casamento,(2019),"
Comedy, Drama, Romance            ",137 min,8.1,,"128,294",93        
Jojo Rabbit,(2019),"
Comedy, Drama, War            ",108 min,8.0,$0.35M,"48,786",58        
O Escândalo,(2019),"
Biography, Drama            ",109 min,6.8,,"15,821",65        
O Farol,(I) (2019),"
Drama, Fantasy, Horror            ",109 min,7.8,$0.43M,"51,024",83        
The Gentlemen,(2019),"
Action, Crime            ",113 min,8.1,,"7,845",49        
Jumanji: Próxima Fase,(2019),"
Action, Adventure, Comedy            ",123 min,7.0,,"64,209",58        
Esquadrão 6,(2019),"
Action, Adventure, Comedy            ",128 min,6.1,,"86,858",41        
Dois Papas,(2019),"
Biography, Comedy, Drama            ",125 min,7.6,,"51,275",75        
Frozen II,(2019),"
Animation, Adventure, Comedy            ",103 min,7.2,,"58,928",64        
Ford vs Ferrari,(2019),"
Action, Biography, Drama            ",152 min,8.2,,"92,400",81        
As Golpistas,(2019),"
Comedy, Crime, Drama            ",110 min,6.4,$80.55M,"45,221",79        
Midsommar: O Mal Não Espera a Noite,(I) (2019),"
Drama, Horror, Mystery            ",147 min,7.2,$27.33M,"102,646",72        
Malévola: Dona do Mal,(2019),"
Adventure, Family, Fantasy            ",119 min,6.8,$36.95M,"44,256",43        
Vingadores: Ultimato,(2019),"
Action, Adventure, Drama            ",181 min,8.5,$858.37M,"648,599",78        
A Despedida,(I) (2019),"
Comedy, Drama            ",100 min,7.7,$16.88M,"24,330",89        
Jay and Silent Bob Reboot,(2019),"
Comedy            ",105 min,5.9,,"5,383",46        
Judy: Muito Além do Arco-Íris,(II) (2019),"
Biography, Drama, Romance            ",118 min,7.0,,"14,386",66        
Aladdin,(I) (2019),"
Adventure, Family, Fantasy            ",128 min,7.0,$354.87M,"173,757",53        
Ad Astra: Rumo às Estrelas,(2019),"
Adventure, Drama, Mystery            ",123 min,6.7,$35.40M,"127,708",80        
A Hora da sua Morte,(III) (2019),"
Horror, Thriller            ",90 min,5.3,,"8,717",31        
Rocketman,(I) (2019),"
Biography, Drama, Music            ",121 min,7.4,$96.37M,"90,337",69        
Luta por Justiça,(2019),"
Drama            ",137 min,7.2,,"3,675",68        
O Informante,(2019),"
Crime, Drama, Thriller            ",113 min,6.5,,"6,778",64        
Zumbilândia: Atire Duas Vezes,(2019),"
Action, Comedy, Horror            ",99 min,6.9,$26.80M,"68,923",55        
Yip Man 4,(2019),"
Action, Biography, Drama            ",105 min,7.5,,"3,743",62        
Fora de Série,(2019),"
Comedy            ",102 min,7.2,$22.68M,"59,316",84        
Um Espião Animal,(2019),"
Animation, Action, Adventure            ",102 min,6.8,,"5,292",54        
O Caso Richard Jewell,(2019),"
Biography, Crime, Drama            ",131 min,7.6,,"9,795",69        
It: Capítulo Dois,(2019),"
Drama, Fantasy, Horror            ",169 min,6.7,$193.77M,"149,372",58        
Link Perdido,(2019),"
Animation, Adventure, Comedy            ",93 min,6.7,$16.65M,"12,785",68        
Projeto Gemini,(2019),"
Action, Drama, Sci-Fi            ",117 min,5.7,$20.55M,"45,811",38        
Um Lindo Dia na Vizinhança,(2019),"
Biography, Drama            ",109 min,7.6,,"14,405",80        
Togo,(2019),"
Adventure, Biography, Drama            ",113 min,8.1,,"12,684",71        
O Rei,(I) (2019),"
Biography, Drama, History            ",140 min,7.3,,"59,294",62        
Shazam!,(2019),"
Action, Adventure, Comedy            ",132 min,7.1,$140.37M,"208,334",71        
Meu Nome é Dolemite,(2019),"
Biography, Comedy, Drama            ",118 min,7.3,,"34,339",76        
Ready or Not - O Ritual,(I) (2019),"
Comedy, Horror, Mystery            ",95 min,6.9,$26.74M,"56,890",64        
Casal Improvável,(2019),"
Comedy, Romance            ",125 min,6.9,$30.32M,"66,317",67        
Hellboy,(2019),"
Action, Adventure, Fantasy            ",120 min,5.2,$21.90M,"64,325",31        
Good Newwz,(2019),"
Comedy, Drama            ",134 min,7.6,,"6,128",
The Aeronauts,(2019),"
Action, Adventure, Biography            ",100 min,6.6,,"12,915",60        
Harriet,(I) (2019),"
Action, Biography, Drama            ",125 min,6.2,,"5,815",66        
Code 8: Renegados,(2019),"
Crime, Drama, Sci-Fi            ",98 min,6.1,,"9,599",
Retrato de uma Jovem em Chamas,(2019),"
Drama, Romance            ",121 min,8.3,,"12,011",95        
Pets: A Vida Secreta dos Bichos 2,(2019),"
Animation, Adventure, Comedy            ",86 min,6.5,$158.14M,"36,110",55        
John Wick 3: Parabellum,(2019),"
Action, Crime, Thriller            ",131 min,7.5,$171.02M,"213,562",73        
O Rei Leão,(2019),"
Animation, Adventure, Drama            ",118 min,7.0,$540.08M,"156,433",55        
Black and Blue,(I) (2019),"
Action, Crime, Drama            ",108 min,6.0,,"5,552",54        
Doutor Sono,(2019),"
Drama, Fantasy, Horror            ",152 min,7.5,,"49,939",59        
Uma Segunda Chance Para Amar,(2019),"
Comedy, Drama, Romance            ",103 min,6.5,,"20,120",50        
Dor e Glória,(2019),"
Drama            ",113 min,7.7,,"26,210",88        
Invasão ao Serviço Secreto,(2019),"
Action, Thriller            ",121 min,6.4,$67.16M,"47,770",45        
Nós,(II) (2019),"
Horror, Mystery, Thriller            ",116 min,6.9,$175.01M,"176,961",81        
O Relatório,(I) (2019),"
Biography, Crime, Drama            ",119 min,7.2,,"16,537",66        
Lutando Pela Família,(2019),"
Biography, Comedy, Drama            ",108 min,7.1,$22.96M,"48,279",68        
Consequências,(II) (2019),"
Drama, Romance, War            ",108 min,6.3,$1.62M,"12,226",43        
Rambo: Até o Fim,(2019),"
Action, Adventure, Thriller            ",89 min,6.2,$18.87M,"51,004",26        
