Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Star Wars, Episódio V: O Império Contra-Ataca",(1980),"
Action, Adventure, Fantasy            ",124 min,8.7,$290.48M,"1,096,937",82        ,Irvin Kershner,":
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
"
O Iluminado,(1980),"
Drama, Horror            ",146 min,8.4,$44.02M,"829,744",66        ,Stanley Kubrick,":
Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers
"
"Apertem os Cintos, o Piloto Sumiu",(1980),"
Comedy            ",88 min,7.7,$83.40M,"197,397",78        ,Jim Abrahams,":
Robert Hays, 
Julie Hagerty, 
Leslie Nielsen, 
Kareem Abdul-Jabbar
"
Touro Indomável,(1980),"
Biography, Drama, Sport            ",129 min,8.2,$23.38M,"301,127",89        ,Martin Scorsese,":
Robert De Niro, 
Cathy Moriarty, 
Joe Pesci, 
Frank Vincent
"
Flash Gordon,(1980),"
Action, Adventure, Sci-Fi            ",111 min,6.5,,"47,496",58        ,Mike Hodges,":
Sam J. Jones, 
Melody Anderson, 
Max von Sydow, 
Topol
"
A Lagoa Azul,(1980),"
Adventure, Drama, Romance            ",104 min,5.8,$58.85M,"59,639",31        ,Randal Kleiser,":
Brooke Shields, 
Christopher Atkins, 
Leo McKern, 
William Daniels
"
Os Irmãos Cara de Pau,(1980),"
Adventure, Comedy, Crime            ",133 min,7.9,$57.23M,"172,632",60        ,John Landis,":
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
"
Cowboy do Asfalto,(1980),"
Drama, Romance, Western            ",132 min,6.3,$53.30M,"12,364",61        ,James Bridges,":
John Travolta, 
Debra Winger, 
Scott Glenn, 
Madolyn Smith Osborne
"
Popeye,(1980),"
Adventure, Comedy, Family            ",114 min,5.3,$49.82M,"27,919",64        ,Robert Altman,":
Robin Williams, 
Shelley Duvall, 
Ray Walston, 
Paul Dooley
"
Holocausto Canibal,(1980),"
Adventure, Horror            ",95 min,5.9,,"47,764",22        ,Ruggero Deodato,":
Robert Kerman, 
Francesca Ciardi, 
Perry Pirkanen, 
Luca Barbareschi
"
O Homem Elefante,(1980),"
Biography, Drama            ",124 min,8.1,,"206,553",77        ,David Lynch,":
Anthony Hopkins, 
John Hurt, 
Anne Bancroft, 
John Gielgud
"
Sexta-Feira 13,(1980),"
Horror, Mystery, Thriller            ",95 min,6.5,$39.75M,"111,026",22        ,Sean S. Cunningham,":
Betsy Palmer, 
Adrienne King, 
Jeannine Taylor, 
Robbi Morgan
"
Clube dos Pilantras,(1980),"
Comedy, Sport            ",98 min,7.3,$39.85M,"99,946",48        ,Harold Ramis,":
Chevy Chase, 
Rodney Dangerfield, 
Bill Murray, 
Ted Knight
"
Em Algum Lugar do Passado,(1980),"
Drama, Fantasy, Romance            ",103 min,7.2,$9.71M,"25,362",29        ,Jeannot Szwarc,":
Christopher Reeve, 
Jane Seymour, 
Christopher Plummer, 
Teresa Wright
"
A Bruma Assassina,(1980),"
Horror, Thriller            ",89 min,6.8,$21.38M,"59,610",55        ,John Carpenter,":
Adrienne Barbeau, 
Jamie Lee Curtis, 
Janet Leigh, 
John Houseman
"
Loucos de Dar Nó,(1980),"
Comedy, Crime            ",111 min,6.8,$101.30M,"23,614",56        ,Sidney Poitier,":
Gene Wilder, 
Richard Pryor, 
Georg Stanford Brown, 
JoBeth Williams
"
Gente como a Gente,(1980),"
Drama            ",124 min,7.7,$54.80M,"43,759",87        ,Robert Redford,":
Donald Sutherland, 
Mary Tyler Moore, 
Judd Hirsch, 
Timothy Hutton
"
