Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Star Wars, Episódio IV: Uma Nova Esperança",(1977),"
Action, Adventure, Fantasy            ",121 min,8.6,$322.74M,"1,169,183",90        ,George Lucas,":
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness
"
"New York, New York",(1977),"
Drama, Music, Musical            ",155 min,6.7,$16.40M,"17,078",62        ,Martin Scorsese,":
Liza Minnelli, 
Robert De Niro, 
Lionel Stander, 
Barry Primus
"
Os Embalos de Sábado à Noite,(1977),"
Drama, Music            ",118 min,6.8,$94.21M,"66,531",77        ,John Badham,":
John Travolta, 
Karen Lynn Gorney, 
Barry Miller, 
Joseph Cali
"
Contatos Imediatos do Terceiro Grau,(1977),"
Drama, Sci-Fi            ",138 min,7.6,$132.09M,"173,156",90        ,Steven Spielberg,":
Richard Dreyfuss, 
François Truffaut, 
Teri Garr, 
Melinda Dillon
"
007: O Espião que me Amava,(1977),"
Action, Adventure, Thriller            ",125 min,7.1,$46.80M,"92,219",55        ,Lewis Gilbert,":
Roger Moore, 
Barbara Bach, 
Curd Jürgens, 
Richard Kiel
"
Eraserhead,(1977),"
Horror            ",89 min,7.4,$7.00M,"94,492",87        ,David Lynch,":
Jack Nance, 
Charlotte Stewart, 
Allen Joseph, 
Jeanne Bates
"
Jabberwocky: Um Herói por Acaso,(1977),"
Adventure, Comedy, Fantasy            ",105 min,6.2,,"12,363",61        ,Terry Gilliam,":
Michael Palin, 
Harry H. Corbett, 
John Le Mesurier, 
Warren Mitchell
"
Suspiria,(1977),"
Horror            ",99 min,7.4,,"72,584",79        ,Dario Argento,":
Jessica Harper, 
Stefania Casini, 
Flavio Bucci, 
Miguel Bosé
"
Vale Tudo,(1977),"
Comedy, Drama, Sport            ",123 min,7.3,$28.00M,"32,764",61        ,George Roy Hill,":
Paul Newman, 
Michael Ontkean, 
Strother Martin, 
Jennifer Warren
"
A Última Investigação,(1977),"
Comedy, Mystery, Thriller            ",93 min,7.0,,"2,149",,Robert Benton,":
Art Carney, 
Lily Tomlin, 
Bill Macy, 
Eugene Roche
"
"Noivo Neurótico, Noiva Nervosa",(1977),"
Comedy, Romance            ",93 min,8.0,$39.20M,"241,785",92        ,Woody Allen,":
Woody Allen, 
Diane Keaton, 
Tony Roberts, 
Carol Kane
"
Uma Ponte Longe Demais,(1977),"
Drama, History, War            ",175 min,7.4,$50.80M,"48,818",,Richard Attenborough,":
Sean Connery, 
Ryan O'Neal, 
Michael Caine, 
Laurence Olivier
"
Agarra-me se Puderes,(1977),"
Action, Comedy            ",96 min,7.0,$126.74M,"42,348",50        ,Hal Needham,":
Burt Reynolds, 
Sally Field, 
Jerry Reed, 
Mike Henry
"
"Meu Amigo, o Dragão",(1977),"
Animation, Adventure, Comedy            ",128 min,6.4,$40.10M,"21,160",46        ,Don Chaffey,":
Sean Marshall, 
Helen Reddy, 
Jim Dale, 
Mickey Rooney
"
Bernardo e Bianca,(1977),"
Animation, Adventure, Comedy            ",78 min,6.9,$71.22M,"54,467",74        ,John Lounsbery,":
Bob Newhart, 
Eva Gabor, 
Geraldine Page, 
Joe Flynn
"
The Kentucky Fried Movie,(1977),"
Comedy            ",83 min,6.5,,"16,254",61        ,John Landis,":
Evan C. Kim, 
Bong Soo Han, 
Bill Bixby, 
George Lazenby
"
Geração Proteus,(1977),"
Horror, Sci-Fi            ",94 min,6.3,,"7,626",55        ,Donald Cammell,":
Julie Christie, 
Fritz Weaver, 
Gerrit Graham, 
Berry Kroeger
"
O Fundo do Mar,(1977),"
Adventure, Mystery, Thriller            ",123 min,6.2,$6.84M,"10,437",41        ,Peter Yates,":
Jacqueline Bisset, 
Nick Nolte, 
Dick Anthony Williams, 
Robert Shaw
"
O Comboio do Medo,(1977),"
Adventure, Drama, Thriller            ",121 min,7.7,$12.00M,"15,868",68        ,William Friedkin,":
Roy Scheider, 
Bruno Cremer, 
Francisco Rabal, 
Amidou
"
Esse Obscuro Objeto do Desejo,(1977),"
Comedy, Drama            ",103 min,7.9,$0.06M,"18,981",84        ,Luis Buñuel,":
Fernando Rey, 
Carole Bouquet, 
Ángela Molina, 
Julien Bertheau
"
Enraivecida na Fúria do Sexo,(1977),"
Horror, Sci-Fi            ",91 min,6.3,,"14,374",,David Cronenberg,":
Marilyn Chambers, 
Frank Moore, 
Joe Silver, 
Howard Ryshpan
"
Rota Suicida,(1977),"
Action, Crime, Thriller            ",109 min,6.4,$35.40M,"19,804",59        ,Clint Eastwood,":
Clint Eastwood, 
Sondra Locke, 
Pat Hingle, 
William Prince
"
As Aventuras do Ursinho Puff,(1977),"
Animation, Comedy, Family            ",74 min,7.6,,"30,553",,John Lounsbery,":
Sebastian Cabot, 
Junius Matthews, 
Barbara Luddy, 
Howard Morris
"
Hausu,(1977),"
Comedy, Horror            ",88 min,7.4,,"18,043",,Nobuhiko Ôbayashi,":
Kimiko Ikegami, 
Miki Jinbo, 
Kumiko Ohba, 
Ai Matsubara
"
Quadrilha de Sádicos,(1977),"
Horror, Thriller            ",90 min,6.3,$25.00M,"27,863",64        ,Wes Craven,":
Suze Lanier-Bramlett, 
Robert Houston, 
Martin Speer, 
Dee Wallace
"
Wizards,(1977),"
Animation, Adventure, Fantasy            ",80 min,6.5,$9.00M,"9,658",,Ralph Bakshi,":
Bob Holt, 
Jesse Welles, 
Richard Romanus, 
David Proval
"
O Exorcista II: O Herege,(1977),"
Horror            ",117 min,3.8,$30.75M,"20,521",39        ,John Boorman,":
Richard Burton, 
Linda Blair, 
Louise Fletcher, 
Max von Sydow
"
Alta Ansiedade,(1977),"
Comedy, Mystery, Thriller            ",94 min,6.7,$31.06M,"18,781",55        ,Mel Brooks,":
Mel Brooks, 
Madeline Kahn, 
Cloris Leachman, 
Harvey Korman
"
Orca: A Baleia Assassina,(1977),"
Adventure, Drama, Horror            ",92 min,5.8,$14.72M,"9,882",27        ,Michael Anderson,":
Richard Harris, 
Charlotte Rampling, 
Will Sampson, 
Bo Derek
"
À Procura de Mr. Goodbar,(1977),"
Drama            ",136 min,6.7,$16.90M,"6,351",64        ,Richard Brooks,":
Diane Keaton, 
Richard Gere, 
Tuesday Weld, 
William Atherton
"
A Cruz de Ferro,(1977),"
Drama, War            ",132 min,7.5,,"24,046",,Sam Peckinpah,":
James Coburn, 
Maximilian Schell, 
James Mason, 
David Warner
"
Os Duelistas,(1977),"
Drama, War            ",100 min,7.4,,"18,274",70        ,Ridley Scott,":
Keith Carradine, 
Harvey Keitel, 
Albert Finney, 
Edward Fox
"
Três Mulheres,(1977),"
Drama, Mystery, Thriller            ",124 min,7.8,,"12,700",71        ,Robert Altman,":
Shelley Duvall, 
Sissy Spacek, 
Janice Rule, 
Robert Fortier
"
F.B.I. Arquivo Secreto,(1977),"
Biography, Drama            ",112 min,6.2,,554,,Larry Cohen,":
Broderick Crawford, 
James Wainwright, 
Michael Parks, 
José Ferrer
"
