Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Os Bons Companheiros,(1990),"
Biography, Crime, Drama            ",146 min,8.7,$46.84M,"949,343",90        ,Martin Scorsese,":
Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco
"
O Ataque dos Vermes Malditos,(1990),"
Comedy, Horror            ",96 min,7.1,$16.67M,"112,191",65        ,Ron Underwood,":
Kevin Bacon, 
Fred Ward, 
Finn Carter, 
Michael Gross
"
Esqueceram de Mim,(1990),"
Comedy, Family            ",103 min,7.6,$285.76M,"439,136",63        ,Chris Columbus,":
Macaulay Culkin, 
Joe Pesci, 
Daniel Stern, 
John Heard
"
As Tartarugas Ninja,(1990),"
Action, Adventure, Comedy            ",93 min,6.8,$135.27M,"80,796",51        ,Steve Barron,":
Judith Hoag, 
Elias Koteas, 
Josh Pais, 
David Forman
"
Rei de Nova York,(1990),"
Crime, Thriller            ",103 min,7.0,$2.55M,"29,116",66        ,Abel Ferrara,":
Christopher Walken, 
David Caruso, 
Laurence Fishburne, 
Victor Argo
"
Ghost: Do Outro Lado da Vida,(1990),"
Drama, Fantasy, Romance            ",127 min,7.0,$217.63M,"185,646",52        ,Jerry Zucker,":
Patrick Swayze, 
Demi Moore, 
Whoopi Goldberg, 
Tony Goldwyn
"
Uma Linda Mulher,(1990),"
Comedy, Romance            ",119 min,7.0,$178.41M,"270,471",51        ,Garry Marshall,":
Richard Gere, 
Julia Roberts, 
Jason Alexander, 
Laura San Giacomo
"
Louca Obsessão,(1990),"
Drama, Thriller            ",107 min,7.8,$61.28M,"171,571",75        ,Rob Reiner,":
James Caan, 
Kathy Bates, 
Richard Farnsworth, 
Frances Sternhagen
"
Dança com Lobos,(1990),"
Adventure, Drama, Western            ",181 min,8.0,$184.21M,"227,588",72        ,Kevin Costner,":
Kevin Costner, 
Mary McDonnell, 
Graham Greene, 
Rodney A. Grant
"
O Poderoso Chefão III,(1990),"
Crime, Drama            ",162 min,7.6,$66.67M,"336,574",60        ,Francis Ford Coppola,":
Al Pacino, 
Diane Keaton, 
Andy Garcia, 
Talia Shire
"
A Caçada ao Outubro Vermelho,(1990),"
Action, Adventure, Thriller            ",135 min,7.6,$122.01M,"169,032",58        ,John McTiernan,":
Sean Connery, 
Alec Baldwin, 
Scott Glenn, 
Sam Neill
"
Edward Mãos de Tesoura,(1990),"
Drama, Fantasy, Romance            ",105 min,7.9,$56.36M,"426,206",74        ,Tim Burton,":
Johnny Depp, 
Winona Ryder, 
Dianne Wiest, 
Anthony Michael Hall
"
Dick Tracy,(1990),"
Action, Comedy, Crime            ",105 min,6.1,$103.74M,"54,784",68        ,Warren Beatty,":
Warren Beatty, 
Madonna, 
Al Pacino, 
Charlie Korsmo
"
O Vingador do Futuro,(1990),"
Action, Sci-Fi, Thriller            ",113 min,7.5,$119.39M,"286,117",57        ,Paul Verhoeven,":
Arnold Schwarzenegger, 
Sharon Stone, 
Michael Ironside, 
Rachel Ticotin
"
Um Tira no Jardim de Infância,(1990),"
Comedy, Crime            ",111 min,6.1,$91.46M,"129,404",61        ,Ivan Reitman,":
Arnold Schwarzenegger, 
Penelope Ann Miller, 
Pamela Reed, 
Linda Hunt
"
