Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Indiana Jones e os Caçadores da Arca Perdida,(1981),"
Action, Adventure            ",115 min,8.4,$248.16M,"838,767",85        ,Steven Spielberg,":
Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies
"
Uma Noite Alucinante: A Morte do Demônio,(1981),"
Horror            ",85 min,7.5,$2.40M,"176,277",71        ,Sam Raimi,":
Bruce Campbell, 
Ellen Sandweiss, 
Richard DeManincor, 
Betsy Baker
"
Fuga de Nova York,(1981),"
Action, Adventure, Sci-Fi            ",99 min,7.2,$25.24M,"116,541",76        ,John Carpenter,":
Kurt Russell, 
Lee Van Cleef, 
Ernest Borgnine, 
Donald Pleasence
"
O Barco: Inferno no Mar,(1981),"
Adventure, Drama, Thriller            ",149 min,8.3,$11.49M,"218,272",86        ,Wolfgang Petersen,":
Jürgen Prochnow, 
Herbert Grönemeyer, 
Klaus Wennemann, 
Hubertus Bengsch
"
Um Lobisomem Americano em Londres,(1981),"
Comedy, Horror            ",97 min,7.5,$30.57M,"85,905",60        ,John Landis,":
David Naughton, 
Jenny Agutter, 
Joe Belcher, 
Griffin Dunne
"
Porky's: A Casa do Amor e do Riso,(1981),"
Comedy            ",94 min,6.2,$111.29M,"36,187",40        ,Bob Clark,":
Dan Monahan, 
Mark Herrier, 
Wyatt Knight, 
Roger Wilson
"
"Excalibur, a Espada do Poder",(1981),"
Adventure, Drama, Fantasy            ",140 min,7.4,$34.97M,"54,886",56        ,John Boorman,":
Nigel Terry, 
Helen Mirren, 
Nicholas Clay, 
Cherie Lunghi
"
Mad Max 2: A Caçada Continua,(1981),"
Action, Adventure, Sci-Fi            ",96 min,7.6,$12.47M,"158,800",77        ,George Miller,":
Mel Gibson, 
Bruce Spence, 
Michael Preston, 
Max Phipps
"
Recrutas da Pesada,(1981),"
Comedy, War            ",106 min,6.9,$85.30M,"61,331",68        ,Ivan Reitman,":
Bill Murray, 
John Candy, 
Harold Ramis, 
Warren Oates
"
Heavy Metal - Universo em Fantasia,(1981),"
Animation, Adventure, Fantasy            ",86 min,6.7,,"29,471",51        ,Gerald Potterton,":
Richard Romanus, 
John Candy, 
Joe Flaherty, 
Don Francks
"
Corpos Ardentes,(1981),"
Crime, Drama, Romance            ",113 min,7.4,$24.06M,"28,969",77        ,Lawrence Kasdan,":
William Hurt, 
Kathleen Turner, 
Richard Crenna, 
Ted Danson
"
Confissões Verdadeiras,(1981),"
Crime, Drama            ",108 min,6.3,$10.20M,"6,806",68        ,Ulu Grosbard,":
Robert De Niro, 
Robert Duvall, 
Charles Durning, 
Kenneth McMillan
"
Fúria de Titãs,(1981),"
Action, Adventure, Family            ",118 min,6.9,$41.09M,"38,666",59        ,Desmond Davis,":
Laurence Olivier, 
Harry Hamlin, 
Claire Bloom, 
Maggie Smith
"
"Quem Não Corre, Voa",(1981),"
Action, Comedy, Sport            ",95 min,6.3,$72.18M,"31,410",28        ,Hal Needham,":
Burt Reynolds, 
Roger Moore, 
Farrah Fawcett, 
Dom DeLuise
"
Possessão,(1981),"
Drama, Horror            ",124 min,7.4,$1.11M,"21,981",72        ,Andrzej Zulawski,":
Isabelle Adjani, 
Sam Neill, 
Margit Carstensen, 
Heinz Bennent
"
007 - Somente Para Seus Olhos,(1981),"
Action, Adventure, Thriller            ",127 min,6.8,$62.30M,"86,350",54        ,John Glen,":
Roger Moore, 
Carole Bouquet, 
Topol, 
Lynn-Holly Johnson
"
Os Bandidos do Tempo,(1981),"
Adventure, Comedy, Fantasy            ",116 min,7.0,$42.37M,"55,224",79        ,Terry Gilliam,":
Sean Connery, 
Shelley Duvall, 
John Cleese, 
Katherine Helmond
"
"Arthur, o Milionário Sedutor",(1981),"
Comedy, Romance            ",97 min,6.9,$95.46M,"24,531",69        ,Steve Gordon,":
Dudley Moore, 
Liza Minnelli, 
John Gielgud, 
Geraldine Fitzgerald
"
Gallipoli,(1981),"
Adventure, Drama, History            ",110 min,7.4,$5.73M,"34,931",65        ,Peter Weir,":
Mel Gibson, 
Mark Lee, 
Bill Kerr, 
Harold Hopkins
"
Grito de Horror,(1981),"
Horror            ",91 min,6.6,$17.99M,"29,101",68        ,Joe Dante,":
Dee Wallace, 
Patrick Macnee, 
Dennis Dugan, 
Christopher Stone
"
O Cão e a Raposa,(1981),"
Animation, Adventure, Drama            ",83 min,7.3,$63.46M,"79,916",65        ,Ted Berman,":
Mickey Rooney, 
Kurt Russell, 
Pearl Bailey, 
Jack Albertson
"
Scanners: Sua Mente Pode Destruir,(1981),"
Horror, Sci-Fi, Thriller            ",103 min,6.8,$14.23M,"44,684",60        ,David Cronenberg,":
Jennifer O'Neill, 
Stephen Lack, 
Patrick McGoohan, 
Lawrence Dane
"
Amor sem Fim,(1981),"
Drama, Romance            ",116 min,4.9,$31.18M,"6,708",30        ,Franco Zeffirelli,":
Brooke Shields, 
Martin Hewitt, 
Shirley Knight, 
Don Murray
"
