Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Star Wars: Os Últimos Jedi,(2017),"
Action, Adventure, Fantasy            ",152 min,7.0,$620.18M,"521,534",85        ,Rian Johnson,":
Daisy Ridley, 
John Boyega, 
Mark Hamill, 
Carrie Fisher
"
Alien: Covenant,(2017),"
Horror, Sci-Fi, Thriller            ",122 min,6.4,$74.26M,"237,958",65        ,Ridley Scott,":
Michael Fassbender, 
Katherine Waterston, 
Billy Crudup, 
Danny McBride
"
Blade Runner 2049,(2017),"
Action, Drama, Mystery            ",164 min,8.0,$92.05M,"410,419",81        ,Denis Villeneuve,":
Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista
"
Jumanji: Bem-Vindo à Selva,(2017),"
Action, Adventure, Comedy            ",119 min,6.9,$404.52M,"282,688",58        ,Jake Kasdan,":
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
"
Em Ritmo de Fuga,(2017),"
Action, Crime, Drama            ",113 min,7.6,$107.83M,"394,811",86        ,Edgar Wright,":
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
"
Lady Bird: A Hora de Voar,(2017),"
Comedy, Drama            ",94 min,7.4,$48.96M,"198,526",94        ,Greta Gerwig,":
Saoirse Ronan, 
Laurie Metcalf, 
Tracy Letts, 
Lucas Hedges
"
It: A Coisa,(I) (2017),"
Horror            ",135 min,7.3,$327.48M,"418,521",69        ,Andy Muschietti,":
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
"
Dunkirk,(2017),"
Action, Drama, History            ",106 min,7.9,$188.37M,"497,419",94        ,Christopher Nolan,":
Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy
"
Me Chame pelo Seu Nome,(2017),"
Drama, Romance            ",132 min,7.9,$18.10M,"174,390",93        ,Luca Guadagnino,":
Armie Hammer, 
Timothée Chalamet, 
Michael Stuhlbarg, 
Amira Casar
"
Corra!,(I) (2017),"
Horror, Mystery, Thriller            ",104 min,7.7,$176.04M,"440,468",84        ,Jordan Peele,":
Daniel Kaluuya, 
Allison Williams, 
Bradley Whitford, 
Catherine Keener
"
