Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Batman: O Cavaleiro das Trevas,(2008),"
Action, Crime, Drama            ",152 min,9.0,$534.86M,"2,167,021",84        ,Christopher Nolan,":
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine
"
Trovão Tropical,(2008),"
Action, Comedy, War            ",107 min,7.0,$110.52M,"361,613",71        ,Ben Stiller,":
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
"
Homem de Ferro,(2008),"
Action, Adventure, Sci-Fi            ",126 min,7.9,$318.41M,"895,530",79        ,Jon Favreau,":
Robert Downey Jr., 
Gwyneth Paltrow, 
Terrence Howard, 
Jeff Bridges
"
Crepúsculo,(I) (2008),"
Drama, Fantasy, Romance            ",122 min,5.2,$191.47M,"403,964",56        ,Catherine Hardwicke,":
Kristen Stewart, 
Robert Pattinson, 
Billy Burke, 
Sarah Clarke
"
Foi Apenas um Sonho,(2008),"
Drama, Romance            ",119 min,7.3,$22.91M,"184,534",69        ,Sam Mendes,":
Leonardo DiCaprio, 
Kate Winslet, 
Christopher Fitzgerald, 
Jonathan Roumie
"
Sim Senhor,(2008),"
Comedy, Romance            ",104 min,6.8,$97.69M,"319,020",46        ,Peyton Reed,":
Jim Carrey, 
Zooey Deschanel, 
Bradley Cooper, 
John Michael Higgins
"
Quebrando a Banca,(2008),"
Crime, Drama, History            ",123 min,6.8,$81.16M,"219,489",48        ,Robert Luketic,":
Jim Sturgess, 
Kate Bosworth, 
Kevin Spacey, 
Aaron Yoo
"
007 - Quantum of Solace,(2008),"
Action, Adventure, Thriller            ",106 min,6.6,$168.37M,"386,746",58        ,Marc Forster,":
Daniel Craig, 
Olga Kurylenko, 
Mathieu Amalric, 
Judi Dench
"
O Curioso Caso de Benjamin Button,(2008),"
Drama, Fantasy, Romance            ",166 min,7.8,$127.51M,"555,807",70        ,David Fincher,":
Brad Pitt, 
Cate Blanchett, 
Tilda Swinton, 
Julia Ormond
"
Busca Implacável,(I) (2008),"
Action, Thriller            ",90 min,7.8,$145.00M,"547,976",51        ,Pierre Morel,":
Liam Neeson, 
Maggie Grace, 
Famke Janssen, 
Leland Orser
"
Quase Irmãos,(2008),"
Comedy            ",98 min,6.9,$100.47M,"254,954",51        ,Adam McKay,":
Will Ferrell, 
John C. Reilly, 
Mary Steenburgen, 
Richard Jenkins
"
Quem Quer Ser um Milionário?,(2008),"
Drama, Romance            ",120 min,8.0,$141.32M,"765,447",86        ,Danny Boyle,":
Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor
"
Um Amor de Tesouro,(I) (2008),"
Action, Adventure, Comedy            ",112 min,5.7,$70.23M,"70,122",29        ,Andy Tennant,":
Matthew McConaughey, 
Kate Hudson, 
Donald Sutherland, 
Alexis Dziena
"
