Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Star Wars, Episódio VI: O Retorno do Jedi",(1983),"
Action, Adventure, Fantasy            ",131 min,8.3,$309.13M,"899,473",58        ,Richard Marquand,":
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
"
Vidas sem Rumo,(1983),"
Crime, Drama            ",91 min,7.1,$25.60M,"70,630",41        ,Francis Ford Coppola,":
C. Thomas Howell, 
Matt Dillon, 
Ralph Macchio, 
Patrick Swayze
"
Scarface,(1983),"
Crime, Drama            ",170 min,8.3,$45.60M,"691,484",65        ,Brian De Palma,":
Al Pacino, 
Michelle Pfeiffer, 
Steven Bauer, 
Mary Elizabeth Mastrantonio
"
Flashdance: Em Ritmo de Embalo,(1983),"
Drama, Music, Romance            ",95 min,6.2,$94.90M,"44,384",39        ,Adrian Lyne,":
Jennifer Beals, 
Michael Nouri, 
Lilia Skala, 
Sunny Johnson
"
Férias Frustradas,(1983),"
Adventure, Comedy            ",98 min,7.4,$61.40M,"90,388",55        ,Harold Ramis,":
Chevy Chase, 
Beverly D'Angelo, 
Imogene Coca, 
Randy Quaid
"
Trocando as Bolas,(1983),"
Comedy            ",116 min,7.5,$90.40M,"127,817",69        ,John Landis,":
Eddie Murphy, 
Dan Aykroyd, 
Ralph Bellamy, 
Don Ameche
"
"Christine, o Carro Assassino",(1983),"
Horror, Thriller            ",110 min,6.7,$21.20M,"66,572",57        ,John Carpenter,":
Keith Gordon, 
John Stockwell, 
Alexandra Paul, 
Robert Prosky
"
Jogos de Guerra,(1983),"
Sci-Fi, Thriller            ",114 min,7.1,$79.57M,"85,839",77        ,John Badham,":
Matthew Broderick, 
Ally Sheedy, 
John Wood, 
Dabney Coleman
"
Videodrome: A Síndrome do Vídeo,(1983),"
Horror, Sci-Fi, Thriller            ",87 min,7.3,$2.12M,"77,832",60        ,David Cronenberg,":
James Woods, 
Debbie Harry, 
Sonja Smits, 
Peter Dvorsky
"
O Reencontro,(1983),"
Comedy, Drama            ",105 min,7.2,$56.20M,"30,971",61        ,Lawrence Kasdan,":
Tom Berenger, 
Glenn Close, 
Jeff Goldblum, 
William Hurt
"
Negócio Arriscado,(1983),"
Comedy, Crime, Drama            ",99 min,6.8,$63.50M,"76,023",75        ,Paul Brickman,":
Tom Cruise, 
Rebecca De Mornay, 
Joe Pantoliano, 
Richard Masur
"
007 - Nunca Mais Outra Vez,(1983),"
Action, Adventure, Thriller            ",134 min,6.2,$55.50M,"57,748",68        ,Irvin Kershner,":
Sean Connery, 
Kim Basinger, 
Klaus Maria Brandauer, 
Max von Sydow
"
