Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
O Resgate do Soldado Ryan,(1998),"
Drama, War            ",169 min,8.6,$216.54M,"1,157,819",91        ,Steven Spielberg,":
Tom Hanks, 
Matt Damon, 
Tom Sizemore, 
Edward Burns
"
A Outra História Americana,(1998),"
Drama            ",119 min,8.5,$6.72M,"983,275",62        ,Tony Kaye,":
Edward Norton, 
Edward Furlong, 
Beverly D'Angelo, 
Jennifer Lien
"
O Grande Lebowski,(1998),"
Comedy, Crime, Sport            ",117 min,8.1,$17.50M,"686,419",71        ,Joel Coen,":
Jeff Bridges, 
John Goodman, 
Julianne Moore, 
Steve Buscemi
"
A Máscara do Zorro,(1998),"
Action, Adventure, Comedy            ",136 min,6.7,$94.10M,"160,848",63        ,Martin Campbell,":
Antonio Banderas, 
Anthony Hopkins, 
Catherine Zeta-Jones, 
José María de Tavira
"
Dr. Dolittle,(1998),"
Comedy, Family, Fantasy            ",85 min,5.4,$144.16M,"88,017",46        ,Betty Thomas,":
Eddie Murphy, 
Peter Boyle, 
Ossie Davis, 
Oliver Platt
"
O Rei da Água,(1998),"
Comedy, Sport            ",90 min,6.1,$161.49M,"141,953",41        ,Frank Coraci,":
Adam Sandler, 
Kathy Bates, 
Henry Winkler, 
Fairuza Balk
"
O Show de Truman: O Show da Vida,(1998),"
Comedy, Drama, Sci-Fi            ",103 min,8.1,$125.62M,"871,238",90        ,Peter Weir,":
Jim Carrey, 
Ed Harris, 
Laura Linney, 
Noah Emmerich
"
Mulan,(1998),"
Animation, Adventure, Family            ",88 min,7.6,$120.62M,"233,727",71        ,Tony Bancroft,":
Ming-Na Wen, 
Eddie Murphy, 
BD Wong, 
Miguel Ferrer
"
"Jogos, Trapaças e Dois Canos Fumegantes",(1998),"
Comedy, Crime            ",107 min,8.2,$3.90M,"507,158",66        ,Guy Ritchie,":
Jason Flemyng, 
Dexter Fletcher, 
Nick Moran, 
Jason Statham
"
Impacto Profundo,(1998),"
Action, Drama, Romance            ",120 min,6.2,$140.46M,"154,861",40        ,Mimi Leder,":
Robert Duvall, 
Téa Leoni, 
Elijah Wood, 
Morgan Freeman
"
Inimigo do Estado,(1998),"
Action, Thriller            ",132 min,7.3,$111.55M,"218,760",67        ,Tony Scott,":
Will Smith, 
Gene Hackman, 
Jon Voight, 
Lisa Bonet
"
Perdidos no Espaço: O Filme,(1998),"
Action, Adventure, Family            ",130 min,5.2,$69.12M,"67,748",42        ,Stephen Hopkins,":
Gary Oldman, 
William Hurt, 
Matt LeBlanc, 
Mimi Rogers
"
Afinado no Amor,(1998),"
Comedy, Music, Romance            ",97 min,6.8,$80.25M,"128,330",59        ,Frank Coraci,":
Adam Sandler, 
Drew Barrymore, 
Christine Taylor, 
Allen Covert
"
Blade: O Caçador de Vampiros,(1998),"
Action, Horror, Sci-Fi            ",120 min,7.1,$70.09M,"233,658",45        ,Stephen Norrington,":
Wesley Snipes, 
Stephen Dorff, 
Kris Kristofferson, 
N'Bushe Wright
"
Vida de Inseto,(1998),"
Animation, Adventure, Comedy            ",95 min,7.2,$162.80M,"254,115",77        ,John Lasseter,":
Kevin Spacey, 
Dave Foley, 
Julia Louis-Dreyfus, 
Hayden Panettiere
"
Garotas Selvagens,(1998),"
Crime, Drama, Mystery            ",108 min,6.5,$29.75M,"103,261",52        ,John McNaughton,":
Kevin Bacon, 
Neve Campbell, 
Matt Dillon, 
Denise Richards
"
Cats,(1998),"
Musical            ",120 min,7.6,,"4,003",,David Mallet,":
Elaine Paige, 
John Mills, 
Ken Page, 
Rosemarie Ford
"
Armageddon,(1998),"
Action, Adventure, Sci-Fi            ",151 min,6.7,$201.57M,"380,461",42        ,Michael Bay,":
Bruce Willis, 
Billy Bob Thornton, 
Ben Affleck, 
Liv Tyler
"
Operação Cupido,(1998),"
Adventure, Comedy, Drama            ",128 min,6.5,$66.31M,"112,656",64        ,Nancy Meyers,":
Lindsay Lohan, 
Dennis Quaid, 
Natasha Richardson, 
Elaine Hendrix
"
Além da Linha Vermelha,(1998),"
Drama, War            ",170 min,7.6,$36.40M,"164,494",78        ,Terrence Malick,":
Jim Caviezel, 
Sean Penn, 
Nick Nolte, 
Kirk Acevedo
"
Quem Vai Ficar com Mary?,(1998),"
Comedy, Romance            ",119 min,7.1,$176.48M,"280,223",69        ,Bobby Farrelly,":
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
"
Encontro Marcado,(1998),"
Drama, Fantasy, Romance            ",178 min,7.2,$44.62M,"201,857",43        ,Martin Brest,":
Brad Pitt, 
Anthony Hopkins, 
Claire Forlani, 
Jake Weber
"
Shakespeare Apaixonado,(1998),"
Comedy, Drama, History            ",123 min,7.1,$100.32M,"205,941",87        ,John Madden,":
Gwyneth Paltrow, 
Joseph Fiennes, 
Geoffrey Rush, 
Tom Wilkinson
"
Mens@gem para Você,(1998),"
Comedy, Drama, Romance            ",119 min,6.6,$115.82M,"183,068",57        ,Nora Ephron,":
Tom Hanks, 
Meg Ryan, 
Greg Kinnear, 
Parker Posey
"
A Hora do Rush,(1998),"
Action, Comedy, Crime            ",98 min,7.0,$141.15M,"227,138",60        ,Brett Ratner,":
Jackie Chan, 
Chris Tucker, 
Ken Leung, 
Tom Wilkinson
"
O Encantador de Cavalos,(1998),"
Drama, Romance, Western            ",169 min,6.6,$75.38M,"37,461",65        ,Robert Redford,":
Robert Redford, 
Kristin Scott Thomas, 
Sam Neill, 
Dianne Wiest
"
Medo e Delírio,(1998),"
Adventure, Comedy, Drama            ",118 min,7.6,$10.68M,"248,373",41        ,Terry Gilliam,":
Johnny Depp, 
Benicio Del Toro, 
Tobey Maguire, 
Michael Lee Gogin
"
O Príncipe do Egito,(1998),"
Animation, Adventure, Drama            ",99 min,7.1,$101.22M,"111,671",64        ,Brenda Chapman,":
Val Kilmer, 
Ralph Fiennes, 
Michelle Pfeiffer, 
Sandra Bullock
"
Ronin,(1998),"
Action, Crime, Thriller            ",122 min,7.3,$41.62M,"165,092",67        ,John Frankenheimer,":
Robert De Niro, 
Jean Reno, 
Natascha McElhone, 
Stellan Skarsgård
"
Prova Final,(1998),"
Horror, Sci-Fi            ",104 min,6.5,$40.06M,"106,041",61        ,Robert Rodriguez,":
Jordana Brewster, 
Clea DuVall, 
Laura Harris, 
Josh Hartnett
"
Godzilla,(I) (1998),"
Action, Sci-Fi, Thriller            ",139 min,5.4,$136.31M,"175,867",32        ,Roland Emmerich,":
Matthew Broderick, 
Jean Reno, 
Maria Pitillo, 
Hank Azaria
"
Possuídos,(1998),"
Action, Crime, Drama            ",124 min,7.0,$25.19M,"70,820",,Gregory Hoblit,":
Denzel Washington, 
John Goodman, 
Donald Sutherland, 
Embeth Davidtz
"
Para Sempre Cinderela,(1998),"
Comedy, Drama, Romance            ",121 min,7.0,$65.71M,"66,364",66        ,Andy Tennant,":
Drew Barrymore, 
Anjelica Huston, 
Dougray Scott, 
Patrick Godfrey
"
Amor Além da Vida,(1998),"
Drama, Fantasy, Romance            ",113 min,7.0,$55.49M,"98,045",44        ,Vincent Ward,":
Robin Williams, 
Cuba Gooding Jr., 
Annabella Sciorra, 
Max von Sydow
"
Irresistível Paixão,(1998),"
Comedy, Crime, Drama            ",123 min,7.0,$37.56M,"81,535",85        ,Steven Soderbergh,":
George Clooney, 
Jennifer Lopez, 
Ving Rhames, 
Steve Zahn
"
Cartas na Mesa,(1998),"
Crime, Drama            ",121 min,7.3,$22.91M,"137,227",54        ,John Dahl,":
Matt Damon, 
Edward Norton, 
Gretchen Mol, 
John Malkovich
"
"Seis Dias, Sete Noites",(1998),"
Action, Adventure, Comedy            ",102 min,5.8,$74.33M,"69,895",51        ,Ivan Reitman,":
Harrison Ford, 
Anne Heche, 
David Schwimmer, 
Jacqueline Obradors
"
Cidade das Sombras,(1998),"
Mystery, Sci-Fi, Thriller            ",100 min,7.6,$14.38M,"180,815",66        ,Alex Proyas,":
Rufus Sewell, 
Kiefer Sutherland, 
Jennifer Connelly, 
William Hurt
"
Os Estragos de Sábado à Noite,(1998),"
Comedy, Music, Romance            ",82 min,6.3,$30.32M,"54,620",26        ,John Fortenberry,":
Chris Kattan, 
Will Ferrell, 
Raquel Gardner, 
Viveca Paulin
"
Formiguinhaz,(1998),"
Animation, Adventure, Comedy            ",83 min,6.5,$90.76M,"141,684",72        ,Eric Darnell,":
Woody Allen, 
Sharon Stone, 
Gene Hackman, 
Sylvester Stallone
"
A Vida em Preto e Branco,(1998),"
Comedy, Drama, Fantasy            ",124 min,7.5,$40.57M,"116,951",71        ,Gary Ross,":
Tobey Maguire, 
Jeff Daniels, 
Joan Allen, 
William H. Macy
"
Quando o Amor Acontece,(1998),"
Drama, Romance            ",114 min,6.0,$60.05M,"23,298",42        ,Forest Whitaker,":
Sandra Bullock, 
Harry Connick Jr., 
Gena Rowlands, 
Mae Whitman
"
Máquina Mortífera 4,(1998),"
Action, Crime, Thriller            ",127 min,6.6,$130.44M,"147,140",37        ,Richard Donner,":
Mel Gibson, 
Danny Glover, 
Joe Pesci, 
Rene Russo
"
Pra Lá de Bagdá,(1998),"
Comedy, Crime            ",82 min,6.7,$17.28M,"55,793",16        ,Tamra Davis,":
Dave Chappelle, 
Guillermo Díaz, 
Jim Breuer, 
Harland Williams
"
Felicidade,(1998),"
Comedy, Drama            ",134 min,7.7,$2.81M,"63,832",81        ,Todd Solondz,":
Jane Adams, 
Jon Lovitz, 
Philip Seymour Hoffman, 
Dylan Baker
"
