Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Aristogatas,(1970),"
Animation, Adventure, Comedy            ",78 min,7.1,$37.68M,"86,974",66        ,Wolfgang Reitherman,":
Phil Harris, 
Eva Gabor, 
Sterling Holloway, 
Scatman Crothers
"
M.A.S.H.,(1970),"
Comedy, Drama, War            ",116 min,7.5,$81.60M,"64,742",80        ,Robert Altman,":
Donald Sutherland, 
Elliott Gould, 
Tom Skerritt, 
Sally Kellerman
"
El Topo,(1970),"
Drama, Western            ",125 min,7.5,,"23,738",,Alejandro Jodorowsky,":
Alejandro Jodorowsky, 
Brontis Jodorowsky, 
José Legarreta, 
Alfonso Arau
"
Multiple Maniacs,(1970),"
Comedy, Crime, Horror            ",91 min,6.8,$0.03M,"2,617",,John Waters,":
Divine, 
David Lochary, 
Mary Vivian Pearce, 
Mink Stole
"
Ardil 22,(1970),"
Comedy, Drama, War            ",122 min,7.2,$24.91M,"20,933",70        ,Mike Nichols,":
Alan Arkin, 
Martin Balsam, 
Richard Benjamin, 
Art Garfunkel
"
Love Story: Uma História de Amor,(1970),"
Drama, Romance            ",100 min,6.9,$106.40M,"28,127",84        ,Arthur Hiller,":
Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland
"
Os Guerreiros Pilantras,(1970),"
Adventure, Comedy, War            ",144 min,7.6,$1.38M,"42,819",50        ,Brian G. Hutton,":
Clint Eastwood, 
Telly Savalas, 
Don Rickles, 
Carroll O'Connor
"
O Pequeno Grande Homem,(1970),"
Adventure, Comedy, Drama            ",139 min,7.6,$31.56M,"31,306",63        ,Arthur Penn,":
Dustin Hoffman, 
Faye Dunaway, 
Chief Dan George, 
Martin Balsam
"
"Patton, Rebelde ou Herói?",(1970),"
Biography, Drama, War            ",172 min,7.9,$61.70M,"90,159",91        ,Franklin J. Schaffner,":
George C. Scott, 
Karl Malden, 
Stephen Young, 
Michael Strong
"
Um Homem Chamado Cavalo,(1970),"
Adventure, Drama, Western            ",114 min,6.9,$1.94M,"7,744",46        ,Elliot Silverstein,":
Richard Harris, 
Judith Anderson, 
Jean Gascon, 
Manu Tupou
"
Valerie e a Semana das Maravilhas,(1970),"
Adventure, Drama, Fantasy            ",77 min,7.2,,"7,245",,Jaromil Jires,":
Jaroslava Schallerová, 
Helena Anýzová, 
Petr Kopriva, 
Jirí Prýmek
"
Cada um Vive como Quer,(1970),"
Drama            ",98 min,7.5,,"31,205",85        ,Bob Rafelson,":
Jack Nicholson, 
Karen Black, 
Billy Green Bush, 
Fannie Flagg
"
Rio Lobo,(1970),"
Adventure, Romance, War            ",114 min,6.8,$9.27M,"9,812",55        ,Howard Hawks,":
John Wayne, 
Jorge Rivero, 
Jennifer O'Neill, 
Jack Elam
"
De Volta ao Vale das Bonecas,(1970),"
Comedy, Drama, Music            ",109 min,6.2,$9.00M,"9,441",60        ,Russ Meyer,":
Dolly Read, 
Cynthia Myers, 
Marcia McBroom, 
John Lazar
"
Aeroporto,(1970),"
Action, Drama, Thriller            ",137 min,6.6,$100.49M,"16,440",42        ,George Seaton,":
Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg
"
Trinity é o Meu Nome,(1970),"
Comedy, Western            ",113 min,7.5,,"18,089",,Enzo Barboni,":
Terence Hill, 
Bud Spencer, 
Steffen Zacharias, 
Dan Sturkie
"
Tora! Tora! Tora!,(1970),"
Action, Drama, History            ",144 min,7.5,$29.55M,"30,228",46        ,Richard Fleischer,":
Martin Balsam, 
Sô Yamamura, 
Jason Robards, 
Joseph Cotten
"
Quando o Coração Bate Mais Forte,(1970),"
Family, Drama            ",109 min,7.3,,"3,737",,Lionel Jeffries,":
Dinah Sheridan, 
Bernard Cribbins, 
William Mervyn, 
Iain Cuthbertson
"
