Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Django Livre,(2012),"
Drama, Western            ",165 min,8.4,$162.81M,"1,264,559",81        ,Quentin Tarantino,":
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
"
Batman: O Cavaleiro das Trevas Ressurge,(2012),"
Action, Adventure, Fantasy            ",164 min,8.4,$448.14M,"1,435,563",78        ,Christopher Nolan,":
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman
"
007 - Operação Skyfall,(2012),"
Action, Adventure, Thriller            ",143 min,7.7,$304.36M,"605,770",81        ,Sam Mendes,":
Daniel Craig, 
Javier Bardem, 
Naomie Harris, 
Judi Dench
"
Jogos Vorazes,(2012),"
Action, Adventure, Sci-Fi            ",142 min,7.2,$408.01M,"811,076",68        ,Gary Ross,":
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci
"
O Mestre,(2012),"
Drama            ",138 min,7.2,$16.38M,"140,315",86        ,Paul Thomas Anderson,":
Philip Seymour Hoffman, 
Joaquin Phoenix, 
Amy Adams, 
Jesse Plemons
"
Os Miseráveis,(2012),"
Drama, History, Musical            ",158 min,7.6,$148.81M,"294,098",63        ,Tom Hooper,":
Hugh Jackman, 
Russell Crowe, 
Anne Hathaway, 
Amanda Seyfried
"
The Avengers: Os Vingadores,(2012),"
Action, Adventure, Sci-Fi            ",143 min,8.0,$623.28M,"1,215,444",69        ,Joss Whedon,":
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
"
O Hobbit: Uma Jornada Inesperada,(2012),"
Adventure, Family, Fantasy            ",169 min,7.8,$303.00M,"732,812",58        ,Peter Jackson,":
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
"
Prometheus,(I) (2012),"
Adventure, Mystery, Sci-Fi            ",124 min,7.0,$126.48M,"549,718",64        ,Ridley Scott,":
Noomi Rapace, 
Logan Marshall-Green, 
Michael Fassbender, 
Charlize Theron
"
Frances Ha,(2012),"
Comedy, Drama, Romance            ",86 min,7.4,$4.06M,"64,928",82        ,Noah Baumbach,":
Greta Gerwig, 
Mickey Sumner, 
Adam Driver, 
Michael Zegen
"
O Lado Bom da Vida,(2012),"
Comedy, Drama, Romance            ",122 min,7.7,$132.09M,"634,975",81        ,David O. Russell,":
Bradley Cooper, 
Jennifer Lawrence, 
Robert De Niro, 
Jacki Weaver
"
Os Infratores,(2012),"
Crime, Drama            ",116 min,7.3,$37.40M,"219,057",58        ,John Hillcoat,":
Tom Hardy, 
Shia LaBeouf, 
Guy Pearce, 
Jason Clarke
"
As Vantagens de Ser Invisível,(2012),"
Drama, Romance            ",103 min,8.0,$17.74M,"433,770",67        ,Stephen Chbosky,":
Logan Lerman, 
Emma Watson, 
Ezra Miller, 
Paul Rudd
"
O Impossível,(2012),"
Drama, History, Thriller            ",114 min,7.6,$19.02M,"185,270",73        ,J.A. Bayona,":
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
"
Argo,(2012),"
Biography, Drama, Thriller            ",120 min,7.7,$136.03M,"548,649",86        ,Ben Affleck,":
Ben Affleck, 
Bryan Cranston, 
John Goodman, 
Alan Arkin
"
