Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Matador de Aluguel,(1989),"
Action, Thriller            ",114 min,6.6,$30.05M,"58,187",36        ,Rowdy Herrington,":
Patrick Swayze, 
Kelly Lynch, 
Sam Elliott, 
Ben Gazzara
"
Batman,(1989),"
Action, Adventure            ",126 min,7.5,$251.19M,"323,162",69        ,Tim Burton,":
Michael Keaton, 
Jack Nicholson, 
Kim Basinger, 
Robert Wuhl
"
Os Caça-Fantasmas 2,(1989),"
Action, Comedy, Fantasy            ",108 min,6.6,$112.49M,"173,984",56        ,Ivan Reitman,":
Bill Murray, 
Dan Aykroyd, 
Sigourney Weaver, 
Harold Ramis
"
Indiana Jones e a Última Cruzada,(1989),"
Action, Adventure            ",127 min,8.2,$197.17M,"655,496",65        ,Steven Spielberg,":
Harrison Ford, 
Sean Connery, 
Alison Doody, 
Denholm Elliott
"
Leviathan,(1989),"
Adventure, Horror, Mystery            ",98 min,5.8,$15.70M,"17,190",51        ,George P. Cosmatos,":
Peter Weller, 
Richard Crenna, 
Amanda Pays, 
Daniel Stern
"
A Pequena Sereia,(1989),"
Animation, Family, Fantasy            ",83 min,7.6,$111.54M,"223,099",88        ,Ron Clements,":
Jodi Benson, 
Samuel E. Wright, 
Rene Auberjonois, 
Christopher Daniel Barnes
"
Atração Mortal,(1989),"
Comedy, Crime            ",103 min,7.2,$1.11M,"82,098",72        ,Michael Lehmann,":
Winona Ryder, 
Christian Slater, 
Shannen Doherty, 
Lisanne Falk
"
O Tiro que não Saiu pela Culatra,(1989),"
Comedy, Drama            ",124 min,7.0,$100.05M,"42,402",82        ,Ron Howard,":
Steve Martin, 
Mary Steenburgen, 
Dianne Wiest, 
Jason Robards
"
Sociedade dos Poetas Mortos,(1989),"
Comedy, Drama            ",128 min,8.1,$95.86M,"389,409",79        ,Peter Weir,":
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
"
"Querida, Encolhi as Crianças",(1989),"
Adventure, Comedy, Family            ",93 min,6.3,$130.72M,"134,511",63        ,Joe Johnston,":
Rick Moranis, 
Matt Frewer, 
Marcia Strassman, 
Kristine Sutherland
"
De Volta para o Futuro II,(1989),"
Adventure, Comedy, Sci-Fi            ",108 min,7.8,$118.50M,"445,961",57        ,Robert Zemeckis,":
Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Thomas F. Wilson
"
Máquina Mortífera 2,(1989),"
Action, Crime, Thriller            ",114 min,7.2,$147.25M,"153,727",70        ,Richard Donner,":
Mel Gibson, 
Danny Glover, 
Joe Pesci, 
Patsy Kensit
"
O Segredo do Abismo,(1989),"
Adventure, Drama, Mystery            ",171 min,7.6,$54.46M,"155,447",62        ,James Cameron,":
Ed Harris, 
Mary Elizabeth Mastrantonio, 
Michael Biehn, 
Leo Burmester
"
A Sociedade dos Amigos do Diabo,(1989),"
Comedy, Horror            ",99 min,6.5,,"12,502",,Brian Yuzna,":
Billy Warlock, 
Concetta D'Agnese, 
Ben Slack, 
Evan Richards
"
Férias Frustradas de Natal,(1989),"
Comedy            ",97 min,7.6,$71.32M,"145,970",49        ,Jeremiah S. Chechik,":
Chevy Chase, 
Beverly D'Angelo, 
Juliette Lewis, 
Johnny Galecki
"
Cemitério Maldito,(1989),"
Horror, Thriller            ",103 min,6.6,$57.47M,"89,062",38        ,Mary Lambert,":
Dale Midkiff, 
Denise Crosby, 
Fred Gwynne, 
Brad Greenquist
"
Harry e Sally: Feitos um para o Outro,(1989),"
Comedy, Drama, Romance            ",95 min,7.6,$92.82M,"183,390",76        ,Rob Reiner,":
Billy Crystal, 
Meg Ryan, 
Carrie Fisher, 
Bruno Kirby
"
Garra de Campeões,(1989),"
Comedy, Sport            ",107 min,7.2,$49.80M,"58,665",62        ,David S. Ward,":
Tom Berenger, 
Charlie Sheen, 
Corbin Bernsen, 
Margaret Whitton
"
Faça a Coisa Certa,(1989),"
Comedy, Drama            ",120 min,7.9,$27.55M,"78,654",92        ,Spike Lee,":
Danny Aiello, 
Ossie Davis, 
Ruby Dee, 
Richard Edson
"
Quem Vê Cara Não Vê Coração,(1989),"
Comedy            ",100 min,7.0,$66.76M,"79,694",51        ,John Hughes,":
John Candy, 
Macaulay Culkin, 
Jean Louisa Kelly, 
Gaby Hoffmann
"
Flores de Aço,(1989),"
Comedy, Drama, Romance            ",117 min,7.3,$83.76M,"43,708",56        ,Herbert Ross,":
Shirley MacLaine, 
Olympia Dukakis, 
Sally Field, 
Julia Roberts
"
Bill & Ted: Uma Aventura Fantástica,(1989),"
Adventure, Comedy, Music            ",90 min,6.9,$40.49M,"104,002",44        ,Stephen Herek,":
Keanu Reeves, 
Alex Winter, 
George Carlin, 
Terry Camilleri
"
Meu Pé Esquerdo,(1989),"
Biography, Drama            ",103 min,7.9,$14.74M,"63,249",97        ,Jim Sheridan,":
Daniel Day-Lewis, 
Brenda Fricker, 
Alison Whelan, 
Kirsten Sheridan
"
Nascido em 4 de Julho,(1989),"
Biography, Drama, War            ",145 min,7.2,$70.00M,"92,576",75        ,Oliver Stone,":
Tom Cruise, 
Bryan Larkin, 
Raymond J. Barry, 
Caroline Kava
"
Digam o que Quiserem,(1989),"
Comedy, Drama, Romance            ",100 min,7.3,$20.78M,"78,479",85        ,Cameron Crowe,":
John Cusack, 
Ione Skye, 
John Mahoney, 
Lili Taylor
"
Campo dos Sonhos,(1989),"
Drama, Family, Fantasy            ",107 min,7.5,$64.43M,"102,736",57        ,Phil Alden Robinson,":
Kevin Costner, 
James Earl Jones, 
Ray Liotta, 
Amy Madigan
"
007 - Permissão para Matar,(1989),"
Action, Adventure, Thriller            ",133 min,6.6,$34.67M,"88,777",58        ,John Glen,":
Timothy Dalton, 
Robert Davi, 
Carey Lowell, 
Talisa Soto
"
Tempo de Glória,(1989),"
Biography, Drama, History            ",122 min,7.8,$26.83M,"115,477",78        ,Edward Zwick,":
Matthew Broderick, 
Denzel Washington, 
Cary Elwes, 
Morgan Freeman
"
"Sexo, Mentiras e Videotape",(1989),"
Drama            ",100 min,7.2,$24.74M,"46,279",86        ,Steven Soderbergh,":
James Spader, 
Andie MacDowell, 
Peter Gallagher, 
Laura San Giacomo
"
"Cegos, Surdos e Loucos",(1989),"
Comedy, Crime            ",103 min,6.9,$46.91M,"45,556",44        ,Arthur Hiller,":
Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey
"
Tango e Cash: Os Vingadores,(1989),"
Action, Comedy, Crime            ",104 min,6.4,$63.41M,"91,494",41        ,Andrey Konchalovskiy,":
Sylvester Stallone, 
Kurt Russell, 
Teri Hatcher, 
Jack Palance
"
Meus Vizinhos são um Terror,(1989),"
Comedy, Mystery, Thriller            ",102 min,6.9,$36.60M,"64,144",45        ,Joe Dante,":
Tom Hanks, 
Bruce Dern, 
Carrie Fisher, 
Corey Feldman
"
