Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Sarfarosh,(1999),"
Action, Drama            ",174 min,8.1,,"22,935",,John Mathew Matthan,":
Aamir Khan, 
Naseeruddin Shah, 
Sonali Bendre, 
Mukesh Rishi
"
Preto e Branco,(I) (1999),"
Crime, Drama, Music            ",98 min,4.9,$5.24M,"5,424",47        ,James Toback,":
Ben Stiller, 
Allan Houston, 
Claudia Schiffer, 
Scott Caan
"
Wing Commander: A Batalha Final,(1999),"
Action, Adventure, Sci-Fi            ",100 min,4.3,$11.58M,"15,826",21        ,Chris Roberts,":
Freddie Prinze Jr., 
Matthew Lillard, 
Saffron Burrows, 
Tchéky Karyo
"
Her Married Lover,(1999),"
Crime, Romance, Thriller            ",85 min,5.1,,319,,Roxanne Messina Captor,":
Roxana Zal, 
Perry King, 
Daniel Benzali, 
Terrence 'T.C.' Carson
"
Bakha satang,(1999),"
Drama            ",129 min,7.7,,"7,012",,Chang-dong Lee,":
Kyung-gu Sol, 
Yeo-jin Kim, 
So-Ri Moon, 
Se-beom Park
"
Na China Comem Cães,(1999),"
Action, Comedy, Crime            ",91 min,7.4,,"18,952",,Lasse Spang Olsen,":
Kim Bodnia, 
Dejan Cukic, 
Nikolaj Lie Kaas, 
Tomas Villum Jensen
"
Vivid,(1999),"
Drama            ",84 min,4.2,,461,,Evan Georgiades,":
Stephen Shellen, 
Kari Wuhrer, 
Ilene Kristen
"
Perdidos em Nova York,(1999),"
Comedy            ",90 min,5.5,$28.54M,"12,396",33        ,Sam Weisman,":
Steve Martin, 
Goldie Hawn, 
John Cleese, 
Mark McKinney
"
Terror Firmer,(1999),"
Comedy, Horror            ",124 min,6.2,$0.00M,"4,683",24        ,Lloyd Kaufman,":
Will Keenan, 
Alyce LaTourelle, 
Lloyd Kaufman, 
Trent Haaga
"
Jin-Rô,(1999),"
Animation, Drama, Fantasy            ",102 min,7.4,$0.09M,"14,246",59        ,Hiroyuki Okiura,":
Michael Dobson, 
Yoshikazu Fujiki, 
Sumi Mutoh, 
Moneca Stori
"
Os Saqueadores,(1999),"
Action, Adventure, Crime            ",99 min,6.4,$0.47M,"9,377",44        ,Jake Scott,":
Robert Carlyle, 
Jonny Lee Miller, 
Iain Robertson, 
Ken Stott
"
"Parece, Mas não É",(1999),"
Comedy            ",94 min,5.9,$2.80M,"4,719",23        ,Jeff Franklin,":
French Stewart, 
Bridgette Wilson-Sampras, 
Bill Bellamy, 
Tyra Banks
"
Nu huan,(1999),,80 min,5.7,,55,,Yen-Ping Chu,":
Yea-Ling Chang, 
Ming-Wei Kao, 
Miho Nomoto, 
Kuang-Chien Chen
"
A Fortuna de Cookie,(1999),"
Comedy, Drama            ",118 min,6.8,$10.92M,"12,143",70        ,Robert Altman,":
Glenn Close, 
Julianne Moore, 
Liv Tyler, 
Chris O'Donnell
"
