Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
O Silêncio dos Inocentes,(1991),"
Crime, Drama, Thriller            ",118 min,8.6,$130.74M,"1,184,423",85        ,Jonathan Demme,":
Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons
"
O Exterminador do Futuro 2: O Julgamento Final,(1991),"
Action, Sci-Fi            ",137 min,8.5,$204.84M,"945,120",75        ,James Cameron,":
Arnold Schwarzenegger, 
Linda Hamilton, 
Edward Furlong, 
Robert Patrick
"
"Hook, a Volta do Capitão Gancho",(1991),"
Adventure, Comedy, Family            ",142 min,6.8,$119.65M,"221,391",52        ,Steven Spielberg,":
Dustin Hoffman, 
Robin Williams, 
Julia Roberts, 
Bob Hoskins
"
Meu Primeiro Amor,(1991),"
Comedy, Drama, Family            ",102 min,6.9,$59.85M,"68,063",56        ,Howard Zieff,":
Anna Chlumsky, 
Macaulay Culkin, 
Dan Aykroyd, 
Jamie Lee Curtis
"
A Família Addams,(1991),"
Comedy, Fantasy            ",99 min,6.9,$113.50M,"122,836",57        ,Barry Sonnenfeld,":
Anjelica Huston, 
Raul Julia, 
Christopher Lloyd, 
Dan Hedaya
"
Caçadores de Emoção,(1991),"
Action, Crime, Thriller            ",122 min,7.3,$43.22M,"145,952",58        ,Kathryn Bigelow,":
Patrick Swayze, 
Keanu Reeves, 
Gary Busey, 
Lori Petty
"
Cabo do Medo,(1991),"
Crime, Thriller            ",128 min,7.3,$79.10M,"160,504",73        ,Martin Scorsese,":
Robert De Niro, 
Nick Nolte, 
Jessica Lange, 
Juliette Lewis
"
As Tartarugas Ninja II: O Segredo do Ooze,(1991),"
Action, Adventure, Comedy            ",88 min,6.0,$78.66M,"49,108",45        ,Michael Pressman,":
Paige Turco, 
David Warner, 
Michelan Sisti, 
Leif Tilden
"
A Bela e a Fera,(1991),"
Animation, Family, Fantasy            ",84 min,8.0,$218.97M,"401,334",95        ,Gary Trousdale,":
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
"
Rocketeer,(1991),"
Action, Adventure, Family            ",108 min,6.5,$46.70M,"50,071",61        ,Joe Johnston,":
Billy Campbell, 
Jennifer Connelly, 
Alan Arkin, 
Timothy Dalton
"
Os Donos da Rua,(1991),"
Crime, Drama            ",112 min,7.7,$57.50M,"116,465",76        ,John Singleton,":
Cuba Gooding Jr., 
Laurence Fishburne, 
Hudhail Al-Amir, 
Lloyd Avery II
"
Yuk po tuen: Tau ching bo gam,(1991),"
Comedy, Drama, Fantasy            ",99 min,5.6,$0.40M,"1,936",58        ,Michael Mak,":
Lawrence Ng, 
Amy Yip, 
Kent Cheng, 
Elvis Tsui
"
"Robin Hood, o Príncipe dos Ladrões",(1991),"
Action, Adventure, Drama            ",143 min,6.9,$165.50M,"170,562",51        ,Kevin Reynolds,":
Kevin Costner, 
Morgan Freeman, 
Mary Elizabeth Mastrantonio, 
Christian Slater
"
Thelma & Louise,(1991),"
Adventure, Crime, Drama            ",130 min,7.5,$45.36M,"126,773",88        ,Ridley Scott,":
Susan Sarandon, 
Geena Davis, 
Harvey Keitel, 
Michael Madsen
"
O Último Boy Scout,(1991),"
Action, Comedy, Crime            ",105 min,7.0,$59.51M,"88,791",52        ,Tony Scott,":
Bruce Willis, 
Damon Wayans, 
Chelsea Field, 
Noble Willingham
"
Garotos de Programa,(1991),"
Drama            ",104 min,7.1,$6.40M,"46,467",77        ,Gus Van Sant,":
River Phoenix, 
Keanu Reeves, 
James Russo, 
William Richert
"
Top Gang! Ases Muito Loucos,(1991),"
Action, Comedy            ",84 min,6.8,$69.47M,"94,375",61        ,Jim Abrahams,":
Charlie Sheen, 
Cary Elwes, 
Valeria Golino, 
Lloyd Bridges
"
Wicked World,(1991),"
Horror            ",103 min,4.1,,69,,Barry J. Gillis,":
Patti Anne Crossman, 
Maria Delgado, 
Kelly Felhaber, 
Celia Felipe
"
JFK: A Pergunta que Não Quer Calar,(1991),"
Drama, History, Thriller            ",189 min,8.0,$70.41M,"134,328",72        ,Oliver Stone,":
Kevin Costner, 
Gary Oldman, 
Jack Lemmon, 
Walter Matthau
"
As Criaturas Atrás das Paredes,(1991),"
Comedy, Horror, Mystery            ",102 min,6.4,$24.20M,"29,455",57        ,Wes Craven,":
Brandon Quintin Adams, 
Everett McGill, 
Wendy Robie, 
A.J. Langer
"
Nosso Querido Bob,(1991),"
Comedy            ",99 min,7.0,$63.71M,"59,457",60        ,Frank Oz,":
Bill Murray, 
Richard Dreyfuss, 
Julie Hagerty, 
Charlie Korsmo
"
Tomates Verdes Fritos,(1991),"
Drama            ",130 min,7.7,$82.42M,"63,217",64        ,Jon Avnet,":
Kathy Bates, 
Jessica Tandy, 
Mary Stuart Masterson, 
Mary-Louise Parker
"
The Doors,(1991),"
Biography, Drama, Music            ",140 min,7.2,$35.18M,"79,952",62        ,Oliver Stone,":
Val Kilmer, 
Meg Ryan, 
Kyle MacLachlan, 
Frank Whaley
"
Construindo uma Carreira,(1991),"
Comedy, Romance            ",83 min,5.9,$11.34M,"9,450",41        ,Bryan Gordon,":
Frank Whaley, 
Jennifer Connelly, 
Dermot Mulroney, 
Kieran Mulroney
"
Corra que a Polícia vem Aí! 2 1/2,(1991),"
Comedy, Crime            ",85 min,6.9,$86.93M,"99,474",65        ,David Zucker,":
Leslie Nielsen, 
Priscilla Presley, 
George Kennedy, 
O.J. Simpson
"
Dormindo com o Inimigo,(1991),"
Drama, Thriller            ",99 min,6.3,$101.60M,"47,015",48        ,Joseph Ruben,":
Julia Roberts, 
Patrick Bergin, 
Kevin Anderson, 
Elizabeth Lawrence
"
"Amigos, Sempre Amigos",(1991),"
Comedy            ",113 min,6.7,$124.03M,"45,600",70        ,Ron Underwood,":
Billy Crystal, 
Jack Palance, 
Daniel Stern, 
Bruno Kirby
"
New Jack City: A Gangue Brutal,(1991),"
Action, Crime, Drama            ",97 min,6.7,$47.62M,"29,674",61        ,Mario Van Peebles,":
Wesley Snipes, 
Ice-T, 
Allen Payne, 
Chris Rock
"
O Pai da Noiva,(1991),"
Comedy, Family, Romance            ",105 min,6.5,$89.33M,"65,035",51        ,Charles Shyer,":
Steve Martin, 
Diane Keaton, 
Martin Short, 
Kimberly Williams-Paisley
"
De Volta à Lagoa Azul,(1991),"
Adventure, Drama, Romance            ",102 min,5.2,$2.81M,"17,246",,William A. Graham,":
Brian Krause, 
Milla Jovovich, 
Lisa Pelikan, 
Courtney Barilla
"
Viva! A Babá Morreu,(1991),"
Comedy            ",102 min,6.2,$25.20M,"26,145",35        ,Stephen Herek,":
Christina Applegate, 
Joanna Cassidy, 
John Getz, 
Josh Charles
"
Jornada nas Estrelas VI: A Terra Desconhecida,(1991),"
Action, Adventure, Sci-Fi            ",110 min,7.2,$74.89M,"66,832",65        ,Nicholas Meyer,":
William Shatner, 
Leonard Nimoy, 
DeForest Kelley, 
James Doohan
"
Cortina de Fogo,(1991),"
Crime, Drama, Mystery            ",137 min,6.7,$77.87M,"68,049",38        ,Ron Howard,":
Kurt Russell, 
William Baldwin, 
Robert De Niro, 
Donald Sutherland
"
"Barton Fink, Delírios de Hollywood",(1991),"
Comedy, Drama, Thriller            ",116 min,7.7,$6.15M,"107,218",69        ,Joel Coen,":
John Turturro, 
John Goodman, 
Judy Davis, 
Michael Lerner
"
O Pescador de Ilusões,(1991),"
Comedy, Drama, Fantasy            ",137 min,7.5,$41.90M,"75,353",61        ,Terry Gilliam,":
Jeff Bridges, 
Robin Williams, 
Adam Bryant, 
Paul Lombardi
"
Delicatessen,(1991),"
Comedy, Crime            ",99 min,7.6,$1.79M,"76,846",66        ,Marc Caro,":
Marie-Laure Dougnac, 
Dominique Pinon, 
Pascal Benezech, 
Jean-Claude Dreyfus
"
Nada Além de Problemas,(1991),"
Comedy            ",94 min,5.1,$8.48M,"21,511",,Dan Aykroyd,":
Chevy Chase, 
Dan Aykroyd, 
John Candy, 
Demi Moore
"
Um Sonho Chamado Fred,(1991),"
Comedy, Drama, Fantasy            ",103 min,5.9,$43.88M,"25,681",25        ,Ate de Jong,":
Phoebe Cates, 
Rik Mayall, 
Marsha Mason, 
Tim Matheson
"
Mistérios E Paixões,(1991),"
Drama            ",115 min,7.1,$2.54M,"44,240",67        ,David Cronenberg,":
Peter Weller, 
Judy Davis, 
Ian Holm, 
Julian Sands
"
No Mundo da Lua,(1991),"
Drama, Romance            ",99 min,7.4,$2.85M,"14,641",,Robert Mulligan,":
Sam Waterston, 
Tess Harper, 
Gail Strickland, 
Reese Witherspoon
"
A Bela Intrigante,(1991),"
Drama            ",238 min,7.6,$0.41M,"6,244",,Jacques Rivette,":
Michel Piccoli, 
Jane Birkin, 
Emmanuelle Béart, 
Marianne Denicourt
"
Bill & Ted: Dois Loucos no Tempo,(1991),"
Adventure, Comedy, Fantasy            ",93 min,6.3,$38.04M,"59,853",60        ,Peter Hewitt,":
Keanu Reeves, 
Alex Winter, 
William Sadler, 
Joss Ackland
"
Caninos Brancos,(I) (1991),"
Adventure, Drama            ",107 min,6.7,$34.79M,"18,604",62        ,Randal Kleiser,":
Ethan Hawke, 
Klaus Maria Brandauer, 
Jed, 
Seymour Cassel
"
Bugsy,(1991),"
Biography, Crime, Drama            ",136 min,6.8,$49.11M,"24,561",80        ,Barry Levinson,":
Warren Beatty, 
Annette Bening, 
Harvey Keitel, 
Ben Kingsley
"
The Commitments: Loucos pela Fama,(1991),"
Comedy, Drama, Music            ",118 min,7.6,$14.92M,"30,607",73        ,Alan Parker,":
Robert Arkins, 
Michael Aherne, 
Angeline Ball, 
Maria Doyle Kennedy
"
A Fúria do Justiceiro,(1991),"
Action, Crime, Drama            ",92 min,6.0,$9.29M,"6,528",,Craig R. Baxley,":
Brian Bosworth, 
Lance Henriksen, 
William Forsythe, 
Arabella Holzbog
"
A Dupla Vida de Véronique,(1991),"
Drama, Fantasy, Music            ",98 min,7.8,$2.00M,"38,188",86        ,Krzysztof Kieslowski,":
Irène Jacob, 
Wladyslaw Kowalski, 
Halina Gryglaszewska, 
Kalina Jedrusik
"
"Hudson Hawk, o Falcão Está à Solta",(1991),"
Action, Adventure, Comedy            ",100 min,5.8,$17.22M,"49,758",17        ,Michael Lehmann,":
Bruce Willis, 
Danny Aiello, 
Andie MacDowell, 
James Coburn
"
As Noites de Rose,(1991),"
Drama            ",112 min,6.6,$6.27M,"4,448",,Martha Coolidge,":
Laura Dern, 
Robert Duvall, 
Diane Ladd, 
Lukas Haas
"
Samurai Cop,(1991),"
Action, Crime, Thriller            ",96 min,4.6,,"6,174",,Amir Shervan,":
Robert Z'Dar, 
Mathew Karedas, 
Janis Farley, 
Mark Frazer
"
Duplo Impacto,(1991),"
Action, Crime            ",110 min,5.6,$30.10M,"36,055",,Sheldon Lettich,":
Jean-Claude Van Damme, 
Geoffrey Lewis, 
Alonna Shaw, 
Corinna Everson
"
Highlander 2: A Ressurreição,(1991),"
Action, Adventure, Fantasy            ",91 min,4.3,$15.56M,"42,067",31        ,Russell Mulcahy,":
Christopher Lambert, 
Sean Connery, 
Virginia Madsen, 
Michael Ironside
"
Voltar a Morrer,(1991),"
Crime, Drama, Mystery            ",107 min,6.9,$38.02M,"24,928",66        ,Kenneth Branagh,":
Kenneth Branagh, 
Emma Thompson, 
Andy Garcia, 
Lois Hall
"
Até o Fim do Mundo,(1991),"
Action, Drama, Sci-Fi            ",158 min,6.7,$0.75M,"8,289",63        ,Wim Wenders,":
William Hurt, 
Solveig Dommartin, 
Pietro Falcone, 
Enzo Turrin
"
