Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Um Drink no Inferno,(1996),"
Action, Crime, Horror            ",108 min,7.2,$25.75M,"272,042",48        
Independence Day,(1996),"
Action, Adventure, Sci-Fi            ",145 min,7.0,$306.17M,"507,291",59        
Fargo: Uma Comédia de Erros,(1996),"
Crime, Drama, Thriller            ",98 min,8.1,$24.61M,"579,973",85        
Trainspotting: Sem Limites,(1996),"
Drama            ",93 min,8.1,$16.50M,"606,125",83        
Romeu + Julieta,(1996),"
Drama, Romance            ",120 min,6.7,$46.35M,"200,663",60        
Sleepers: A Vingança Adormecida,(1996),"
Crime, Drama, Thriller            ",147 min,7.6,$49.10M,"179,229",49        
Matilda,(1996),"
Comedy, Family, Fantasy            ",98 min,6.9,$33.08M,"117,308",72        
Kingpin: Estes Loucos Reis do Boliche,(1996),"
Comedy, Sport            ",114 min,6.9,$24.94M,"73,588",43        
Jovens Bruxas,(1996),"
Drama, Fantasy, Horror            ",101 min,6.3,$24.88M,"71,103",55        
Um Maluco no Golfe,(1996),"
Comedy, Sport            ",92 min,7.0,$38.62M,"185,869",31        
The Wonders: O Sonho Não Acabou,(1996),"
Comedy, Drama, Music            ",108 min,6.9,$25.81M,"58,839",71        
Pânico,(1996),"
Horror, Mystery            ",111 min,7.2,$103.05M,"270,495",65        
Jerry Maguire - A Grande Virada,(1996),"
Comedy, Drama, Romance            ",139 min,7.3,$153.95M,"228,680",77        
Missão: Impossível,(1996),"
Action, Adventure, Thriller            ",110 min,7.1,$180.98M,"368,682",59        
A Rocha,(1996),"
Action, Adventure, Thriller            ",136 min,7.4,$134.07M,"299,846",58        
Twister,(I) (1996),"
Action, Adventure, Thriller            ",113 min,6.4,$241.72M,"166,094",68        
As Duas Faces de um Crime,(1996),"
Crime, Drama, Mystery            ",129 min,7.7,$56.12M,"170,755",47        
O Paciente Inglês,(1996),"
Drama, Romance, War            ",162 min,7.4,$78.65M,"170,053",87        
O Corcunda de Notre Dame,(1996),"
Animation, Drama, Family            ",91 min,6.9,$100.14M,"132,778",74        
Marte Ataca!,(1996),"
Comedy, Sci-Fi            ",106 min,6.3,$37.77M,"201,511",52        
Tempo de Matar,(1996),"
Crime, Drama, Thriller            ",149 min,7.5,$108.77M,"123,128",54        
A Ilha do Dr. Moreau,(1996),"
Horror, Sci-Fi, Thriller            ",96 min,4.5,$27.66M,"29,748",
Na Corda Bamba,(1996),"
Drama            ",135 min,8.0,$24.48M,"83,727",84        
Nós Somos os Campeões 3,(1996),"
Action, Comedy, Drama            ",104 min,5.4,$22.94M,"23,275",
Space Jam: O Jogo do Século,(1996),"
Animation, Adventure, Comedy            ",88 min,6.4,$90.46M,"147,795",59        
Coração de Dragão,(1996),"
Action, Adventure, Fantasy            ",103 min,6.5,$51.37M,"88,055",
Crash: Estranhos Prazeres,(1996),"
Drama            ",100 min,6.4,$2.04M,"48,953",47        
O Professor Aloprado,(1996),"
Comedy, Romance, Sci-Fi            ",95 min,5.6,$128.81M,"104,777",62        
A Gaiola das Loucas,(1996),"
Comedy            ",117 min,7.1,$124.06M,"75,217",72        
O Clube das Desquitadas,(1996),"
Comedy            ",103 min,6.4,$105.49M,"40,160",58        
101 Dálmatas,(1996),"
Adventure, Comedy, Crime            ",103 min,5.7,$136.19M,"95,858",49        
Fuga de Los Angeles,(1996),"
Action, Adventure, Sci-Fi            ",101 min,5.7,$25.48M,"66,098",54        
Striptease,(1996),"
Comedy, Crime, Drama            ",115 min,4.5,$33.11M,"41,016",37        
Medo,(1996),"
Drama, Thriller            ",97 min,6.2,$20.75M,"38,168",51        
Jornada nas Estrelas: Primeiro Contato,(1996),"
Action, Adventure, Drama            ",111 min,7.6,$92.00M,"112,965",71        
Emma,(1996),"
Comedy, Drama, Romance            ",120 min,6.6,$22.20M,"33,828",66        
James e o Pêssego Gigante,(1996),"
Animation, Adventure, Family            ",79 min,6.7,$28.93M,"57,428",78        
Lone Star - A Estrela Solitária,(1996),"
Drama, Mystery            ",135 min,7.4,$13.27M,"26,790",78        
À Prova de Balas,(1996),"
Action, Comedy, Crime            ",84 min,5.8,$21.16M,"33,768",30        
Olho por Olho,(1996),"
Crime, Drama, Thriller            ",101 min,6.2,$26.79M,"12,581",
Contrato de Risco,(1996),"
Comedy, Crime, Thriller            ",104 min,6.5,$11.11M,"17,755",
Ondas do Destino,(1996),"
Drama            ",159 min,7.9,$4.04M,"59,005",76        
Swingers: Curtindo a Noite,(1996),"
Comedy, Drama            ",96 min,7.2,$4.51M,"72,418",71        
Jack,(1996),"
Comedy, Drama, Fantasy            ",113 min,5.8,$58.62M,"53,863",31        
Barb Wire - A Justiceira,(1996),"
Action, Sci-Fi            ",98 min,3.3,$3.79M,"24,017",40        
Beleza Roubada,(1996),"
Drama, Mystery, Romance            ",118 min,6.6,$4.57M,"24,530",60        
Despertar de um Pesadelo,(1996),"
Action, Crime, Drama            ",121 min,6.8,$33.33M,"69,668",44        
Fenômeno,(1996),"
Drama, Fantasy, Romance            ",123 min,6.4,$104.64M,"72,238",41        
Vizinhança do Barulho,(1996),"
Comedy, Crime            ",89 min,6.6,$20.11M,"45,776",
Ligadas pelo Desejo,(1996),"
Crime, Romance, Thriller            ",109 min,7.3,$3.80M,"48,232",61        
Os Espíritos,(1996),"
Comedy, Fantasy, Horror            ",110 min,7.1,$16.76M,"78,655",52        
As Bruxas de Salém,(1996),"
Drama, History            ",124 min,6.8,$7.34M,"33,826",
Brincando de Seduzir,(1996),"
Comedy, Drama, Romance            ",112 min,7.1,$10.60M,"30,301",64        
Queima de Arquivo,(1996),"
Action, Drama, Thriller            ",115 min,6.1,$101.30M,"99,478",56        
Evita,(1996),"
Biography, Drama, History            ",135 min,6.3,$50.05M,"32,759",45        
O Pentelho,(1996),"
Comedy, Drama, Thriller            ",96 min,6.1,$60.24M,"145,085",56        
Hamlet,(1996),"
Drama            ",242 min,7.7,$4.41M,"34,813",
Jogada de Risco,(1996),"
Crime, Drama            ",102 min,7.2,$0.22M,"37,808",78        
