Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Dirty Harry na Lista Negra,(1988),"
Action, Crime, Mystery            ",91 min,6.3,$37.90M,"38,109",46        
"Sexta-Feira 13, Parte 7: A Matança Continua",(1988),"
Horror, Thriller            ",88 min,5.3,$19.17M,"29,868",13        
O Monstro Canibal,(1988),"
Fantasy, Horror            ",77 min,5.1,,"1,690",
O Preço do Desafio,(1988),"
Biography, Drama            ",103 min,7.3,$13.99M,"15,142",77        
Ela Vai Ter um Bebê,(1988),"
Comedy, Drama, Romance            ",106 min,5.9,$16.03M,"10,832",41        
Hellraiser II: Renascido das Trevas,(1988),"
Horror, Thriller            ",97 min,6.5,$11.09M,"38,871",41        
As Novas Aventuras de Pippi Longstocking,(1988),"
Adventure, Family, Fantasy            ",100 min,6.0,$3.57M,"3,796",
A Beira do Machado,(1988),"
Horror, Mystery, Thriller            ",91 min,5.3,,365,
O Silêncio do Lago,(1988),"
Mystery, Thriller            ",107 min,7.7,,"31,057",
O Príncipe das Sombras,(1988),"
Drama, Romance            ",101 min,5.5,,"3,196",
A Vingança do Diabo,(1988),"
Fantasy, Horror            ",86 min,6.2,$4.39M,"18,838",47        
A Hora do Pesadelo 4: O Mestre dos Sonhos,(1988),"
Horror            ",93 min,5.7,$49.37M,"46,971",56        
O Inferno Chega a Frogtown,(1988),"
Action, Comedy, Sci-Fi            ",86 min,5.5,,"4,511",
Fora da Jogada,(1988),"
Drama, History, Sport            ",119 min,7.2,$5.68M,"17,682",71        
Doom Asylum,(1988),"
Comedy, Horror            ",77 min,4.5,,933,
A Noite dos Demônios,(1988),"
Comedy, Fantasy, Horror            ",90 min,6.2,$3.11M,"12,364",
A Hora do Espanto 2,(1988),"
Comedy, Horror, Thriller            ",104 min,5.9,$2.98M,"10,762",
A Passagem,(1988),"
Comedy, Horror            ",95 min,6.2,$0.81M,"10,117",41        
Vou Te Pegar Otário,(1988),"
Action, Comedy, Crime            ",88 min,6.6,$13.03M,"11,709",48        
Halloween 4: O Retorno de Michael Myers,(1988),"
Horror, Thriller            ",88 min,5.9,$17.77M,"41,014",34        
A Maldição da Serpente,(1988),"
Comedy, Horror            ",93 min,5.9,$1.19M,"9,426",61        
Conspiração Tequila,(1988),"
Crime, Drama, Romance            ",115 min,6.1,$41.29M,"27,394",62        
Acampamento Sinistro 2,(1988),"
Comedy, Horror            ",80 min,5.7,,"9,462",
Action Jackson,(1988),"
Action, Comedy, Crime            ",96 min,5.4,$20.26M,"9,513",36        
Uma Noite na Vida de Jimmy Reardon,(1988),"
Comedy, Drama, Romance            ",90 min,5.6,$6.26M,"2,455",
Cuidado com as Gêmeas,(1988),"
Comedy            ",97 min,6.4,$40.15M,"11,263",
Moonwalker,(1988),"
Action, Crime, Fantasy            ",93 min,6.1,,"15,180",
Sem Licença para Dirigir,(1988),"
Comedy            ",88 min,6.3,$22.43M,"17,159",36        
"Campo 731 - Bactérias, A Maldade Humana",(1988),"
Drama, History, Horror            ",105 min,6.1,,"5,491",
Maniac Cop: O Exterminador,(1988),"
Action, Crime, Horror            ",85 min,6.0,$0.67M,"12,862",40        
Mais Forte que o Ódio,(1988),"
Action, Crime, Mystery            ",97 min,6.0,$20.04M,"15,533",31        
Poltergeist III: O Capítulo Final,(1988),"
Horror, Thriller            ",98 min,4.7,$14.11M,"16,017",40        
Nas Montanhas dos Gorilas,(1988),"
Biography, Drama            ",129 min,7.0,$24.72M,"22,770",
Nova York - Uma Cidade em Delírio,(1988),"
Drama            ",107 min,5.7,$16.12M,"6,955",51        
Missão Alien,(1988),"
Action, Sci-Fi            ",91 min,6.3,$25.22M,"13,544",45        
Uma Fazenda do Barulho,(1988),"
Comedy, Drama            ",101 min,6.2,$25.54M,"18,494",50        
Hollywood Chainsaw Hookers,(1988),"
Comedy, Horror            ",75 min,5.3,,"2,673",
Uma Noite Muito Louca,(1988),"
Comedy            ",90 min,6.4,,"2,381",
Cocoon: O Regresso,(1988),"
Adventure, Comedy, Mystery            ",116 min,5.4,$18.92M,"14,688",45        
Um Grito no Escuro,(1988),"
Biography, Drama            ",120 min,6.9,$6.91M,"8,674",
Atraiçoados,(1988),"
Crime, Drama, Thriller            ",127 min,6.3,$25.82M,"5,186",
Um Robô em Curto Circuito 2,(1988),"
Comedy, Drama, Family            ",110 min,5.7,$21.63M,"22,759",
Instinto Fatal,(1988),"
Drama, Horror, Sci-Fi            ",113 min,6.2,$5.34M,"10,007",71        
O Soro do Mal,(1988),"
Comedy, Horror            ",84 min,6.6,,"8,513",
Talk Radio: Verdades que Matam,(1988),"
Drama            ",110 min,7.3,$3.47M,"11,908",66        
Psicose para Matar,(1988),"
Comedy, Horror, Thriller            ",89 min,4.8,,"2,905",
Vida Cigana,(1988),"
Comedy, Crime, Drama            ",142 min,8.3,$0.28M,"23,250",
A Volta dos Mortos Vivos 2,(1988),"
Comedy, Horror, Sci-Fi            ",89 min,5.8,$9.21M,"17,329",45        
O Turista Acidental,(1988),"
Drama, Romance            ",121 min,6.8,$32.63M,"14,135",53        
A Viagem de Alice,(1988),"
Animation, Adventure, Fantasy            ",86 min,7.5,,"10,701",
"Arthur, o Milionário Arruinado",(1988),"
Comedy, Romance            ",113 min,4.6,$14.68M,"5,745",
Uma Dupla Acima da Lei,(1988),"
Crime, Drama, Romance            ",108 min,5.5,$2.43M,871,
Nightmare Sisters,(1988),"
Comedy, Fantasy, Horror            ",83 min,5.1,,954,
A Maldição dos Mortos-Vivos,(1988),"
Fantasy, Horror            ",98 min,6.5,$19.60M,"20,918",64        
Com Fantasmas Não se Brinca,(1988),"
Comedy, Fantasy            ",99 min,5.8,$8.58M,"8,128",
Revolução Estudantil,(1988),"
Comedy, Drama, Musical            ",121 min,6.0,$14.55M,"5,739",49        
Atirando para Matar,(1988),"
Action, Adventure, Crime            ",110 min,6.8,$29.30M,"11,008",
Hobgoblins,(1988),"
Comedy, Horror, Sci-Fi            ",88 min,2.2,,"10,564",
Palco de Ilusões,(1988),"
Comedy, Drama, Romance            ",128 min,5.9,$21.03M,"7,645",52        
Angel III: The Final Chapter,(1988),"
Action, Drama            ",99 min,5.1,,514,
Bird,(1988),"
Biography, Drama, Music            ",161 min,7.2,$2.18M,"10,763",78        
Metido em Encrencas,(1988),"
Comedy, Drama            ",106 min,6.6,$43.18M,"13,677",61        
Ninho do Terror,(1988),"
Horror, Sci-Fi            ",89 min,5.3,,"1,914",
Miracle Mile,(1988),"
Action, Drama, Romance            ",87 min,7.0,$1.15M,"8,617",
Globo de Prata,(1988),"
Adventure, Drama, Fantasy            ",166 min,7.3,,"1,985",72        
