Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Cidade dos Ursos 2,(2012),"
Comedy, Drama, Music            ",110 min,6.3,,495,44        ,Douglas Langway,":
Joe Conti, 
Gerald McCullouch, 
Stephen Lambeth, 
Chuck Southworth
"
Virus X,(2010),"
Horror, Sci-Fi            ",85 min,2.7,,546,,Ryan Stevens Harris,":
Jai Day, 
Domiziano Arcangeli, 
Joe Zaso, 
Dylan Vox
"
Lost Angeles,(2012),"
Comedy, Drama            ",,7.5,,35,,Phedon Papamichael,":
Kelly Blatz, 
Joelle Carter, 
Mark Boone Junior, 
Laura-Leigh
"
Nessuno mi può giudicare,(2011),"
Comedy            ",95 min,6.1,,"2,226",,Massimiliano Bruno,":
Paola Cortellesi, 
Raoul Bova, 
Rocco Papaleo, 
Anna Foglietta
"
A Caminho da Felicidade,(2010),"
Biography, Drama, Music            ",114 min,6.7,,"2,059",52        ,David M. Rosenthal,":
Abigail Breslin, 
Alessandro Nivola, 
Elisabeth Shue, 
Brittany Snow
"
Irlandeses Brancos Bêbados,(2010),"
Drama            ",109 min,6.8,,"1,722",51        ,John Gray,":
Nick Thurston, 
Geoffrey Wigdor, 
Stephen Lang, 
Karen Allen
"
Elsamma Enna Aankutty,(2010),"
Comedy, Drama            ",,6.2,,283,,Lal Jose,":
Ann Augustine, 
Kunchacko Boban, 
Janardanan, 
Thezni Khan
"
In the Name of Love,(II) (2011),"
Drama            ",126 min,5.8,,149,,Olivia M. Lamasan,":
Aga Muhlach, 
Angel Locsin, 
Jake Cuenca, 
Dante Rivero
"
Eyyvah Eyvah 2,(2011),"
Comedy            ",106 min,6.7,,"12,975",,Hakan Algül,":
Demet Akbag, 
Ata Demirer, 
Özge Borak, 
Salih Kalyon
"
Juventude Calada,(2012),"
Drama, Romance            ",73 min,5.7,,823,,Diemo Kemmesies,":
Martin Bruchmann, 
Josef Mattes, 
Mathias Neuber, 
Linda Schüle
"
