Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Os Bad Boys II,(2003),"
Action, Comedy, Crime            ",147 min,6.6,$138.61M,"215,409",38        ,Michael Bay,":
Will Smith, 
Martin Lawrence, 
Gabrielle Union, 
Jordi Mollà
"
O Senhor dos Anéis: O Retorno do Rei,(2003),"
Adventure, Drama, Fantasy            ",201 min,8.9,$377.85M,"1,553,645",94        ,Peter Jackson,":
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
"
Simplesmente Amor,(2003),"
Comedy, Drama, Romance            ",135 min,7.6,$59.70M,"406,904",55        ,Richard Curtis,":
Hugh Grant, 
Martine McCutcheon, 
Liam Neeson, 
Laura Linney
"
Piratas do Caribe: A Maldição do Pérola Negra,(2003),"
Action, Adventure, Fantasy            ",143 min,8.0,$305.41M,"982,559",63        ,Gore Verbinski,":
Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley
"
Kill Bill: Volume 1,(2003),"
Action, Crime, Thriller            ",111 min,8.1,$70.10M,"942,752",69        ,Quentin Tarantino,":
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
"
O Mistério dos Escavadores,(2003),"
Adventure, Comedy, Drama            ",117 min,7.0,$67.41M,"72,595",71        ,Andrew Davis,":
Shia LaBeouf, 
Sigourney Weaver, 
Jon Voight, 
Tim Blake Nelson
"
Encontros e Desencontros,(2003),"
Drama            ",102 min,7.7,$44.59M,"386,901",89        ,Sofia Coppola,":
Bill Murray, 
Scarlett Johansson, 
Giovanni Ribisi, 
Anna Faris
"
Memórias de um Assassino,(2003),"
Action, Crime, Drama            ",131 min,8.1,$0.01M,"111,455",82        ,Bong Joon Ho,":
Kang-ho Song, 
Sang-kyung Kim, 
Roe-ha Kim, 
Jae-ho Song
"
Oldboy,(2003),"
Action, Drama, Mystery            ",120 min,8.4,$0.71M,"478,545",77        ,Chan-wook Park,":
Min-sik Choi, 
Ji-Tae Yoo, 
Hye-jeong Kang, 
Dae-han Ji
"
Peter Pan,(2003),"
Adventure, Family, Fantasy            ",113 min,6.8,$48.46M,"63,317",64        ,P.J. Hogan,":
Jeremy Sumpter, 
Jason Isaacs, 
Olivia Williams, 
Lynn Redgrave
"
The Room,(2003),"
Drama            ",99 min,3.7,$0.56M,"76,413",9        ,Tommy Wiseau,":
Tommy Wiseau, 
Juliette Danielle, 
Greg Sestero, 
Philip Haldiman
"
Monster: Desejo Assassino,(2003),"
Biography, Crime, Drama            ",109 min,7.3,$34.47M,"128,484",74        ,Patty Jenkins,":
Charlize Theron, 
Christina Ricci, 
Bruce Dern, 
Lee Tergesen
"
O Exterminador do Futuro 3: A Rebelião das Máquinas,(2003),"
Action, Sci-Fi            ",109 min,6.3,$150.37M,"362,778",66        ,Jonathan Mostow,":
Arnold Schwarzenegger, 
Nick Stahl, 
Kristanna Loken, 
Claire Danes
"
Os Sonhadores,(2003),"
Drama, Romance            ",115 min,7.2,$2.53M,"104,192",62        ,Bernardo Bertolucci,":
Michael Pitt, 
Louis Garrel, 
Eva Green, 
Anna Chancellor
"
Procurando Nemo,(2003),"
Animation, Adventure, Comedy            ",100 min,8.1,$380.84M,"899,079",90        ,Andrew Stanton,":
Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe
"
Matrix Reloaded,(2003),"
Action, Sci-Fi            ",138 min,7.2,$281.49M,"492,058",62        ,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
"
Peixe Grande e suas Histórias Maravilhosas,(2003),"
Adventure, Drama, Fantasy            ",125 min,8.0,$66.26M,"398,236",58        ,Tim Burton,":
Ewan McGregor, 
Albert Finney, 
Billy Crudup, 
Jessica Lange
"
Matrix Revolutions,(2003),"
Action, Sci-Fi            ",129 min,6.7,$139.31M,"427,249",47        ,Lana Wachowski,":
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving
"
Cold Mountain,(2003),"
Adventure, Drama, History            ",154 min,7.2,$95.64M,"134,797",73        ,Anthony Minghella,":
Jude Law, 
Nicole Kidman, 
Renée Zellweger, 
Eileen Atkins
"
Sobre Meninos e Lobos,(2003),"
Crime, Drama, Mystery            ",138 min,7.9,$90.14M,"398,790",84        ,Clint Eastwood,":
Sean Penn, 
Tim Robbins, 
Kevin Bacon, 
Emmy Rossum
"
Escola de Rock,(2003),"
Comedy, Music            ",109 min,7.1,$81.26M,"253,247",82        ,Richard Linklater,":
Jack Black, 
Mike White, 
Joan Cusack, 
Adam Pascal
"
Alguém tem que Ceder,(2003),"
Comedy, Drama, Romance            ",128 min,6.7,$124.73M,"106,462",66        ,Nancy Meyers,":
Jack Nicholson, 
Diane Keaton, 
Keanu Reeves, 
Amanda Peet
"
Identidade,(2003),"
Mystery, Thriller            ",90 min,7.3,$52.16M,"215,349",64        ,James Mangold,":
John Cusack, 
Ray Liotta, 
Amanda Peet, 
John Hawkes
"
Tudo que uma Garota quer,(2003),"
Comedy, Drama, Family            ",105 min,5.8,$35.99M,"56,529",41        ,Dennie Gordon,":
Amanda Bynes, 
Colin Firth, 
Kelly Preston, 
Eileen Atkins
"
Dias Incríveis,(2003),"
Comedy            ",88 min,7.1,$75.59M,"207,560",54        ,Todd Phillips,":
Luke Wilson, 
Vince Vaughn, 
Will Ferrell, 
Jeremy Piven
"
