Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
"Star Wars, Episódio III: A Vingança dos Sith",(2005),"
Action, Adventure, Fantasy            ",140 min,7.5,$380.26M,"672,058",68        ,George Lucas,":
Hayden Christensen, 
Natalie Portman, 
Ewan McGregor, 
Samuel L. Jackson
"
Harry Potter e o Cálice de Fogo,(2005),"
Adventure, Family, Fantasy            ",157 min,7.7,$290.01M,"508,664",81        ,Mike Newell,":
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Eric Sykes
"
Batman Begins,(2005),"
Action, Adventure, Fantasy            ",140 min,8.2,$206.85M,"1,237,544",70        ,Christopher Nolan,":
Christian Bale, 
Michael Caine, 
Ken Watanabe, 
Liam Neeson
"
A Fantástica Fábrica de Chocolate,(2005),"
Adventure, Comedy, Family            ",115 min,6.6,$206.46M,"402,408",72        ,Tim Burton,":
Johnny Depp, 
Freddie Highmore, 
David Kelly, 
Helena Bonham Carter
"
Coach Carter: Treino para a Vida,(2005),"
Biography, Drama, Sport            ",136 min,7.3,$67.26M,"116,960",57        ,Thomas Carter,":
Samuel L. Jackson, 
Rick Gonzalez, 
Robert Ri'chard, 
Rob Brown
"
Johnny & June,(2005),"
Biography, Drama, Music            ",136 min,7.8,$119.52M,"222,096",72        ,James Mangold,":
Joaquin Phoenix, 
Reese Witherspoon, 
Ginnifer Goodwin, 
Robert Patrick
"
Orgulho & Preconceito,(2005),"
Drama, Romance            ",129 min,7.8,$38.41M,"237,773",82        ,Joe Wright,":
Keira Knightley, 
Matthew Macfadyen, 
Brenda Blethyn, 
Donald Sutherland
"
Soldado Anônimo,(2005),"
Action, Biography, Drama            ",125 min,7.0,$62.66M,"165,818",58        ,Sam Mendes,":
Jake Gyllenhaal, 
Jamie Foxx, 
Lucas Black, 
Scott MacDonald
"
"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",(2005),"
Adventure, Family, Fantasy            ",143 min,6.9,$291.71M,"349,466",75        ,Andrew Adamson,":
Tilda Swinton, 
Georgie Henley, 
William Moseley, 
Skandar Keynes
"
"Hitch, Conselheiro Amoroso",(I) (2005),"
Comedy, Romance            ",118 min,6.6,$179.50M,"284,598",58        ,Andy Tennant,":
Will Smith, 
Eva Mendes, 
Kevin James, 
Amber Valletta
"
Sin City: A Cidade do Pecado,(2005),"
Crime, Thriller            ",124 min,8.0,$74.10M,"724,513",74        ,Frank Miller,":
Mickey Rourke, 
Clive Owen, 
Bruce Willis, 
Jessica Alba
"
O Segredo de Brokeback Mountain,(2005),"
Drama, Romance            ",134 min,7.7,$83.04M,"307,997",87        ,Ang Lee,":
Jake Gyllenhaal, 
Heath Ledger, 
Michelle Williams, 
Randy Quaid
"
O Virgem de 40 Anos,(2005),"
Comedy, Romance            ",116 min,7.1,$109.45M,"375,208",73        ,Judd Apatow,":
Steve Carell, 
Catherine Keener, 
Paul Rudd, 
Romany Malco
"
Beijos e Tiros,(2005),"
Action, Comedy, Crime            ",103 min,7.5,$4.24M,"206,730",72        ,Shane Black,":
Robert Downey Jr., 
Val Kilmer, 
Michelle Monaghan, 
Corbin Bernsen
"
Golpe Baixo,(2005),"
Comedy, Crime, Sport            ",113 min,6.4,$158.12M,"154,784",48        ,Peter Segal,":
Adam Sandler, 
Burt Reynolds, 
Chris Rock, 
Nelly
"
A Ponta de um Crime,(2005),"
Action, Crime, Drama            ",110 min,7.3,$2.06M,"97,564",72        ,Rian Johnson,":
Joseph Gordon-Levitt, 
Lukas Haas, 
Emilie de Ravin, 
Meagan Good
"
Penetras Bons de Bico,(2005),"
Comedy, Romance            ",119 min,6.9,$209.22M,"320,812",64        ,David Dobkin,":
Owen Wilson, 
Vince Vaughn, 
Rachel McAdams, 
Christopher Walken
"
Cruzada,(2005),"
Action, Adventure, Drama            ",144 min,7.2,$47.40M,"256,080",63        ,Ridley Scott,":
Orlando Bloom, 
Eva Green, 
Liam Neeson, 
Martin Hancock
"
V de Vingança,(2005),"
Action, Drama, Sci-Fi            ",132 min,8.2,$70.51M,"978,986",62        ,James McTeigue,":
Hugo Weaving, 
Natalie Portman, 
Rupert Graves, 
Stephen Rea
"
Guerra dos Mundos,(2005),"
Adventure, Sci-Fi, Thriller            ",116 min,6.5,$234.28M,"398,030",73        ,Steven Spielberg,":
Tom Cruise, 
Dakota Fanning, 
Tim Robbins, 
Miranda Otto
"
Super Escola de Heróis,(2005),"
Adventure, Comedy, Family            ",100 min,6.2,$63.95M,"74,523",62        ,Mike Mitchell,":
Kurt Russell, 
Kelly Preston, 
Michael Angarano, 
Danielle Panabaker
"
Sr. & Sra. Smith,(2005),"
Action, Comedy, Crime            ",120 min,6.5,$186.34M,"429,869",55        ,Doug Liman,":
Brad Pitt, 
Angelina Jolie, 
Adam Brody, 
Vince Vaughn
"
King Kong,(2005),"
Action, Adventure, Drama            ",187 min,7.2,$218.08M,"375,838",81        ,Peter Jackson,":
Naomi Watts, 
Jack Black, 
Adrien Brody, 
Thomas Kretschmann
"
