Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Os Goonies,(1985),"
Adventure, Comedy, Family            ",114 min,7.8,$61.50M,"226,694",62        
De Volta para o Futuro,(1985),"
Adventure, Comedy, Sci-Fi            ",116 min,8.5,$210.61M,"976,372",87        
Clube dos Cinco,(1985),"
Comedy, Drama            ",97 min,7.9,$45.88M,"328,443",62        
Vá e Veja,(1985),"
Drama, War            ",142 min,8.3,,"46,968",
Os Sete Suspeitos,(1985),"
Comedy, Crime, Mystery            ",94 min,7.3,$14.64M,"73,325",36        
O Mundo Fantástico de Oz,(1985),"
Adventure, Family, Fantasy            ",113 min,6.7,,"23,218",42        
A Lenda,(1985),"
Adventure, Fantasy, Romance            ",94 min,6.5,$15.50M,"56,673",30        
Rambo II: A Missão,(1985),"
Action, Adventure, Thriller            ",96 min,6.5,$150.42M,"146,090",47        
Brazil: O Filme,(1985),"
Drama, Sci-Fi            ",132 min,7.9,$9.93M,"179,404",88        
Mulher Nota 1000,(1985),"
Comedy, Romance, Sci-Fi            ",94 min,6.6,$23.83M,"75,299",46        
Marcas do Destino,(1985),"
Biography, Drama            ",120 min,7.2,$48.23M,"24,651",73        
Férias Frustradas II,(1985),"
Adventure, Comedy            ",95 min,6.2,$49.40M,"54,582",47        
Rocky IV,(1985),"
Drama, Sport            ",91 min,6.9,$127.87M,"176,267",40        
O Garoto do Futuro,(1985),"
Comedy, Fantasy            ",91 min,6.1,$33.09M,"43,137",25        
A Hora do Espanto,(1985),"
Horror, Thriller            ",106 min,7.1,$24.92M,"55,965",62        
Comando para Matar,(1985),"
Action, Adventure, Thriller            ",90 min,6.7,$35.10M,"138,506",51        
A Cor Púrpura,(1985),"
Drama            ",154 min,7.8,$98.47M,"73,470",78        
A Testemunha,(1985),"
Crime, Drama, Romance            ",112 min,7.4,$68.71M,"80,924",76        
Depois de Horas,(1985),"
Comedy, Crime, Drama            ",97 min,7.7,$10.60M,"52,875",90        
O Primeiro Ano do Resto de Nossas Vidas,(1985),"
Drama, Romance            ",110 min,6.4,$37.80M,"33,672",35        
Procura-se Rapaz Virgem,(1985),"
Comedy, Fantasy, Horror            ",94 min,5.5,$10.00M,"12,525",64        
Ran,(1985),"
Action, Drama            ",162 min,8.2,$3.52M,"103,369",96        
Cocoon,(1985),"
Comedy, Drama, Sci-Fi            ",117 min,6.7,$76.11M,"54,017",65        
O Enigma da Pirâmide,(1985),"
Adventure, Fantasy, Mystery            ",109 min,6.8,$19.74M,"18,063",
O Cavaleiro Solitário,(1985),"
Drama, Western            ",115 min,7.3,$41.41M,"49,454",61        
007 - Na Mira dos Assassinos,(1985),"
Action, Adventure, Thriller            ",131 min,6.4,$50.33M,"82,757",40        
Guerreiros de Fogo,(1985),"
Action, Adventure, Fantasy            ",89 min,5.1,$6.95M,"36,916",35        
Perfeição,(1985),"
Drama, Romance            ",115 min,4.5,$12.92M,"4,350",46        
O Caldeirão Mágico,(1985),"
Animation, Action, Adventure            ",80 min,6.4,$21.29M,"28,689",59        
Minha Vida é um Desastre,(1985),"
Comedy, Romance            ",97 min,7.1,$10.30M,"39,619",51        
Entre Dois Amores,(1985),"
Biography, Drama, Romance            ",161 min,7.2,$87.10M,"67,247",69        
Uma Janela para o Amor,(1985),"
Drama, Romance            ",117 min,7.3,$20.97M,"37,045",80        
As Grandes Aventuras de Pee-wee,(1985),"
Adventure, Comedy, Family            ",91 min,7.0,$40.90M,"47,439",47        
Expresso Malibu,(1985),"
Comedy, Crime, Mystery            ",105 min,4.7,,"1,599",
Mad Max 3: Além da Cúpula do Trovão,(1985),"
Action, Adventure, Sci-Fi            ",107 min,6.3,$36.20M,"121,152",71        
Viagem Clandestina,(1985),"
Adventure, Family            ",101 min,7.0,$2.14M,"4,823",66        
A Traição do Falcão,(1985),"
Biography, Crime, Drama            ",131 min,6.8,$17.10M,"9,991",68        
A Volta dos Mortos Vivos,(1985),"
Comedy, Horror, Sci-Fi            ",91 min,7.3,$14.24M,"51,192",66        
Viver e Morrer em Los Angeles,(1985),"
Action, Crime, Drama            ",116 min,7.3,$17.31M,"27,123",81        
O Feitiço de Áquila,(1985),"
Adventure, Comedy, Drama            ",121 min,7.0,$18.43M,"41,237",64        
Força Sinistra,(1985),"
Action, Horror, Mystery            ",101 min,6.1,$11.60M,"20,818",50        
Quase Igual aos Outros,(1985),"
Comedy, Romance            ",100 min,6.5,$11.50M,"12,902",57        
Viagem ao Mundo dos Sonhos,(1985),"
Adventure, Comedy, Family            ",109 min,6.6,$9.87M,"18,559",58        
Silverado,(1985),"
Action, Crime, Drama            ",133 min,7.2,$33.20M,"35,199",64        
Chuva de Milhões,(1985),"
Comedy            ",102 min,6.5,$38.80M,"33,767",37        
Bala de Prata,(1985),"
Horror            ",95 min,6.4,$5.40M,"22,295",26        
A Hora dos Mortos-Vivos,(1985),"
Comedy, Horror, Sci-Fi            ",105 min,7.2,$2.02M,"52,041",73        
