Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Gladiador,(2000),"
Action, Adventure, Drama            ",155 min,8.5,$187.71M,"1,259,528",67        
Psicopata Americano,(2000),"
Crime, Drama            ",101 min,7.6,$15.07M,"450,663",64        
Snatch: Porcos e Diamantes,(2000),"
Comedy, Crime            ",104 min,8.3,$30.33M,"740,938",55        
Quase Famosos,(2000),"
Adventure, Comedy, Drama            ",122 min,7.9,$32.53M,"240,324",90        
Réquiem para um Sonho,(2000),"
Drama            ",102 min,8.3,$3.64M,"723,068",68        
Duelo de Titãs,(2000),"
Biography, Drama, Sport            ",113 min,7.8,$115.65M,"188,662",48        
O Patriota,(2000),"
Action, Drama, History            ",165 min,7.2,$113.33M,"243,401",63        
Amnésia,(2000),"
Mystery, Thriller            ",113 min,8.4,$25.54M,"1,061,513",80        
Náufrago,(2000),"
Adventure, Drama, Romance            ",143 min,7.8,$233.63M,"488,876",73        
Todo Mundo em Pânico,(2000),"
Comedy            ",88 min,6.2,$157.02M,"221,250",48        
X-Men: O Filme,(2000),"
Action, Adventure, Sci-Fi            ",104 min,7.4,$157.30M,"549,494",64        
Missão: Impossível 2,(2000),"
Action, Adventure, Thriller            ",123 min,6.1,$215.41M,"298,951",59        
Revelação,(2000),"
Drama, Fantasy, Horror            ",130 min,6.6,$155.46M,"112,962",51        
Malena,(2000),"
Comedy, Drama, Romance            ",108 min,7.5,$3.43M,"83,255",54        
As Panteras,(2000),"
Action, Adventure, Comedy            ",98 min,5.5,$125.31M,"168,546",52        
Billy Elliot,(2000),"
Drama, Music            ",110 min,7.7,$22.00M,"119,584",74        
O Grinch,(2000),"
Comedy, Family, Fantasy            ",104 min,6.1,$260.04M,"193,232",46        
Corpo Fechado,(2000),"
Drama, Mystery, Sci-Fi            ",106 min,7.3,$95.01M,"368,574",62        
"Erin Brockovich, uma Mulher de Talento",(2000),"
Biography, Drama            ",131 min,7.3,$125.60M,"164,008",73        
60 Segundos,(2000),"
Action, Crime, Thriller            ",118 min,6.5,$101.65M,"251,109",35        
Chocolate,(2000),"
Drama, Romance            ",121 min,7.2,$71.51M,"171,511",64        
Premonição,(2000),"
Horror, Thriller            ",98 min,6.7,$53.33M,"217,890",36        
Sob a Luz da Fama,(2000),"
Drama, Music, Romance            ",115 min,6.7,$17.17M,"17,945",52        
Quebrando o Gelo,(2000),"
Adventure, Comedy, Family            ",89 min,5.1,$60.02M,"11,065",34        
"E Aí, Meu Irmão, Cadê Você?",(2000),"
Adventure, Comedy, Crime            ",107 min,7.7,$45.51M,"271,289",69        
O Dom da Premonição,(2000),"
Drama, Fantasy, Horror            ",112 min,6.6,$12.01M,"60,527",62        
Show Bar,(2000),"
Comedy, Drama, Music            ",100 min,5.7,$60.79M,"102,832",27        
Drácula 2000,(2000),"
Action, Fantasy, Horror            ",99 min,4.8,$33.02M,"31,001",26        
Miss Simpatia,(2000),"
Action, Comedy, Crime            ",109 min,6.2,$106.81M,"176,076",43        
Teenagers: As Apimentadas,(2000),"
Comedy, Romance, Sport            ",98 min,6.0,$68.38M,"83,127",52        
Caindo na Estrada,(2000),"
Adventure, Comedy            ",93 min,6.4,$68.54M,"151,704",55        
A Praia,(I) (2000),"
Adventure, Drama, Romance            ",119 min,6.7,$39.79M,"213,604",43        
"Eu, Eu Mesmo e Irene",(2000),"
Comedy            ",116 min,6.6,$90.57M,"214,062",49        
Meu Vizinho Mafioso,(2000),"
Comedy, Crime            ",98 min,6.7,$57.26M,"105,646",47        
O Homem sem Sombra,(2000),"
Action, Horror, Sci-Fi            ",112 min,5.8,$73.21M,"117,485",24        
O Tigre e o Dragão,(2000),"
Action, Adventure, Fantasy            ",120 min,7.8,$128.08M,"244,407",94        
Traffic: Ninguém Sai Limpo,(2000),"
Crime, Drama, Thriller            ",147 min,7.6,$124.12M,"189,184",86        
A Nova Onda do Imperador,(2000),"
Animation, Adventure, Comedy            ",78 min,7.3,$89.30M,"167,731",70        
Possuída,(2000),"
Drama, Fantasy, Horror            ",108 min,6.8,$0.00M,"39,512",70        
A Cela,(2000),"
Horror, Sci-Fi, Thriller            ",107 min,6.3,$61.33M,"91,824",40        
Batalha Real,(2000),"
Adventure, Drama, Sci-Fi            ",114 min,7.6,,"162,292",81        
Onde Mora o Coração,(2000),"
Comedy, Drama, Romance            ",120 min,6.8,$33.77M,"30,769",30        
Amor à Flor da Pele,(2000),"
Drama, Romance            ",98 min,8.1,$2.73M,"111,388",85        
Alta Fidelidade,(2000),"
Comedy, Drama, Music            ",113 min,7.5,$27.28M,"161,253",79        
A Reconquista,(2000),"
Action, Adventure, Sci-Fi            ",118 min,2.5,$21.47M,"73,971",9        
Um Homem de Família,(2000),"
Comedy, Drama, Fantasy            ",125 min,6.8,$75.79M,"99,364",42        
O Caminho para El Dorado,(2000),"
Animation, Adventure, Comedy            ",89 min,6.9,$50.86M,"78,281",51        
Tra(sgre)dire,(2000),"
Comedy, Drama            ",91 min,5.5,,"4,530",
Um Diabo Diferente,(2000),"
Comedy, Fantasy            ",90 min,5.3,$39.46M,"93,894",38        
Do que as Mulheres Gostam,(2000),"
Comedy, Fantasy, Romance            ",127 min,6.4,$182.81M,"184,381",47        
A Fuga das Galinhas,(2000),"
Animation, Adventure, Comedy            ",84 min,7.0,$106.83M,"168,794",88        
Sexy Beast,(2000),"
Crime, Drama, Thriller            ",89 min,7.3,$6.95M,"51,587",79        
O Melhor do Show,(2000),"
Comedy            ",90 min,7.4,$18.62M,"52,365",78        
Entrando numa Fria,(2000),"
Comedy, Romance            ",108 min,7.0,$166.24M,"298,800",73        
A Enfermeira Betty,(2000),"
Comedy, Crime, Drama            ",110 min,6.1,$25.17M,"32,188",69        
Pânico 3,(2000),"
Horror, Mystery            ",116 min,5.5,$89.14M,"117,941",56        
Eclipse Mortal,(2000),"
Horror, Sci-Fi            ",109 min,7.1,$39.24M,"217,784",49        
Shaft,(2000),"
Action, Crime, Thriller            ",99 min,5.9,$70.33M,"70,888",50        
Endiabrado,(2000),"
Comedy, Fantasy            ",93 min,6.0,$37.88M,"92,744",49        
Dinossauro,(2000),"
Animation, Adventure, Family            ",82 min,6.5,$137.75M,"49,708",56        
