Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Harry Potter e a Pedra Filosofal,(2001),"
Adventure, Family, Fantasy            ",152 min,7.6,$317.58M,"592,282",64        
O Senhor dos Anéis: A Sociedade do Anel,(2001),"
Adventure, Drama, Fantasy            ",178 min,8.8,$315.54M,"1,564,012",92        
A Viagem de Chihiro,(2001),"
Animation, Adventure, Family            ",125 min,8.6,$10.06M,"584,042",96        
O Diário de Bridget Jones,(2001),"
Comedy, Drama, Romance            ",97 min,6.7,$71.54M,"213,303",66        
Donnie Darko,(2001),"
Drama, Sci-Fi, Thriller            ",113 min,8.0,$1.48M,"712,581",88        
Não é Mais um Besteirol Americano,(2001),"
Comedy            ",89 min,5.7,$38.25M,"92,862",32        
Uma Mente Brilhante,(2001),"
Biography, Drama            ",135 min,8.2,$170.74M,"797,582",72        
Pearl Harbor,(2001),"
Action, Drama, History            ",183 min,6.2,$198.54M,"299,710",44        
Monstros S.A.,(2001),"
Animation, Adventure, Comedy            ",92 min,8.0,$289.92M,"768,028",79        
Onze Homens e um Segredo,(2001),"
Crime, Thriller            ",116 min,7.8,$183.42M,"486,861",74        
Cidade dos Sonhos,(2001),"
Drama, Mystery, Thriller            ",147 min,7.9,$7.22M,"299,630",83        
Moulin Rouge: Amor em Vermelho,(2001),"
Drama, Musical, Romance            ",127 min,7.6,$57.39M,"257,021",66        
Velozes & Furiosos,(2001),"
Action, Crime, Thriller            ",106 min,6.8,$144.53M,"329,817",58        
Falcão Negro em Perigo,(2001),"
Drama, History, War            ",144 min,7.7,$108.64M,"348,583",74        
Mais um Verão Americano,(2001),"
Comedy, Romance            ",97 min,6.6,$0.29M,"51,646",42        
Shrek,(2001),"
Animation, Adventure, Comedy            ",90 min,7.8,$267.67M,"581,898",84        
Profissão de Risco,(2001),"
Biography, Crime, Drama            ",124 min,7.6,$52.99M,"229,650",52        
O Fabuloso Destino de Amélie Poulain,(2001),"
Comedy, Romance            ",122 min,8.3,$33.23M,"670,534",69        
Coração de Cavaleiro,(2001),"
Action, Adventure, Romance            ",132 min,6.9,$56.57M,"161,735",56        
Dia de Treinamento,(2001),"
Crime, Drama, Thriller            ",122 min,7.7,$76.63M,"367,011",69        
O Diário da Princesa,(2001),"
Comedy, Family, Romance            ",111 min,6.3,$108.25M,"120,331",52        
Na Teia da Aranha,(2001),"
Drama, Thriller            ",104 min,6.4,$74.08M,"71,197",42        
O Retorno da Múmia,(2001),"
Action, Adventure, Fantasy            ",130 min,6.3,$202.02M,"289,786",48        
Geração Prozac,(2001),"
Biography, Drama, Romance            ",95 min,6.3,,"16,610",
Penalidade Máxima,(2001),"
Comedy, Crime, Drama            ",99 min,6.5,$0.09M,"34,151",45        
O Império (do Besteirol) Contra-Ataca,(2001),"
Comedy            ",104 min,6.8,$30.06M,"144,262",51        
Legalmente Loira,(2001),"
Comedy, Romance            ",96 min,6.3,$96.52M,"172,161",59        
Vanilla Sky,(2001),"
Fantasy, Mystery, Romance            ",136 min,6.9,$100.61M,"238,770",45        
Lúcia e o Sexo,(2001),"
Drama, Romance            ",128 min,7.1,$1.49M,"33,734",65        
Hannibal,(2001),"
Crime, Drama, Thriller            ",131 min,6.8,$165.09M,"242,437",57        
A.I.: Inteligência Artificial,(2001),"
Drama, Sci-Fi            ",146 min,7.2,$78.62M,"280,181",65        
E sua Mãe Também,(2001),"
Drama            ",106 min,7.6,$13.62M,"109,837",88        
Doce Trapaça,(2001),"
Comedy, Crime, Romance            ",123 min,6.2,$40.34M,"49,599",47        
Super Tiras,(2001),"
Comedy, Crime, Mystery            ",100 min,7.1,$18.49M,"92,896",48        
Assassinato em Gosford Park,(2001),"
Comedy, Drama, Mystery            ",131 min,7.2,$41.31M,"75,958",90        
Pecado Original,(2001),"
Drama, Mystery, Romance            ",116 min,6.1,$16.25M,"51,682",33        
Lara Croft: Tomb Raider,(2001),"
Action, Adventure, Fantasy            ",100 min,5.8,$131.14M,"190,367",33        
Jurassic Park III,(2001),"
Action, Adventure, Sci-Fi            ",92 min,5.9,$181.17M,"282,787",42        
Os Excêntricos Tenenbaums,(2001),"
Comedy, Drama            ",110 min,7.6,$52.36M,"252,245",76        
Pequenos Espiões,(2001),"
Action, Adventure, Comedy            ",88 min,5.4,$112.72M,"102,902",71        
O Planeta dos Macacos,(2001),"
Action, Adventure, Sci-Fi            ",119 min,5.7,$180.01M,"204,548",50        
A Hora do Rush 2,(2001),"
Action, Comedy, Crime            ",90 min,6.6,$226.16M,"190,700",48        
A Última Ceia,(2001),"
Drama, Romance            ",111 min,7.0,$31.25M,"79,899",69        
Os Outros,(2001),"
Horror, Mystery, Thriller            ",101 min,7.6,$96.52M,"321,585",74        
Dois Doidões em Harvard,(2001),"
Comedy, Fantasy            ",93 min,6.3,$31.16M,"51,138",29        
Atlantis: O Reino Perdido,(2001),"
Animation, Action, Adventure            ",95 min,6.9,$84.05M,"96,273",52        
Ghost World: Aprendendo a Viver,(2001),"
Comedy, Drama            ",111 min,7.3,$6.22M,"108,857",88        
Kate & Leopold,(2001),"
Comedy, Fantasy, Romance            ",118 min,6.4,$47.12M,"75,849",44        
Círculo de Fogo,(2001),"
Drama, History, War            ",131 min,7.6,$51.40M,"230,797",53        
A Cartada Final,(2001),"
Crime, Drama, Thriller            ",124 min,6.8,$71.07M,"115,619",71        
Uma Lição de Amor,(2001),"
Drama            ",132 min,7.6,$40.31M,"138,214",28        
American Pie: A Segunda Vez é Ainda Melhor,(2001),"
Comedy            ",108 min,6.4,$145.10M,"230,199",43        
Zoolander,(2001),"
Comedy            ",90 min,6.5,$45.17M,"236,795",61        
Jogo de Espiões,(2001),"
Action, Crime, Thriller            ",126 min,7.1,$0.03M,"138,819",63        
A Professora de Piano,(2001),"
Drama            ",131 min,7.5,$1.90M,"51,610",79        
Todo Mundo em Pânico 2,(2001),"
Comedy            ",83 min,5.3,$71.31M,"142,743",29        
Tá Todo Mundo Louco! Uma Corrida por Milhõe$,(2001),"
Adventure, Comedy            ",112 min,6.4,$56.62M,"104,869",52        
Evolução,(2001),"
Comedy, Sci-Fi            ",101 min,6.1,$38.35M,"115,353",40        
Escrito nas Estrelas,(2001),"
Comedy, Romance            ",90 min,6.9,$50.29M,"99,994",52        
13 Fantasmas,(2001),"
Horror, Thriller            ",91 min,5.6,$41.87M,"75,950",30        
Ardendo no Frio,(2001),"
Comedy, Sport            ",89 min,6.3,$13.90M,"16,311",22        
O Amor é Cego,(2001),"
Comedy, Drama, Fantasy            ",114 min,5.9,$70.84M,"122,950",48        
Joe Sujo,(2001),"
Adventure, Comedy, Drama            ",91 min,6.0,$27.09M,"48,934",20        
Bully - Juventude Violenta,(2001),"
Biography, Crime, Drama            ",108 min,6.9,$1.54M,"33,368",45        
Olhos Famintos,(2001),"
Horror, Mystery            ",90 min,6.2,$37.90M,"105,467",49        
Crocodilo Dundee em Hollywood,(2001),"
Action, Adventure, Comedy            ",92 min,4.8,$25.64M,"22,696",37        
"Hedwig: Rock, Amor e Traição",(2001),"
Comedy, Drama, Music            ",95 min,7.7,$3.03M,"30,422",85        
Do Inferno,(2001),"
Horror, Mystery, Thriller            ",122 min,6.8,$31.60M,"141,901",54        
Hardball - O Jogo da Vida,(2001),"
Drama, Sport            ",106 min,6.4,$40.22M,"26,955",48        
A Última Fortaleza,(2001),"
Action, Drama, Thriller            ",131 min,7.0,$18.21M,"67,205",43        
Rock Star,(2001),"
Drama, Music            ",105 min,6.3,$17.01M,"39,540",54        
O Homem que Não Estava Lá,(2001),"
Crime, Drama            ",116 min,7.5,$7.49M,"99,258",73        
A Senha: Swordfish,(2001),"
Action, Crime, Thriller            ",99 min,6.5,$69.77M,"171,455",32        
Volta por Cima,(2001),"
Comedy, Romance            ",87 min,5.7,$11.56M,"17,368",52        
O Casamento dos Meus Sonhos,(2001),"
Comedy, Romance            ",103 min,5.3,$60.40M,"72,552",33        
O Pacto dos Lobos,(2001),"
Action, Adventure, Drama            ",142 min,7.0,$11.26M,"60,181",57        
A Mexicana,(2001),"
Adventure, Comedy, Crime            ",123 min,6.1,$66.81M,"99,353",43        
Wiedzmin,(2001),"
Adventure, Fantasy            ",130 min,3.6,,"1,837",
O Centro do Mundo,(2001),"
Drama, Romance            ",88 min,5.8,$1.10M,"4,440",44        
Osmose Jones,(2001),"
Animation, Action, Adventure            ",95 min,6.3,$13.60M,"30,621",57        
Jimmy Bolha,(2001),"
Adventure, Comedy, Romance            ",84 min,5.6,$5.00M,"29,047",41        
K-Pax: O Caminho da Luz,(2001),"
Drama, Sci-Fi            ",120 min,7.4,$50.34M,"169,972",49        
No Balanço do Amor,(2001),"
Drama, Music, Romance            ",112 min,6.2,$91.06M,"54,973",53        
Doce Novembro,(2001),"
Drama, Romance            ",119 min,6.7,$25.29M,"82,164",27        
Ali,(2001),"
Biography, Drama, Sport            ",157 min,6.8,$58.20M,"89,594",65        
A Mão do Diabo,(2001),"
Crime, Drama, Thriller            ",100 min,7.2,$13.10M,"72,956",64        
Entre Quatro Paredes,(2001),"
Crime, Drama            ",130 min,7.4,$35.93M,"36,352",86        
Tempo de Recomeçar,(2001),"
Drama            ",125 min,7.5,$15.65M,"42,023",45        
"Jimmy Neutron, o Menino Gênio",(2001),"
Animation, Action, Adventure            ",82 min,6.0,$80.94M,"28,995",65        
A Casa de Vidro,(2001),"
Crime, Drama, Mystery            ",106 min,5.8,$18.00M,"30,564",34        
"Ichi, o Assassino",(2001),"
Action, Comedy, Crime            ",129 min,7.0,$0.02M,"49,885",55        
Atrás das Linhas Inimigas,(2001),"
Action, Drama, Thriller            ",106 min,6.4,$59.07M,"96,010",49        
Fantasmas de Marte,(2001),"
Action, Horror, Sci-Fi            ",98 min,4.9,$8.43M,"49,242",35        
O Assalto,(2001),"
Action, Crime, Drama            ",109 min,6.5,$0.05M,"32,031",66        
Josie e as Gatinhas,(2001),"
Comedy, Music            ",98 min,5.4,$14.25M,"20,850",47        
Intimidade,(2001),"
Drama, Romance            ",119 min,6.1,$0.10M,"10,744",69        
Como Cães e Gatos,(2001),"
Action, Comedy, Family            ",87 min,5.1,$93.39M,"54,118",47        
Baby Boy - O Rei da Rua,(2001),"
Crime, Drama, Romance            ",130 min,6.4,$28.73M,"12,105",55        
Jason X,(2001),"
Action, Horror, Sci-Fi            ",91 min,4.4,$13.12M,"48,002",25        
Dr. Dolittle 2,(2001),"
Comedy, Family, Fantasy            ",87 min,4.7,$112.95M,"40,046",49        
Fora de Casa!,(2001),"
Comedy            ",87 min,4.6,$14.25M,"44,605",13        
Alta Velocidade,(2001),"
Action, Drama, Sport            ",116 min,4.6,$32.62M,"38,181",29        
Acordar para a Vida,(2001),"
Animation, Drama, Fantasy            ",99 min,7.8,$2.89M,"58,359",82        
O Buraco,(2001),"
Drama, Mystery, Thriller            ",102 min,6.2,,"42,859",
Perseguição,(2001),"
Mystery, Thriller            ",97 min,6.6,$21.97M,"61,593",75        
Lagaan: Era uma Vez na Índia,(2001),"
Adventure, Drama, Musical            ",224 min,8.1,$0.07M,"96,987",84        
Kung-Fu Futebol Clube,(2001),"
Action, Comedy, Fantasy            ",113 min,7.3,$0.49M,"70,808",68        
Dagon,(2001),"
Fantasy, Horror, Mystery            ",95 min,6.2,,"15,723",
A Espinha do Diabo,(2001),"
Drama, Horror            ",106 min,7.4,$0.75M,"58,859",78        
Para Minha Irmã,(2001),"
Drama            ",83 min,6.5,$0.72M,"9,863",77        
Guerreiros Buffalo,(2001),"
Comedy, Crime, Drama            ",98 min,6.8,$0.35M,"22,759",56        
O Alfaiate do Panamá,(2001),"
Comedy, Drama, Thriller            ",109 min,6.1,$13.73M,"26,932",66        
Chegadas e Partidas,(2001),"
Drama            ",111 min,6.7,$11.43M,"31,217",47        
O Beijo do Dragão,(2001),"
Action, Crime, Drama            ",98 min,6.6,$36.85M,"59,030",58        
As Aventuras de Max Keeble,(2001),"
Comedy, Crime, Family            ",86 min,5.4,$17.29M,"7,025",40        
Vida Bandida,(2001),"
Comedy, Crime, Drama            ",123 min,6.5,$41.58M,"63,322",60        
A Promessa,(I) (2001),"
Crime, Drama, Mystery            ",124 min,6.8,$19.72M,"51,210",71        
Don's Plum,(2001),"
Comedy, Drama            ",89 min,5.8,,"3,879",
Final Fantasy,(2001),"
Animation, Action, Adventure            ",106 min,6.4,$32.13M,"78,730",49        
Gostosa Loucura,(2001),"
Drama, Romance            ",99 min,6.5,$16.93M,"23,250",61        
O Confronto,(2001),"
Action, Sci-Fi, Thriller            ",87 min,5.9,$43.91M,"86,559",25        
A Nona Sessão,(2001),"
Horror, Mystery            ",100 min,6.4,$0.38M,"50,789",58        
